entry_i,timestamp_ct,direction,event_type,structure_level,event_id,swing_high,swing_low,dist_swing_high_atr,dist_swing_low_atr,break_dist_atr,body_atr,range_atr,body_vs_avg,close_loc,mom_1,mom_3,mom_5,mom_10,atr,atr_ratio,m5_mom,m15_mom_4,m15_body_atr,ext_30min_atr,ext_60min_atr,phase44_active,core_b1_active,core_authorized,min_since_p44,min_since_core_entry,m15_range_pos_4,m15_range_pos_8,m15_range_pos_12,m15_range_pos_20,m5_range_pos_4,m5_range_pos_8,m5_range_pos_12,mtf_1m_5m_align,mtf_1m_15m_align,countertrend_15m,session_minute,dow,is_reversal,min_since_prev_event,net_R,MFE_R,MAE_R,mfe_5m_atr,mae_5m_atr,mfe_10m_atr,mae_10m_atr,mfe_15m_atr,mae_15m_atr,mfe_30m_atr,mae_30m_atr,mfe_60m_atr,mae_60m_atr,opp_O1,opp_O2,opp_O3,opp_O4,score,fold,decile,top10,top20,episode_id,suppressed
1073266,2020-10-28 10:17:00-05:00,SHORT,E6,11244.75,P53-0299455,11244.75,11204.25,-0.47572815533980584,-2.2766990291262137,0.47572815533980584,0.6456310679611651,1.1723300970873787,1.1326378539493294,0.13043478260869565,-0.6966019417475728,-1.104368932038835,-1.0024271844660195,-0.13592233009708737,14.714285714285714,0.8398992936283853,-1.792,-0.8701035652275,0.8828058070556387,0.03398058252427184,0.6286407766990292,1,0,0,1172.0,2776.0,0.27312775330396477,0.27312775330396477,0.27312775330396477,0.2978723404255319,0.08823529411764706,0.08823529411764706,0.38308457711442784,1,1,0,47,2,1,4.0,2.434304207119738,2.605177993527508,0.6116504854368933,1.4271844660194175,0.4587378640776699,1.8009708737864079,0.4587378640776699,2.888349514563107,0.4587378640776699,2.888349514563107,0.5266990291262136,2.888349514563107,1.9368932038834952,0,0,0,0,0.7188232181172298,1,10,True,True,EP-0002203,False
1073429,2020-10-28 13:00:00-05:00,SHORT,E6,11227.5,P53-0299515,11227.5,11207.75,-0.44821092278719393,-1.6346516007532956,0.44821092278719393,1.6346516007532956,1.6346516007532956,3.712574850299401,0.0,-1.6082862523540489,-0.6327683615819208,-0.7909604519774011,0.21092278719397362,9.482142857142858,1.0352289786130662,-1.103942652329749,-0.956126796816862,0.9627665662392013,2.7947269303201505,2.030131826741996,1,0,0,1335.0,2939.0,0.0189873417721519,0.0189873417721519,0.0189873417721519,0.18848167539267016,0.4954128440366973,0.5,0.5895522388059702,1,1,0,210,2,1,1.0,-1.1019460138103876,1.300690521029504,1.054613935969868,0.975517890772128,1.2655367231638417,0.975517890772128,1.7137476459510357,3.0320150659133707,1.7137476459510357,3.5329566854990584,2.47834274952919,3.9284369114877586,2.47834274952919,0,0,0,0,0.7269343528343042,1,10,True,True,EP-0002204,False
1073535,2020-10-28 14:46:00-05:00,SHORT,E2,11206.25,P53-0299544,11274.0,11206.25,-5.661313868613139,0.12262773722627737,0.12262773722627737,0.7970802919708029,0.9197080291970803,1.3402061855670102,0.022222222222222223,-0.8175182481751825,-1.3284671532846715,-1.2467153284671533,-2.411678832116788,12.232142857142858,1.0946513894881507,-1.2507204610951008,-1.5713528671094847,1.5768279642074272,0.4905109489051095,0.5722627737226277,1,0,0,1441.0,3045.0,0.09151414309484193,0.09151414309484193,0.09151414309484193,0.09151414309484193,0.13142857142857142,0.0701219512195122,0.0701219512195122,1,1,0,316,2,1,14.0,2.42097323600973,3.2428223844282242,0.1635036496350365,2.4321167883211676,0.12262773722627737,6.233576642335766,0.12262773722627737,6.621897810218978,0.12262773722627737,6.621897810218978,0.12262773722627737,6.621897810218978,0.12262773722627737,1,1,1,0,0.8387034630951472,1,10,True,True,EP-0002205,False
1074089,2020-10-29 01:15:00-05:00,LONG,E11,11266.0,P53-0299697,11260.25,11246.5,2.2937853107344632,-6.6440677966101696,0.4745762711864407,0.9491525423728814,1.423728813559322,1.5286624203821657,0.7777777777777778,0.8700564971751413,1.1073446327683616,1.423728813559322,3.3220338983050848,3.1607142857142856,1.1240236235473424,2.4606060606060605,1.7627338140021864,1.7789056838554176,6.40677966101695,5.220338983050848,1,0,0,2070.0,3674.0,0.9191919191919192,0.9191919191919192,0.9191919191919192,0.9230769230769231,0.9636363636363636,0.9705882352941176,0.9807692307692307,1,1,0,-495,3,0,3.0,2.1941619585688055,4.6403013182674195,0.6327683615819208,3.4802259887005653,0.4745762711864407,8.225988700564972,0.4745762711864407,9.016949152542374,0.4745762711864407,9.016949152542374,0.4745762711864407,9.016949152542374,6.88135593220339,1,0,0,0,0.8788328507452565,1,10,True,True,EP-0002206,False
1074165,2020-10-29 02:31:00-05:00,SHORT,E2,11248.5,P53-0299721,11260.5,11248.5,-4.481848184818482,2.264026402640264,2.264026402640264,2.9570957095709574,4.01980198019802,6.213592233009709,0.09195402298850575,-2.8184818481848186,-2.633663366336634,-2.726072607260726,-2.7722772277227725,5.410714285714286,1.3510500735720337,-5.341645885286783,-1.366523170934525,1.3391927075158343,5.313531353135313,9.702970297029703,1,0,0,2146.0,3750.0,0.2789473684210526,0.2789473684210526,0.2789473684210526,0.21370967741935484,0.0,0.0,0.0,1,1,0,-419,3,1,1.0,2.3213421342134444,5.1749174917491745,0.8008800880088008,4.435643564356436,0.6006600660066007,4.435643564356436,0.6006600660066007,4.435643564356436,0.6006600660066007,4.435643564356436,6.191419141914191,4.435643564356436,7.900990099009901,0,0,0,0,0.7496141688551092,1,10,True,True,EP-0002207,False
1074186,2020-10-29 02:52:00-05:00,LONG,E1,11233.75,P53-0299724,11233.75,11218.5,0.16766467065868262,-2.7245508982035926,0.16766467065868262,0.2934131736526946,0.7544910179640718,0.5303030303030303,0.6666666666666666,0.16766467065868262,0.7125748502994012,0.8802395209580838,0.7544910179640718,5.964285714285714,1.2130897468492354,1.9069767441860466,0.0,1.11551779991868,3.1017964071856285,6.958083832335329,1,0,0,2167.0,3771.0,0.8671875,0.8671875,0.7771428571428571,0.7771428571428571,0.978021978021978,0.978021978021978,0.978021978021978,1,0,0,-398,3,1,21.0,2.337924151696588,3.409181636726547,0.16766467065868265,1.467065868263473,0.12574850299401197,7.04191616766467,0.12574850299401197,7.419161676646707,0.12574850299401197,7.419161676646707,0.7964071856287425,7.419161676646707,0.7964071856287425,0,0,1,0,0.7098284052275534,1,10,True,True,EP-0002208,False
1074315,2020-10-29 05:01:00-05:00,SHORT,E14,11246.75,P53-0299754,11272.75,11246.75,-4.369696969696969,-0.04242424242424242,-0.04242424242424242,0.8484848484848484,1.2303030303030302,1.8348623853211008,0.3103448275862069,-0.9333333333333332,-2.206060606060606,-1.7393939393939393,-0.6363636363636364,5.892857142857143,0.8135492936912951,-3.188612099644128,-1.1118724085821128,1.1014810776607846,3.9454545454545453,1.2727272727272727,1,0,0,2296.0,3900.0,0.21468926553672316,0.21468926553672316,0.21468926553672316,0.15261044176706828,0.09210526315789473,0.09210526315789473,0.09210526315789473,1,1,0,-269,3,0,11.0,-1.164040404040453,1.3575757575757574,1.1878787878787878,1.018181818181818,0.8909090909090909,3.7757575757575754,0.8909090909090909,4.157575757575757,0.8909090909090909,4.157575757575757,0.8909090909090909,4.157575757575757,1.6969696969696968,0,0,0,0,0.7456656356348448,1,10,True,True,EP-0002209,False
1074374,2020-10-29 06:00:00-05:00,SHORT,E6,11245.0,P53-0299769,11245.0,11233.0,-1.6033519553072624,-0.2737430167597765,1.6033519553072624,1.9162011173184357,2.4636871508379885,3.487544483985765,0.14285714285714285,-1.9162011173184357,-3.0502793296089385,-1.6033519553072624,-1.2513966480446927,6.392857142857143,1.065539615453301,-1.5869017632241813,-1.097119233751047,1.097119233751047,0.19553072625698323,2.776536312849162,1,0,0,2355.0,3959.0,0.10365853658536585,0.10365853658536585,0.10365853658536585,0.10365853658536585,0.1326530612244898,0.1326530612244898,0.1326530612244898,1,1,0,-210,3,1,4.0,-1.1512104283054463,0.31284916201117313,1.0428305400372437,0.8212290502793296,1.094972067039106,2.1508379888268156,1.094972067039106,3.2458100558659218,1.094972067039106,5.201117318435754,1.094972067039106,14.039106145251395,1.094972067039106,0,0,0,0,0.7265779161731388,1,10,True,True,EP-0002210,False
1074424,2020-10-29 06:50:00-05:00,SHORT,E2,11178.25,P53-0299795,11218.5,11178.25,-4.64,0.3466666666666667,0.3466666666666667,0.96,1.2,1.978021978021978,0.044444444444444446,-0.9333333333333333,-1.8666666666666667,-1.7333333333333334,-2.8533333333333335,9.375,1.4696002687269065,-0.3865877712031558,0.0,1.5536516285793835,4.693333333333333,7.226666666666667,1,0,0,2405.0,4009.0,0.0970873786407767,0.06802721088435375,0.06802721088435375,0.06802721088435375,0.36893203883495146,0.2992125984251969,0.19895287958115182,1,0,0,-160,3,0,9.0,-1.1031111111111112,0.6044444444444445,1.4222222222222223,1.2533333333333334,1.0666666666666667,3.2,1.0666666666666667,3.2,1.0666666666666667,3.2,1.0666666666666667,3.2,4.8,0,0,0,0,0.768184963521205,1,10,True,True,EP-0002211,False
1074427,2020-10-29 06:53:00-05:00,LONG,E5,11178.25,P53-0299797,11218.5,11178.25,-4.146153846153846,-0.18846153846153846,0.18846153846153846,0.9423076923076922,1.4807692307692306,1.851851851851852,0.6363636363636364,0.9153846153846154,0.5384615384615384,-1.0499999999999998,-1.2923076923076922,9.285714285714286,1.4456089627755693,0.0,0.0,1.5536516285793835,4.226923076923077,6.407692307692307,1,0,0,2408.0,4012.0,0.0970873786407767,0.0970873786407767,0.06802721088435375,0.06802721088435375,0.6333333333333333,0.36893203883495146,0.2992125984251969,0,0,0,-157,3,1,3.0,-1.1041025641026307,0.3948717948717948,2.4051282051282046,0.29615384615384616,3.7692307692307687,0.29615384615384616,3.7692307692307687,0.29615384615384616,3.7692307692307687,0.29615384615384616,3.7692307692307687,4.3076923076923075,3.7692307692307687,0,0,0,0,0.6964081116742618,1,10,True,True,EP-0002212,False
1074540,2020-10-29 08:46:00-05:00,LONG,E5,11187.5,P53-0299831,11244.75,11187.5,-1.3591160220994476,-1.171270718232044,1.171270718232044,1.160220994475138,1.580110497237569,2.9577464788732395,0.7622377622377622,1.160220994475138,1.2265193370165746,1.3480662983425415,-0.22099447513812154,22.625,2.487142240194731,0.7397047397047397,1.9720248675379612,1.9579389756269758,0.47513812154696133,0.9281767955801105,1,0,0,2521.0,4125.0,0.8916256157635468,0.8916256157635468,0.8916256157635468,0.8916256157635468,0.6550218340611353,0.5050505050505051,0.5050505050505051,1,1,0,-44,3,0,2.0,2.4572744014732963,2.9318600368324126,0.9871086556169429,0.6850828729281768,0.7403314917127072,2.56353591160221,0.7403314917127072,2.56353591160221,0.7403314917127072,3.3591160220994474,0.7403314917127072,4.121546961325967,0.7403314917127072,0,1,1,0,0.859119819372303,1,10,True,True,EP-0002213,False
1074576,2020-10-29 09:22:00-05:00,LONG,E3,11289.5,P53-0299840,11289.5,11246.5,0.3288009888751545,-3.3053152039555007,0.3288009888751545,1.0210135970333745,1.2978986402966626,2.6457399103139014,0.7866666666666666,1.003708281829419,1.280593325092707,1.626699629171817,2.7169344870210135,14.446428571428571,1.1389874415723378,1.109433962264151,0.0,1.1469147508685726,4.4647713226205195,6.1087762669962915,1,0,0,2557.0,4161.0,0.9017857142857143,0.9017857142857143,0.9030837004405287,0.9030837004405287,0.7901785714285714,0.7901785714285714,0.7929515418502202,1,0,0,-8,3,0,0.0,-1.0669138854552274,0.830655129789864,1.545941491553358,0.622991347342398,1.1594561186650185,0.899876390605686,1.1594561186650185,0.899876390605686,2.007416563658838,0.899876390605686,2.370828182941904,2.543881334981459,2.370828182941904,0,0,0,0,0.7418566936035503,1,10,True,True,EP-0002214,False
1074755,2020-10-29 12:21:00-05:00,LONG,E3,11329.25,P53-0299886,11329.25,11311.5,0.3581395348837209,-2.669767441860465,0.3581395348837209,1.1069767441860465,1.3348837209302324,2.595419847328244,1.0,1.1395348837209303,1.3674418604651162,1.986046511627907,2.1488372093023256,7.678571428571429,0.876120619396903,3.21760391198044,0.0,1.0430934500503044,1.855813953488372,3.1906976744186046,1,0,0,2736.0,4340.0,0.9444444444444444,0.9482758620689655,0.9482758620689655,0.9482758620689655,0.9714285714285714,0.9736842105263158,0.9736842105263158,1,0,0,171,3,0,11.0,2.3741085271318,2.5178294573643414,0.43410852713178294,1.8883720930232557,0.3255813953488372,5.306976744186047,0.3255813953488372,5.534883720930233,0.3255813953488372,5.534883720930233,0.3255813953488372,12.795348837209302,0.3255813953488372,1,1,1,0,0.727597962662877,1,10,True,True,EP-0002215,False
1074809,2020-10-29 13:15:00-05:00,LONG,E11,11409.5,P53-0299908,11403.25,11393.0,1.4103194103194103,-2.8206388206388207,0.5503685503685504,1.2039312039312038,1.3415233415233414,2.3728813559322033,0.8974358974358975,1.2383292383292384,1.7542997542997543,1.6167076167076166,2.3046683046683047,7.267857142857143,0.9737075049642337,3.3202933985330074,1.2210230490665552,1.2139651123667485,6.363636363636363,12.864864864864865,1,0,0,30.0,4394.0,0.9330985915492958,0.9330985915492958,0.9330985915492958,0.9521410579345088,0.9574468085106383,0.959731543624161,0.9692307692307692,1,1,0,225,3,0,1.0,2.3669942669942734,2.7518427518427515,0.32104832104832104,2.3046683046683047,0.24078624078624078,3.8869778869778866,0.24078624078624078,5.366093366093366,0.24078624078624078,6.0884520884520885,0.24078624078624078,6.0884520884520885,2.786240786240786,1,0,0,0,0.8041592047468115,1,10,True,True,EP-0002216,False
1074904,2020-10-29 14:50:00-05:00,SHORT,E6,11429.25,P53-0299934,11429.25,11394.5,-1.3535353535353536,-1.4545454545454546,1.3535353535353536,1.4545454545454546,2.2222222222222223,3.5643564356435644,0.07272727272727272,-1.5151515151515151,-1.5555555555555556,0.6060606060606061,0.8484848484848485,12.375,1.2763606225250943,-1.6460176991150441,0.0,1.895974599630221,0.3434343434343434,0.2222222222222222,1,0,0,35.0,35.0,0.010917030567685589,0.010917030567685589,0.010917030567685589,0.010917030567685589,0.3103448275862069,0.3103448275862069,0.36507936507936506,1,0,0,320,3,1,3.0,-1.078114478114478,1.1313131313131313,1.3468013468013469,2.0,1.494949494949495,7.717171717171717,1.494949494949495,7.717171717171717,1.494949494949495,15.555555555555555,1.6161616161616161,16.707070707070706,1.6161616161616161,0,0,0,0,0.8525750718797082,1,10,True,True,EP-0002217,False
1074904,2020-10-29 14:50:00-05:00,LONG,E13,11437.25,P53-0299935,11429.25,11394.5,-1.3535353535353536,-1.4545454545454546,-2.0,1.4545454545454546,2.2222222222222223,3.5643564356435644,0.07272727272727272,-1.5151515151515151,-1.5555555555555556,0.6060606060606061,0.8484848484848485,12.375,1.2763606225250943,-1.6460176991150441,0.0,1.895974599630221,0.3434343434343434,0.2222222222222222,1,0,0,35.0,35.0,0.010917030567685589,0.010917030567685589,0.010917030567685589,0.010917030567685589,0.3103448275862069,0.3103448275862069,0.36507936507936506,0,0,0,320,3,1,0.0,-1.078114478114478,0.2962962962962963,1.1313131313131313,1.494949494949495,2.0,1.494949494949495,7.717171717171717,1.494949494949495,7.717171717171717,1.6161616161616161,15.555555555555555,1.6161616161616161,16.707070707070706,0,0,0,0,0.7914642379062129,1,10,True,True,EP-0002218,False
1074929,2020-10-29 15:30:00-05:00,SHORT,E2,11317.0,P53-0299949,11432.5,11317.0,-5.772307692307692,0.7969230769230768,0.7969230769230768,1.5938461538461537,2.283076923076923,2.1203438395415475,0.22641509433962265,-1.0123076923076924,-1.8092307692307692,-2.918461538461538,-5.212307692307692,23.214285714285715,1.7716481779279891,-2.764029749830967,-1.2390818780352748,1.4974232734557567,4.587692307692308,4.286153846153846,1,0,0,75.0,75.0,0.17529411764705882,0.17529411764705882,0.17529411764705882,0.17087155963302753,0.16642754662840745,0.13647058823529412,0.13647058823529412,1,1,0,360,3,0,16.0,2.458358974358973,3.0871794871794873,0.11487179487179487,3.3815384615384616,0.08615384615384615,3.3815384615384616,0.08615384615384615,3.3815384615384616,0.08615384615384615,3.9953846153846153,0.08615384615384615,5.266153846153846,0.08615384615384615,1,1,1,0,0.8093636359597342,1,10,True,True,EP-0002219,False
1075020,2020-10-29 18:01:00-05:00,LONG,E1,11199.0,P53-0299962,11199.0,11180.5,3.023474178403756,-7.887323943661972,3.023474178403756,3.746478873239437,5.061032863849766,6.589595375722543,0.8311688311688312,3.6807511737089205,3.8122065727699534,3.615023474178404,3.352112676056338,3.8035714285714284,0.31925895948558836,4.022988505747127,0.7029486586983312,0.7029486586983312,8.084507042253522,2.892018779342723,1,0,0,226.0,226.0,0.9,0.9,0.9,0.9136363636363637,0.7596153846153846,0.7596153846153846,0.7596153846153846,1,1,0,511,3,1,31.0,2.2458528951487393,3.50547730829421,0.08763693270735524,4.535211267605634,0.13145539906103287,5.652582159624413,0.13145539906103287,5.652582159624413,0.13145539906103287,7.230046948356808,0.13145539906103287,7.230046948356808,6.704225352112676,1,0,0,0,0.7221943304388349,1,10,True,True,EP-0002220,False
1075395,2020-10-30 00:16:00-05:00,SHORT,E12,11167.0,P53-0300055,11196.5,11185.25,-6.577181208053692,4.4630872483221475,1.0335570469798658,1.221476510067114,1.5973154362416109,2.5120772946859904,0.17647058823529413,-1.221476510067114,-2.25503355704698,-3.5234899328859064,-5.6375838926174495,5.321428571428571,1.5878936430969257,-4.564,-1.707131443610487,1.6971482187940514,7.23489932885906,8.926174496644295,1,0,0,601.0,601.0,0.195906432748538,0.195906432748538,0.195906432748538,0.1830601092896175,0.2358490566037736,0.22058823529411764,0.22058823529411764,1,1,0,-554,4,0,2.0,2.3183445190156244,6.451901565995526,0.06263982102908278,9.489932885906041,0.04697986577181208,9.489932885906041,0.04697986577181208,9.489932885906041,0.04697986577181208,15.174496644295303,0.04697986577181208,22.926174496644297,0.04697986577181208,1,1,1,0,0.81737126696983,1,10,True,True,EP-0002221,False
