entry_i,entry_price,entry_timestamp,direction,atr,stop,target,exit_i,exit_timestamp,exit_price,exit_reason,gross_R,net_R,MFE_R,MAE_R,same_bar_ambiguous,event_id,episode_id,score,event_type,core_authorized
1329717,14914.75,2021-07-22 14:45:00-05:00,LONG,4.482142857142857,14911.388392857143,14923.154017857143,1329726,2021-07-22 14:54:00-05:00,14923.154017857143,TARGET,2.5,2.2843293492695715,2.6029216467463483,0.9667994687915008,False,P53-0374937,EP-0003948,0.7205232473394808,E5,0
1330274,14977.25,2021-07-23 01:02:00-05:00,LONG,2.1785714285714284,14975.61607142857,14981.33482142857,1330276,2021-07-23 01:04:00-05:00,14981.33482142857,TARGET,2.5,2.0562841530056764,2.9071038251366126,0.15300546448087435,False,P53-0375113,EP-0003949,0.6963649849557426,E1,0
1330377,14979.0,2021-07-23 02:45:00-05:00,LONG,2.607142857142857,14977.044642857143,14983.888392857143,1330381,2021-07-23 02:49:00-05:00,14983.888392857143,TARGET,2.5,2.1292237442921884,3.068493150684932,0.1278538812785388,False,P53-0375144,EP-0003950,0.8367207435857961,E13,0
1330488,15007.75,2021-07-23 04:36:00-05:00,LONG,1.6964285714285714,15006.47767857143,15010.93080357143,1330489,2021-07-23 04:37:00-05:00,15006.47767857143,STOP,-0.9999999999993873,-1.5698245614032453,0.0,1.5719298245614035,False,P53-0375169,EP-0003951,0.6933777715300402,E1,0
1330722,14967.5,2021-07-23 08:30:00-05:00,SHORT,4.928571428571429,14971.19642857143,14958.25892857143,1330723,2021-07-23 08:31:00-05:00,14958.25892857143,TARGET,2.5,2.3038647342995584,3.043478260869565,0.13526570048309178,False,P53-0375261,EP-0003952,0.9262914742340114,E2,0
1330830,15037.25,2021-07-23 10:18:00-05:00,LONG,5.464285714285714,15033.151785714286,15047.495535714286,1330837,2021-07-23 10:25:00-05:00,15047.495535714286,TARGET,2.5,2.323093681917189,3.1721132897603486,0.18300653594771243,False,P53-0375306,EP-0003953,0.8542325125607353,E13,0
1331248,15113.0,2021-07-25 18:16:00-05:00,LONG,1.4464285714285714,15111.91517857143,15115.71205357143,1331251,2021-07-25 18:19:00-05:00,15115.71205357143,TARGET,2.5,1.8316872427978736,6.222222222222222,0.4609053497942387,False,P53-0375428,EP-0003954,0.7273719488352183,E13,0
1331362,15089.5,2021-07-25 20:10:00-05:00,SHORT,2.8035714285714284,15091.60267857143,15084.24330357143,1331366,2021-07-25 20:14:00-05:00,15084.24330357143,TARGET,2.5,2.1552016985139284,7.133757961783441,0.475583864118896,False,P53-0375462,EP-0003955,0.7642803141243871,E2,0
1331746,15099.5,2021-07-26 02:34:00-05:00,SHORT,3.7142857142857144,15102.285714285714,15092.535714285714,1331753,2021-07-26 02:41:00-05:00,15092.535714285714,TARGET,2.5,2.2397435897435414,5.833333333333334,0.1794871794871795,False,P53-0375588,EP-0003956,0.6998287988417602,E6,0
1331748,15098.5,2021-07-26 02:36:00-05:00,LONG,3.982142857142857,15095.513392857143,15105.966517857143,1331749,2021-07-26 02:37:00-05:00,15095.513392857143,STOP,-0.9999999999999131,-1.242750373692012,0.33482810164424515,1.4230194319880418,False,P53-0375589,EP-0003957,0.6948493254915706,E5,0
1331778,15053.75,2021-07-26 03:06:00-05:00,SHORT,4.678571428571429,15057.25892857143,15044.97767857143,1331780,2021-07-26 03:08:00-05:00,15044.97767857143,TARGET,2.5,2.293384223918621,2.6361323155216283,0.926208651399491,False,P53-0375603,EP-0003958,0.922689206585614,E12,0
1331809,15060.5,2021-07-26 03:37:00-05:00,LONG,3.6964285714285716,15057.72767857143,15067.43080357143,1331814,2021-07-26 03:42:00-05:00,15057.72767857143,STOP,-0.9999999999997187,-1.2615136876004363,1.1723027375201287,1.0821256038647342,False,P53-0375612,EP-0003959,0.746533469300705,E13,0
1331939,15074.75,2021-07-26 05:47:00-05:00,SHORT,2.642857142857143,15076.732142857143,15069.794642857143,1331946,2021-07-26 05:54:00-05:00,15069.794642857143,TARGET,2.5,2.1342342342342824,2.5225225225225225,0.6306306306306306,False,P53-0375653,EP-0003960,0.7049868389539654,E12,0
1332314,15101.0,2021-07-26 12:02:00-05:00,LONG,3.482142857142857,15098.388392857143,15107.529017857143,1332318,2021-07-26 12:06:00-05:00,15098.388392857143,STOP,-0.9999999999999005,-1.2776068376067657,1.5316239316239317,1.052991452991453,False,P53-0375776,EP-0003961,0.6914319009018891,E13,0
1332806,15100.75,2021-07-26 21:15:00-05:00,SHORT,1.875,15102.15625,15097.234375,1332814,2021-07-26 21:23:00-05:00,15097.234375,TARGET,2.5,1.9844444444444445,2.6666666666666665,0.8888888888888888,False,P53-0375929,EP-0003962,0.700833081951031,E12,0
1333092,15098.25,2021-07-27 02:02:00-05:00,SHORT,3.392857142857143,15100.794642857143,15091.888392857143,1333095,2021-07-27 02:05:00-05:00,15091.888392857143,TARGET,2.5,2.2150877192982747,3.0456140350877194,0.19649122807017544,False,P53-0376004,EP-0003963,0.9306327349411181,E6,0
1333094,15096.5,2021-07-27 02:04:00-05:00,LONG,3.767857142857143,15093.674107142857,15103.564732142857,1333095,2021-07-27 02:05:00-05:00,15093.674107142857,STOP,-1.000000000000092,-1.2565560821485675,0.0,2.123222748815166,False,P53-0376006,EP-0003964,0.8628283788273818,E5,0
1333138,15060.75,2021-07-27 02:48:00-05:00,LONG,5.482142857142857,15056.638392857143,15071.029017857143,1333140,2021-07-27 02:50:00-05:00,15056.638392857143,STOP,-0.9999999999999369,-1.1763300760042912,0.3648208469055375,1.0336590662323564,False,P53-0376023,EP-0003965,0.7045569233502237,E5,0
1333180,15073.0,2021-07-27 03:30:00-05:00,LONG,5.160714285714286,15069.129464285714,15082.676339285714,1333191,2021-07-27 03:41:00-05:00,15082.676339285714,TARGET,2.5,2.3126874279123664,2.5836216839677046,0.19377162629757785,False,P53-0376044,EP-0003966,0.8035504688949076,E5,0
1333330,15110.25,2021-07-27 06:00:00-05:00,LONG,2.767857142857143,15108.174107142857,15115.439732142857,1333331,2021-07-27 06:01:00-05:00,15115.439732142857,TARGET,2.5,2.1507526881720866,3.4924731182795696,0.6021505376344086,False,P53-0376095,EP-0003967,0.8080633016916209,E13,0
1333450,15118.25,2021-07-27 08:00:00-05:00,SHORT,3.0535714285714284,15120.54017857143,15112.52455357143,1333453,2021-07-27 08:03:00-05:00,15120.54017857143,STOP,-1.0000000000003406,-1.31656920077996,0.5458089668615985,1.091617933723197,False,P53-0376122,EP-0003968,0.7522076810677731,E2,0
1333485,15081.0,2021-07-27 08:35:00-05:00,SHORT,8.142857142857142,15087.107142857143,15065.732142857143,1333492,2021-07-27 08:42:00-05:00,15065.732142857143,TARGET,2.5,2.3812865497076072,2.947368421052632,0.9415204678362573,False,P53-0376139,EP-0003969,0.9267307343663216,E14,0
1333517,15014.75,2021-07-27 09:07:00-05:00,SHORT,13.75,15025.0625,14988.96875,1333523,2021-07-27 09:13:00-05:00,14988.96875,TARGET,2.5,2.4296969696969697,2.860606060606061,0.6787878787878788,False,P53-0376151,EP-0003970,0.9416862956508137,E14,0
1333585,14890.75,2021-07-27 10:15:00-05:00,SHORT,12.089285714285714,14899.816964285714,14868.082589285714,1333589,2021-07-27 10:19:00-05:00,14868.082589285714,TARGET,2.5,2.420039389463314,3.253569670113245,0.49630723781388486,False,P53-0376166,EP-0003971,0.7504936297862235,E2,0
1333647,14843.75,2021-07-27 11:17:00-05:00,LONG,12.982142857142858,14834.013392857143,14868.091517857143,1333648,2021-07-27 11:18:00-05:00,14834.013392857143,STOP,-0.9999999999999734,-1.074461256304423,0.0,1.1554332874828062,False,P53-0376188,EP-0003972,0.7639934429782936,E3,0
1333755,14827.5,2021-07-27 13:05:00-05:00,LONG,7.928571428571429,14821.55357142857,14842.36607142857,1333762,2021-07-27 13:12:00-05:00,14842.36607142857,TARGET,2.5,2.378078078078094,2.606606606606607,0.6306306306306306,False,P53-0376227,EP-0003973,0.7698348263459781,E13,0
1333795,14889.5,2021-07-27 13:45:00-05:00,LONG,5.428571428571429,14885.42857142857,14899.67857142857,1333799,2021-07-27 13:49:00-05:00,14899.67857142857,TARGET,2.5,2.3219298245614377,2.517543859649123,0.1842105263157895,False,P53-0376241,EP-0003974,0.7871396824171567,E1,0
1333860,14924.0,2021-07-27 14:50:00-05:00,LONG,8.017857142857142,14917.986607142857,14939.033482142857,1333861,2021-07-27 14:51:00-05:00,14917.986607142857,STOP,-1.0000000000000433,-1.1205642167780634,0.041573867854491464,1.3303637713437269,False,P53-0376262,EP-0003975,0.7370074927394513,E3,0
1334392,14920.25,2021-07-28 00:42:00-05:00,LONG,5.125,14916.40625,14929.859375,1334395,2021-07-28 00:45:00-05:00,14929.859375,TARGET,2.5,2.3113821138211383,2.5365853658536586,0.3902439024390244,False,P53-0376405,EP-0003976,0.7294276941462746,E13,0
1334532,14934.75,2021-07-28 03:02:00-05:00,LONG,3.9285714285714284,14931.80357142857,14942.11607142857,1334534,2021-07-28 03:04:00-05:00,14942.11607142857,TARGET,2.5,2.253939393939459,3.0545454545454547,0.1696969696969697,False,P53-0376457,EP-0003977,0.7518582840299323,E9,0
1334660,14981.25,2021-07-28 05:10:00-05:00,SHORT,2.8392857142857144,14983.379464285714,14975.926339285714,1334662,2021-07-28 05:12:00-05:00,14975.926339285714,TARGET,2.5,2.159538784067003,3.9916142557651995,0.469601677148847,False,P53-0376483,EP-0003978,0.7501185325617141,E14,0
1334787,14996.75,2021-07-28 07:17:00-05:00,LONG,3.2142857142857144,14994.339285714286,15002.776785714286,1334793,2021-07-28 07:23:00-05:00,15002.776785714286,TARGET,2.5,2.199259259259194,3.6296296296296298,0.6222222222222222,False,P53-0376526,EP-0003979,0.8067584197550252,E13,0
1334860,15015.25,2021-07-28 08:30:00-05:00,SHORT,5.625,15019.46875,15004.703125,1334861,2021-07-28 08:31:00-05:00,15019.46875,STOP,-1.0,-1.171851851851852,1.125925925925926,1.6592592592592592,False,P53-0376550,EP-0003980,0.985301445282645,E14,0
1334907,15037.75,2021-07-28 09:17:00-05:00,LONG,12.517857142857142,15028.361607142857,15061.220982142857,1334918,2021-07-28 09:28:00-05:00,15061.220982142857,TARGET,2.5,2.422776985259156,2.8226343319067997,0.15977175463623394,False,P53-0376564,EP-0003981,0.8267875760116429,E1,0
1334919,15052.5,2021-07-28 09:29:00-05:00,SHORT,11.75,15061.3125,15030.46875,1334920,2021-07-28 09:30:00-05:00,15061.3125,STOP,-1.0,-1.0822695035460992,0.22695035460992907,1.3617021276595744,False,P53-0376569,EP-0003982,0.7158016664768339,E6,0
1335131,14970.25,2021-07-28 13:01:00-05:00,LONG,12.142857142857142,14961.142857142857,14993.017857142857,1335132,2021-07-28 13:02:00-05:00,14993.017857142857,TARGET,2.5,2.4203921568627473,4.556862745098039,0.1372549019607843,False,P53-0376661,EP-0003983,0.7517443616088119,E5,0
1335536,14960.75,2021-07-28 20:46:00-05:00,SHORT,4.214285714285714,14963.910714285714,14952.848214285714,1335538,2021-07-28 20:48:00-05:00,14952.848214285714,TARGET,2.5,2.270621468926516,3.0847457627118646,0.23728813559322035,False,P53-0376795,EP-0003984,0.6905087537742807,E2,0
1335751,14977.0,2021-07-29 00:21:00-05:00,LONG,2.1964285714285716,14975.35267857143,14981.11830357143,1335756,2021-07-29 00:26:00-05:00,14981.11830357143,TARGET,2.5,2.059891598915781,2.8834688346883466,0.15176151761517612,False,P53-0376856,EP-0003985,0.6912279502091863,E1,0
1335872,15014.5,2021-07-29 02:22:00-05:00,LONG,3.5535714285714284,15011.83482142857,15021.16294642857,1335878,2021-07-29 02:28:00-05:00,15021.16294642857,TARGET,2.5,2.2279731993300627,3.2830820770519265,0.5628140703517589,False,P53-0376894,EP-0003986,0.733564915608522,E3,0
1336150,14997.75,2021-07-29 07:00:00-05:00,LONG,2.9464285714285716,14995.54017857143,15003.27455357143,1336155,2021-07-29 07:05:00-05:00,15003.27455357143,TARGET,2.5,2.171919191919076,2.828282828282828,0.11313131313131312,False,P53-0376957,EP-0003987,0.7266228675475656,E13,0
1336240,15001.5,2021-07-29 08:30:00-05:00,LONG,5.696428571428571,14997.22767857143,15012.18080357143,1336241,2021-07-29 08:31:00-05:00,14997.22767857143,STOP,-0.9999999999998175,-1.169696969696818,0.4681295715778474,3.101358411703239,False,P53-0376998,EP-0003988,0.9877041337162157,E1,0
1336299,15064.5,2021-07-29 09:29:00-05:00,LONG,9.892857142857142,15057.080357142857,15083.049107142857,1336301,2021-07-29 09:31:00-05:00,15057.080357142857,STOP,-1.000000000000035,-1.0977135980746406,0.40433212996389895,1.3140794223826715,False,P53-0377019,EP-0003989,0.7543803424999274,E11,0
1336631,14985.25,2021-07-29 15:01:00-05:00,SHORT,10.303571428571429,14992.97767857143,14965.93080357143,1336632,2021-07-29 15:02:00-05:00,14992.97767857143,STOP,-1.0000000000001008,-1.093818601964274,0.3882149046793761,1.6175621028307337,False,P53-0377120,EP-0003990,0.9035511417061911,E2,0
1336663,14933.5,2021-07-29 15:33:00-05:00,SHORT,6.785714285714286,14938.589285714286,14920.776785714286,1336666,2021-07-29 15:36:00-05:00,14938.589285714286,STOP,-1.0000000000001021,-1.1424561403509648,1.080701754385965,1.768421052631579,False,P53-0377137,EP-0003991,0.8157201450940542,E12,0
1336691,14914.25,2021-07-29 17:01:00-05:00,LONG,8.339285714285714,14907.995535714286,14929.886160714286,1336700,2021-07-29 17:10:00-05:00,14929.886160714286,TARGET,2.5,2.384082798001418,2.598144182726624,0.2798001427551749,False,P53-0377148,EP-0003992,0.7323502894533771,E5,0
1337170,14832.5,2021-07-30 01:00:00-05:00,LONG,4.178571428571429,14829.36607142857,14840.33482142857,1337172,2021-07-30 01:02:00-05:00,14840.33482142857,TARGET,2.5,2.268660968661026,3.829059829059829,0.15954415954415954,False,P53-0377250,EP-0003993,0.844402196370251,E1,0
1337295,14847.25,2021-07-30 03:05:00-05:00,LONG,4.160714285714286,14844.129464285714,14855.051339285714,1337296,2021-07-30 03:06:00-05:00,14844.129464285714,STOP,-1.0000000000001665,-1.2323319027182966,0.24034334763948498,1.2017167381974247,False,P53-0377314,EP-0003994,0.694506989009533,E1,0
1337460,14882.5,2021-07-30 05:50:00-05:00,LONG,3.107142857142857,14880.169642857143,14888.325892857143,1337462,2021-07-30 05:52:00-05:00,14888.325892857143,TARGET,2.5,2.188888888888854,3.111111111111111,0.21455938697318008,False,P53-0377371,EP-0003995,0.7872251657606824,E13,0
1337620,14896.25,2021-07-30 08:30:00-05:00,LONG,6.803571428571429,14891.14732142857,14909.00669642857,1337621,2021-07-30 08:31:00-05:00,14909.00669642857,TARGET,2.5,2.3579177602799866,4.26246719160105,0.6369203849518811,False,P53-0377429,EP-0003996,0.9104922369489078,E1,0
1337634,14913.5,2021-07-30 08:44:00-05:00,SHORT,15.928571428571429,14925.44642857143,14883.63392857143,1337635,2021-07-30 08:45:00-05:00,14925.44642857143,STOP,-1.0000000000000653,-1.0606875934230808,0.35575485799701045,1.1928251121076234,False,P53-0377432,EP-0003997,0.7733844636137392,E6,0
1337651,14959.0,2021-07-30 09:01:00-05:00,LONG,9.857142857142858,14951.607142857143,14977.482142857143,1337654,2021-07-30 09:04:00-05:00,14977.482142857143,TARGET,2.5,2.401932367149755,2.8405797101449273,0.0,False,P53-0377442,EP-0003998,0.7025013855656776,E13,0
1337815,14964.75,2021-07-30 11:45:00-05:00,LONG,4.732142857142857,14961.200892857143,14973.622767857143,1337817,2021-07-30 11:47:00-05:00,14961.200892857143,STOP,-0.999999999999927,-1.2042767295596903,0.49308176100628937,1.19748427672956,False,P53-0377492,EP-0003999,0.7115048455036965,E1,0
1338070,14974.0,2021-08-01 17:00:00-05:00,LONG,2.4285714285714284,14972.17857142857,14978.55357142857,1338071,2021-08-01 17:01:00-05:00,14978.55357142857,TARGET,2.5,2.1019607843138957,3.294117647058824,0.0,False,P53-0377559,EP-0004000,0.7464996047021389,E11,0
1338335,15011.5,2021-08-01 21:25:00-05:00,LONG,2.6785714285714284,15009.49107142857,15016.52232142857,1338339,2021-08-01 21:29:00-05:00,15016.52232142857,TARGET,2.5,2.139111111111251,2.8622222222222224,0.8711111111111112,False,P53-0377644,EP-0004001,0.7232384795267798,E1,0
1338610,15042.0,2021-08-02 02:00:00-05:00,LONG,2.3214285714285716,15040.25892857143,15046.35267857143,1338611,2021-08-02 02:01:00-05:00,15040.25892857143,STOP,-0.9999999999995521,-1.416410256409995,1.4358974358974357,1.7230769230769227,False,P53-0377720,EP-0004002,0.7344932314384626,E5,0
1338790,15034.25,2021-08-02 05:00:00-05:00,SHORT,2.125,15035.84375,15030.265625,1338791,2021-08-02 05:01:00-05:00,15035.84375,STOP,-1.0,-1.4549019607843137,0.1568627450980392,3.2941176470588234,False,P53-0377758,EP-0004003,0.7952333850187155,E2,0
1338840,15024.75,2021-08-02 05:50:00-05:00,SHORT,3.0714285714285716,15027.05357142857,15018.99107142857,1338847,2021-08-02 05:57:00-05:00,15018.99107142857,TARGET,2.5,2.185271317829351,3.906976744186046,0.6511627906976744,False,P53-0377762,EP-0004004,0.8119060288208412,E14,0
1338842,15023.25,2021-08-02 05:52:00-05:00,LONG,3.0535714285714284,15020.95982142857,15028.97544642857,1338847,2021-08-02 05:57:00-05:00,15020.95982142857,STOP,-1.0000000000003406,-1.31656920077996,1.3099415204678364,3.274853801169591,False,P53-0377763,EP-0004005,0.7381595084809082,E5,0
