trade_id,capture_pct,total_excursion_atr,consumed_atr
T58-000312,1.0,8.166666666666668,0.0
T58-000313,0.9285714285714285,3.0153846153846153,0.21538461538461537
T58-000314,1.0,2.6808510638297873,0.0
T58-000315,1.0,14.0,0.0
T58-000316,1.0,4.836363636363637,0.0
T58-000317,0.46875,3.7966101694915255,2.016949152542373
T58-000318,1.0,2.5869565217391304,0.0
T58-000319,1.0,1.2413793103448276,0.0
T58-000320,0.9024390243902439,3.7516339869281046,0.3660130718954248
T58-000321,0.7777777777777777,1.05,0.23333333333333334
T58-000322,1.0,4.597014925373134,0.0
T58-000323,1.0,0.11570247933884298,0.0
T58-000324,1.0,11.072727272727274,0.0
T58-000325,1.0,7.693693693693693,0.0
T58-000326,0.9848484848484849,9.726315789473684,0.1473684210526316
T58-000327,0.904109589041096,12.166666666666666,1.1666666666666667
T58-000328,1.0,0.345679012345679,0.0
T58-000329,1.0,0.34146341463414637,0.0
T58-000330,0.7894736842105263,4.8807339449541285,1.0275229357798166
T58-000331,0.5909090909090909,2.40625,0.984375
T58-000332,1.0,2.1875,0.0
T58-000333,0.9500000000000001,3.076923076923077,0.15384615384615385
T58-000334,1.0,4.72972972972973,0.0
T58-000335,1.0,2.3058823529411767,0.0
T58-000336,1.0,4.54054054054054,0.0
T58-000337,0.6153846153846154,2.6764705882352944,1.0294117647058825
T58-000338,0.5882352941176471,2.9382716049382718,1.2098765432098766
T58-000339,1.0,4.54054054054054,0.0
T58-000340,0.9285714285714285,2.8,0.2
T58-000341,0.875,2.4347826086956523,0.30434782608695654
T58-000342,0.9821428571428571,12.64516129032258,0.22580645161290322
T58-000343,1.0,8.821917808219178,0.0
T58-000344,0.4000000000000001,1.4583333333333335,0.875
T58-000345,1.0,5.884057971014492,0.0
T58-000346,1.0,6.146341463414634,0.0
T58-000347,0.9310344827586208,4.06,0.27999999999999997
T58-000348,1.0,4.609756097560976,0.0
T58-000349,0.25,0.6086956521739131,0.4565217391304348
T58-000350,1.0,4.883720930232558,0.0
T58-000351,0.6666666666666666,1.8260869565217392,0.6086956521739131
T58-000352,1.0,12.444444444444443,0.0
T58-000353,0.6666666666666666,4.666666666666666,1.5555555555555554
T58-000354,0.9,10.769230769230768,1.0769230769230769
T58-000355,1.0,5.157894736842105,0.0
T58-000356,0.6666666666666667,3.230769230769231,1.0769230769230769
T58-000357,0.7142857142857143,6.125,1.75
T58-000358,1.0,5.384615384615384,0.0
T58-000359,1.0,19.384615384615383,0.0
T58-000360,1.0,0.823529411764706,0.0
T58-000361,1.0,2.3333333333333335,0.0
T58-000362,0.7999999999999999,7.0,1.4
T58-000363,0.0,0.4375,0.4375
T58-000364,0.0,0.7,0.7
T58-000365,0.9090909090909091,11.846153846153845,1.0769230769230769
T58-000366,0.5555555555555556,9.692307692307692,4.3076923076923075
T58-000367,1.0,2.625,0.0
T58-000368,0.8888888888888888,15.75,1.75
T58-000369,1.0,3.5,0.0
T58-000370,0.5,5.090909090909091,2.5454545454545454
