trade_id,armed_i,signal_i,entry_i,arm_to_entry_bars,signal_to_entry_bars
T58-000222,3366,3367,3368,2,1
T58-000223,3378,3379,3380,2,1
T58-000224,3391,3392,3393,2,1
T58-000225,3410,3411,3412,2,1
T58-000226,3437,3438,3439,2,1
T58-000227,3451,3452,3453,2,1
T58-000228,3470,3472,3473,3,1
T58-000229,3479,3480,3481,2,1
T58-000230,3497,3498,3499,2,1
T58-000231,3507,3508,3509,2,1
T58-000232,3515,3516,3517,2,1
T58-000233,3538,3539,3540,2,1
T58-000234,3551,3552,3553,2,1
T58-000235,3564,3565,3566,2,1
T58-000236,3576,3577,3578,2,1
T58-000237,3595,3596,3597,2,1
T58-000238,3603,3604,3605,2,1
T58-000239,3627,3628,3629,2,1
T58-000240,3649,3650,3651,2,1
T58-000241,3673,3674,3675,2,1
T58-000242,3688,3693,3694,6,1
T58-000243,3712,3713,3714,2,1
T58-000244,3736,3737,3738,2,1
T58-000245,3757,3758,3759,2,1
T58-000246,3767,3768,3769,2,1
T58-000247,3775,3776,3777,2,1
T58-000248,3800,3801,3802,2,1
T58-000249,3811,3812,3813,2,1
T58-000250,3824,3825,3826,2,1
T58-000251,3834,3835,3836,2,1
T58-000252,3846,3847,3848,2,1
T58-000253,3871,3872,3873,2,1
T58-000254,3888,3889,3890,2,1
T58-000255,3900,3901,3902,2,1
T58-000256,3910,3911,3912,2,1
T58-000257,3924,3925,3926,2,1
T58-000258,3949,3950,3951,2,1
T58-000259,3963,3964,3965,2,1
T58-000260,3972,3973,3974,2,1
T58-000261,3981,3982,3983,2,1
T58-000262,3991,3994,3995,4,1
T58-000263,4003,4004,4005,2,1
T58-000264,4012,4013,4014,2,1
T58-000265,4020,4021,4022,2,1
T58-000266,4030,4031,4032,2,1
T58-000267,4055,4056,4057,2,1
T58-000268,4074,4075,4076,2,1
T58-000269,4088,4089,4090,2,1
T58-000270,4120,4121,4122,2,1
T58-000271,4130,4131,4132,2,1
T58-000272,4142,4143,4144,2,1
T58-000273,4154,4155,4156,2,1
T58-000274,4176,4177,4178,2,1
T58-000275,4196,4197,4198,2,1
T58-000276,4211,4212,4213,2,1
T58-000277,4236,4237,4238,2,1
T58-000278,4267,4269,4270,3,1
T58-000279,4285,4286,4287,2,1
T58-000280,4308,4309,4310,2,1
T58-000281,4339,4340,4341,2,1
T58-000282,4355,4356,4357,2,1
T58-000283,4382,4383,4384,2,1
T58-000284,4398,4399,4400,2,1
T58-000285,4409,4411,4412,3,1
T58-000286,4422,4423,4424,2,1
T58-000287,4440,4441,4442,2,1
T58-000288,4449,4450,4451,2,1
T58-000289,4458,4459,4460,2,1
T58-000290,4484,4485,4486,2,1
T58-000291,4499,4500,4501,2,1
T58-000292,4521,4522,4523,2,1
T58-000293,4533,4534,4535,2,1
T58-000294,4561,4562,4563,2,1
T58-000295,4569,4570,4571,2,1
T58-000296,4580,4581,4582,2,1
T58-000297,4607,4608,4609,2,1
T58-000298,4616,4617,4618,2,1
T58-000299,4632,4633,4634,2,1
T58-000300,4645,4646,4647,2,1
T58-000301,4655,4656,4657,2,1
T58-000302,4669,4670,4671,2,1
T58-000303,4699,4700,4701,2,1
T58-000304,4711,4712,4713,2,1
T58-000305,4731,4732,4733,2,1
T58-000306,4743,4744,4745,2,1
T58-000307,4751,4752,4753,2,1
T58-000308,4776,4777,4778,2,1
T58-000309,4806,4807,4808,2,1
T58-000310,4815,4816,4817,2,1
T58-000311,4823,4824,4825,2,1
T58-000312,4835,4836,4837,2,1
T58-000313,4844,4845,4846,2,1
T58-000314,4853,4854,4855,2,1
T58-000315,4866,4867,4868,2,1
T58-000316,4878,4879,4880,2,1
T58-000317,4893,4894,4895,2,1
T58-000318,4916,4917,4918,2,1
T58-000319,4931,4932,4933,2,1
T58-000320,4957,4958,4959,2,1
T58-000321,4973,4974,4975,2,1
T58-000322,4980,4981,4982,2,1
T58-000323,4989,4990,4991,2,1
T58-000324,5002,5003,5004,2,1
T58-000325,5014,5015,5016,2,1
T58-000326,5024,5025,5026,2,1
T58-000327,5032,5033,5034,2,1
T58-000328,5039,5040,5041,2,1
T58-000329,5047,5048,5049,2,1
T58-000330,5059,5060,5061,2,1
T58-000331,5067,5070,5071,4,1
T58-000332,5078,5079,5080,2,1
T58-000333,5087,5088,5089,2,1
T58-000334,5101,5102,5103,2,1
T58-000335,5110,5111,5112,2,1
T58-000336,5119,5120,5121,2,1
T58-000337,5127,5128,5129,2,1
T58-000338,5137,5138,5139,2,1
T58-000339,5147,5148,5149,2,1
T58-000340,5162,5163,5164,2,1
T58-000341,5183,5184,5185,2,1
T58-000342,5196,5197,5198,2,1
T58-000343,5205,5206,5207,2,1
T58-000344,5222,5224,5225,3,1
T58-000345,5240,5241,5242,2,1
T58-000346,5251,5252,5253,2,1
T58-000347,5259,5260,5261,2,1
T58-000348,5279,5280,5281,2,1
T58-000349,5289,5290,5291,2,1
T58-000350,5306,5307,5308,2,1
T58-000351,5331,5333,5334,3,1
T58-000352,5364,5365,5366,2,1
T58-000353,5420,5422,5423,3,1
T58-000354,5434,5435,5436,2,1
T58-000355,5444,5445,5446,2,1
T58-000356,5458,5459,5460,2,1
T58-000357,5480,5481,5482,2,1
T58-000358,5489,5490,5491,2,1
T58-000359,5509,5510,5511,2,1
T58-000360,5528,5529,5530,2,1
T58-000361,5549,5550,5551,2,1
T58-000362,5558,5559,5560,2,1
T58-000363,5566,5568,5569,3,1
T58-000364,5580,5581,5582,2,1
T58-000365,5588,5589,5590,2,1
T58-000366,5630,5631,5632,2,1
T58-000367,5648,5649,5650,2,1
T58-000368,5673,5674,5675,2,1
T58-000369,5680,5681,5682,2,1
T58-000370,5719,5720,5721,2,1
T58-000371,5729,5730,5731,2,1
T58-000372,5753,5754,5755,2,1
T58-000373,5761,5762,5763,2,1
T58-000374,5777,5779,5780,3,1
T58-000375,5790,5791,5792,2,1
T58-000376,5806,5807,5808,2,1
T58-000377,5817,5818,5819,2,1
T58-000378,5831,5832,5833,2,1
T58-000379,5845,5846,5847,2,1
T58-000380,5863,5864,5865,2,1
T58-000381,5876,5878,5879,3,1
T58-000382,5890,5891,5892,2,1
T58-000383,5898,5899,5900,2,1
T58-000384,5911,5912,5913,2,1
T58-000385,5929,5930,5931,2,1
T58-000386,5936,5937,5938,2,1
T58-000387,5953,5954,5955,2,1
T58-000388,5980,5981,5982,2,1
T58-000389,5998,5999,6000,2,1
T58-000390,6011,6012,6013,2,1
T58-000391,6018,6019,6020,2,1
T58-000392,6031,6033,6034,3,1
T58-000393,6051,6052,6053,2,1
T58-000394,6077,6079,6080,3,1
T58-000395,6088,6089,6090,2,1
T58-000396,6096,6097,6098,2,1
T58-000397,6110,6111,6112,2,1
T58-000398,6123,6124,6125,2,1
T58-000399,6140,6143,6144,4,1
T58-000400,6151,6152,6153,2,1
T58-000401,6162,6163,6164,2,1
T58-000402,6174,6176,6177,3,1
