trade_sequence,best_family_cumulative_net_R,complement_cumulative_net_R,long_cumulative_net_R,short_cumulative_net_R
239,,-23.473736511220636,-12.96697137004496,-23.190206168396642
240,,-24.215794787482565,-13.62596655771121,-21.25804601782692
241,,-25.23945028754626,-11.679643958264087,-22.278198347262528
242,,-26.300540360260115,-12.697180179014714,-23.306776879648233
243,,-27.31755711395743,-13.7170629972948,-23.027217820362505
244,,-26.99516465634701,-14.751326609878964,-24.036996882541537
245,,-25.02732001703113,-15.778113162111222,-25.050643941911943
246,,-26.04684713508152,-15.41024601196399,-26.06452329139032
247,,-24.882874368934726,-13.434759264407989,-25.226233149842656
248,,-25.915371413895333,-13.424475167851492,-26.2521277594253
249,,-23.939970760677646,-14.443307591936467,-24.27558251438391
250,,-24.234227111575237,-13.984362447220516,-22.31681199015357
251,,-25.254981790499595,-15.03135501069994,-20.34313114531372
252,,-25.83171253730337,-15.502496383049783,-18.361179464531688
253,,-26.89086725373391,-16.534856116025598,-17.39218328999873
254,,-26.58242619173241,-17.59336714870475,-17.394206831585194
255,,-26.080848933431305,-18.660782715823583,-18.423858991748325
256,,-26.230850628062207,-19.70007592568746,-19.49359164976423
257,,-26.447443043484434,-19.23963033435123,-17.51191163342938
258,,-27.479650379991988,-19.02853383572898,-18.52294807257245
259,,-26.546277398974603,-18.436580830503505,-16.57282706908708
260,,-27.602705104653925,-16.488008809588184,-14.614595365352168
261,,-28.662333908651597,-17.54374455959063,-15.62917735781079
262,,-29.33712496511425,-18.58409469071528,-15.77247239816566
263,,-30.38507991974297,-19.60207681937209,-16.79560226290975
264,,-28.43754136476747,-17.613646756239447,-17.86124968101818
265,,-29.457227173215088,-17.75977517895329,-18.933076748398925
266,,-28.59931877654239,-18.822855165260314,-19.491308663738913
267,,-26.714768899491528,-19.06362684277173,-19.934961635752796
268,,-27.776650938622375,-20.088440460345446,-20.9602584585124
269,,-28.441408351931504,-21.127220351685846,-22.001784502765638
270,,-29.45040080671096,-20.78902897676648,-20.9741028370217
271,,-30.461041989488713,-19.70466911467224,-19.044796528784254
272,,-30.45294303522524,-20.715262952188695,-20.067293135840636
273,,-29.912890112311647,-21.735162515885037,-21.115410439827972
274,,-29.412442186000842,-22.742002805554755,-19.446366834283772
275,,-29.0468999678989,-22.401049512316067,-20.00573223450201
276,,-29.48760968799933,-21.74612291781355,-21.015650459743192
277,,-30.54204197546651,-22.752575916434175,-21.467495417003526
278,,-28.558599849782578,-23.772594544069747,-19.66425926266532
279,,-29.57151367442032,-23.496800055812596,-19.922848829978626
280,,-28.85347725129044,-24.548390521467784,-17.945362891685352
281,,-26.86900212067733,-25.608683542437422,-18.97944855424155
282,,-27.91398713443465,-26.658116907938577,-20.007551489634267
283,,-28.97217169082299,-24.693953108970344,-18.023673694370345
284,,-27.009300514800998,-24.328826281272175,-19.05454964560882
285,,-28.04649192807591,-24.61776961358288,-18.407336542469892
286,,-29.058684072950673,-25.193629170609437,-19.414635603077368
287,,-30.070687882149617,-24.393054986661355,-20.42381044457702
288,,-28.10779503677198,-25.495670860421463,-21.448054803728777
289,,-27.82076634943433,-25.675726677805237,-22.109616106823303
290,,-27.654329270086084,-25.372599916299688,-23.12442177006544
291,,-28.676712363004302,-24.99985348634947,-21.146300112673316
292,,-28.07410684612897,-26.033507660128397,-22.196377548388867
293,,-26.09569582886334,-24.741393649919956,-22.682947720363018
294,,-24.821796263384684,-24.347599105385438,-23.704455205904907
295,,-25.876693715076563,-25.38129545988893,-21.72551903923077
296,,-26.92574084236962,-25.189652425142416,-19.74383282344876
297,,-27.93588545473312,-23.971852427807598,-20.78870327578725
298,,-26.75948620448098,-22.00978660987443,-18.817173729932904
299,,-24.770203949053236,-23.03749701124905,-19.834998169716584
300,,-22.787006931602903,-24.073356906828522,-20.885718565153148
301,,-23.41512256371803,-25.080747349123627,-21.89305696842295
302,,-23.744821921925695,-26.118193687593614,-20.5015204040662
303,,-24.763250794280886,-27.144784825920976,-18.51948387672082
304,,-25.774120044156533,-28.156021598602997,-17.844420913668237
305,,-26.802382420522708,-26.205359725525152,-16.533818152040315
306,,-27.050321412576306,-24.473231357421135,-16.91180822023259
307,,-26.583823521341206,-25.513771510855833,-17.476190919737494
308,,-25.54723966999305,-26.530057292076663,-18.487479277719103
309,,-26.61946143286901,-25.42036203994088,-16.749409350964587
310,,-27.69433525399866,-25.32298305441295,-16.26511174944087
311,,-28.747316710526537,-24.74593390433949,-14.280473252085853
312,,-26.778624090539132,-22.76874728294145,-12.32965920645906
313,,-27.278517790614636,-23.78336527097933,-13.343561506887687
314,,-27.58023868509125,-24.798417320689175,-12.697385691086998
315,,-28.607223930166004,-25.034893106468985,-11.44732054844621
316,,-29.62859445013633,-26.057228485679016,-9.464172230022474
317,,-30.641183016962174,-27.068209167896278,-10.479605530494728
318,,-31.652229465606123,-26.507606999105313,-11.539922416199042
319,,-32.677723779659665,-25.858556328352936,-10.526743708811177
320,,-33.015609725130076,-26.876978248446896,-11.568365525035233
321,,-31.023291446633994,-24.898448351618732,-11.503594039932558
322,,-30.815487298587396,-25.92281798295067,-11.284175255113162
323,,-30.36135711264111,-23.935246995231573,-11.001435395037236
324,,-31.369001533870605,-24.959271838391047,-12.036207227806296
325,,-32.3774029205152,-24.171059732032816,-13.0625188582451
326,,-32.15773250847093,-23.81994948779689,-14.094942534446254
327,,-31.225804578536454,-24.842680021507253,-15.122304206719402
328,,-29.26311089476468,-25.85595778689914,-16.12921809293846
329,,-27.7671807655363,-23.90077742768861,-16.81605219023985
330,,-27.005069993026197,-24.499566944378333,-17.150331248239972
331,,-28.06259077781759,-25.556478438732334,-15.850249114163013
332,,-29.111390372062502,-26.574343564960188,-15.334211082596248
333,,-27.187728112590364,-27.590871477294478,-16.343292197226617
334,,-28.205151794664104,-28.612475205679104,-17.35904688964073
335,,-29.217301109282367,-28.02888521567406,-18.37857550361532
336,,-27.227953809828215,-29.05209042250693,-19.385116489480414
337,,-28.24664398399622,-30.077090395424726,-20.38964752869623
338,,-26.264575761606576,-29.853147593799815,-19.814363865515674
339,,-27.286918653516203,-28.293987047525093,-18.741172381432115
340,,-25.299075546542223,-26.330741967394403,-18.961992884756523
341,,-26.30628961379309,-26.100505601337982,-19.975793941709757
342,,-26.165929824289787,-26.093148206673607,-20.983264853244215
343,,-27.186011683653227,-27.104773478412007,-20.383317524273536
344,,-28.194380535037336,-25.448873476147472,
345,,-28.51669109141264,-26.467636766280663,
346,,-26.963004580032237,-27.484521251921734,
347,,-27.97524746288995,-28.50421495776862,
348,,-27.61979482175181,-27.65762381534729,
349,,-28.424837502677512,-25.676634176957986,
350,,-29.430810519923174,-25.595962556031726,
351,,-27.436662358442902,-23.61856986383666,
352,,-25.44428297235494,-24.647314973324338,
353,,-26.457233535512337,-25.659055505497076,
354,,-27.466549400523487,-25.78057027821469,
355,,-28.4724362134157,-26.790837345386628,
356,,-28.106517757252803,-26.789736315761676,
357,,-28.26076199768025,-24.805922667838086,
358,,-29.28249380947055,-25.831735174947248,
359,,-27.31316496046994,-26.847688702448917,
360,,-27.144517322033742,-26.639422558580264,
361,,-26.73686173911898,-27.651628173935176,
362,,-27.75076964547381,-28.665748529844237,
363,,-26.430658951825265,,
364,,-26.20470659693301,,
365,,-27.24659371551899,,
366,,-28.282348433372306,,
367,,-29.315448113855034,,
368,,-27.339766006753397,,
369,,-26.847285021091707,,
370,,-27.8754755226619,,
371,,-28.56946042393135,,
372,,-29.601937233723955,,
373,,-29.534900371193213,,
374,,-30.576720545013288,,
375,,-30.452966102793447,,
376,,-31.475231978569866,,
377,,-32.49705412342574,,
378,,-31.804626296583002,,
379,,-32.83703356870333,,
380,,-32.949677112995424,,
381,,-32.400505211509625,,
382,,-31.306973911436664,,
383,,-32.35361322433979,,
384,,-33.37937995916194,,
385,,-34.406855697468586,,
386,,-32.45292700251379,,
387,,-30.477461642646464,,
388,,-29.80697915183813,,
389,,-30.841807725384854,,
390,,-28.88546409825217,,
391,,-29.91965599181855,,
392,,-30.952741901758497,,
393,,-30.95637910664539,,
394,,-31.98665679493582,,
395,,-31.550790824292807,,
396,,-32.59669260237462,,
397,,-32.3853246668424,,
398,,-31.937920893324183,,
399,,-32.95450264941187,,
400,,-33.97920050335448,,
401,,-34.147267851101844,,
402,,-33.91113130238132,,
403,,-33.522025019744106,,
404,,-34.5385244229556,,
405,,-33.271230707395134,,
406,,-34.29567667062747,,
407,,-32.31425586826382,,
408,,-32.08736851213417,,
