model,year,incremental_total_r_vs_p4,trades_retained,trades_abstained,new_abstains_vs_p4,AvgR,PF,TotalR,MaxDD,WinRate,winners_retained_pct,losers_removed_pct,meaningful_move_retention_pct,real_reversal_retention_pct,negative_R_avoided,positive_R_destroyed,selectivity_ratio,median_delay,max_delay,marginal_abstained_AvgR,marginal_abstained_n
H2,2026,3.4474098128262085,3504,6,6,0.4751726385989333,1.7795344058988163,1665.0049256506622,18.230104471918025,0.4569063926940639,99.93757802746566,0.2620545073375262,99.84281672430053,,5.622737632555358,2.420157325467074,2.323294264132274,0,0,-0.5337633845147141,6
H3,2017,6.227813292743122,1649,4,4,-0.9521426651741864,0.35580037613037513,-1570.0832548722335,1572.8867870200268,0.3869011522134627,100.0,0.3940886699507389,99.80184940554821,,8.048015312945193,0.0,inf,0,0,-2.012003828236298,4
H3,2018,3.688544358311219,6839,15,15,-0.10581781506064496,0.8867349069468022,-723.6880371997509,1057.2804673191586,0.44158502705073843,99.900760833609,0.31323414252153486,99.82315112540194,,21.155228573280993,5.422437029391782,3.901424481024155,0,0,-1.0488527695926144,15
H3,2019,4.162266314954195,6950,10,10,-0.12101052838692974,0.8703271512868953,-841.0231722891617,869.736675503643,0.4356834532374101,99.93399339933994,0.2035623409669211,99.8895202020202,,12.634002819155743,4.374161977000286,2.8883253262193764,0,0,-0.8259840842155457,10
H3,2020,1.4262467191599626,6869,12,12,0.2522676687591021,1.3517016444293548,1732.8266167062725,89.42324680070871,0.4361624690639103,99.89996665555185,0.23183925811437403,99.82334992773406,,12.624041055709446,7.151440786388465,1.7652444357418344,0,0,-0.45605002244341514,12
H3,2021,5.457209177726554,7262,19,19,0.26177844342582995,1.360754551369448,1901.035056158377,62.50560174080033,0.45125309832002203,99.90853658536587,0.3999000249937516,99.77324263038548,,20.79406111263335,6.810952884799617,3.0530325880011024,0,0,-0.7359530646228281,19
H3,2022,2.4291987422748207,7200,13,13,0.34168519171260187,1.5108910130673694,2460.1333803307334,25.80766836359453,0.43916666666666665,99.87365761212888,0.2223869532987398,99.84753773441074,,10.763019001528468,9.38520379422804,1.1468071698291509,0,0,-0.10598578517695592,13
H3,2023,0.12586921850061117,7077,9,9,0.22112436235601177,1.2986622384365816,1564.8971123934953,139.41298105587953,0.44157128726861666,99.90409207161125,0.15159171298635674,99.86042183622828,,7.849135707752458,6.862015115030538,1.1438528735618394,0,0,-0.10968006585799103,9
H3,2024,3.9398329667183134,7262,7,7,0.292039876903389,1.4168766022758725,2120.793586072411,35.44223688979673,0.4445056458275957,100.0,0.17322444939371442,99.9089667728721,,8.615145964938039,0.0,inf,0,0,-1.2307351378482914,7
H3,2025,1.274788494078166,7234,12,12,0.3761687695498161,1.5737924415279607,2721.2048789233695,38.255004726588595,0.4460879181642245,99.96902106567535,0.27376804380288705,99.81897722130034,,12.55826512249289,2.3017094017094015,5.456060227744776,0,0,-0.8547129767319572,12
H3,2026,2.242359307775587,3505,5,5,0.47469325967064524,1.77853097736068,1663.7998751456116,18.230104471918025,0.4567760342368046,99.93757802746566,0.20964360587002098,99.87425337944043,,4.4176871275048235,2.420157325467074,1.8253718801740462,0,0,-0.39950596040754993,5
H4,2017,0.0,1652,1,1,-0.9541834553056759,0.3548935344843161,-1576.3110681649766,1579.1146003127694,0.38619854721549635,100.0,0.09852216748768472,99.93394980184941,,1.8202020202021407,0.0,inf,0,0,-1.8202020202021407,1
H4,2018,0.0,6841,13,13,-0.10632606074522176,0.8862232924246376,-727.3765815580621,1060.96901167747,0.4414559274959801,99.900760833609,0.261028452101279,99.82315112540194,,17.466684214969764,5.422437029391782,3.22118710098307,0,0,-0.9264805527367681,13
H4,2019,0.0,6953,7,7,-0.1215569450027493,0.8697689705250639,-845.1854386041159,873.8989418185975,0.4354954695814756,99.93399339933994,0.1272264631043257,99.93686868686868,,8.471736504201537,4.374161977000286,1.9367678994848945,0,0,-0.5853677896001788,7
H4,2020,0.0,6870,11,11,0.25202334352068595,1.3513104712325974,1731.4003699871125,89.42324680070871,0.436098981077147,99.89996665555185,0.20607934054611027,99.83940902521277,,11.197794336549407,7.151440786388465,1.5658095579652256,0,0,-0.3678503227419039,11
H4,2021,0.0,7269,12,12,0.2607756014555854,1.3591877856478944,1895.5778469806505,62.50560174080033,0.45095611500894206,99.9390243902439,0.24993751562109473,99.83371126228269,,13.00139094199895,4.475491891891815,2.905019438322162,0,0,-0.7104915875089279,12
H4,2022,0.0,7202,11,11,0.3412530104954816,1.5101292029026707,2457.7041815884586,25.80766836359453,0.43904470980283256,99.87365761212888,0.1729676303434643,99.86278396096967,,8.333820259253795,9.38520379422804,0.8879743521796668,0,0,0.09558032136129507,11
H4,2023,0.0,7080,6,6,0.22101288745409528,1.2984960026429764,1564.7712431749947,139.41298105587953,0.44152542372881354,99.93606138107417,0.1010611419909045,99.90694789081886,,5.352772071388715,4.4915206971677115,1.1917505077432007,0,0,-0.14354189570350076,6
H4,2024,0.0,7265,4,4,0.29137697909231836,1.4157801676218222,2116.8537531056927,36.627317060192695,0.4443220922229869,100.0,0.0989853996535511,99.93931118191473,,4.6753129982198125,0.0,inf,0,0,-1.1688282495549531,4
H4,2025,0.0,7235,11,11,0.37594057918856827,1.5733695174131868,2719.9300904292913,38.255004726588595,0.4460262612301313,99.96902106567535,0.24888003982080636,99.83406245285865,,11.283476628414892,2.3017094017094015,4.902215987837143,0,0,-0.8165242933368627,11
H4,2026,0.0,3507,3,3,0.4737831525057987,1.7766668052682673,1661.557515837836,18.230104471918025,0.45651554034787567,99.93757802746566,0.10482180293501049,99.93712668972022,,2.175327819729136,2.420157325467074,0.8988373593891514,0,0,0.08160983524597931,3
