trade_id,gross_r,net_r,exit_reason,label
E-000124,1.8750000000003357,1.874880389471074,TARGET,DIAGNOSTIC_ONLY
E-000125,-1.0,-1.0001196464829534,STOP,DIAGNOSTIC_ONLY
E-000126,-1.0,-1.000119601015725,STOP,DIAGNOSTIC_ONLY
E-000127,-1.0,-1.0001196764608782,STOP,DIAGNOSTIC_ONLY
E-000128,1.8750000000001232,1.874880376783791,TARGET,DIAGNOSTIC_ONLY
E-000129,1.8749999999996614,1.87488044652893,TARGET,DIAGNOSTIC_ONLY
E-000130,1.8750000000007276,1.8748804891122848,TARGET,DIAGNOSTIC_ONLY
E-000131,-1.0,-1.0001194992803553,STOP,DIAGNOSTIC_ONLY
E-000132,-1.0,-1.0001194599000185,STOP,DIAGNOSTIC_ONLY
E-000133,1.8750000000003033,1.8748806549284318,TARGET,DIAGNOSTIC_ONLY
E-000134,1.875,1.8748806682577566,TARGET,DIAGNOSTIC_ONLY
E-000135,-1.0,-1.0001193306900311,STOP,DIAGNOSTIC_ONLY
E-000136,-1.0,-1.0001193405114006,STOP,DIAGNOSTIC_ONLY
E-000137,1.8749999999956344,1.8748806517663095,TARGET,DIAGNOSTIC_ONLY
E-000138,-1.0,-1.0001193587553763,STOP,DIAGNOSTIC_ONLY
E-000139,-1.0,-1.0001193966645394,STOP,DIAGNOSTIC_ONLY
E-000140,-1.0,-1.0001194265173934,STOP,DIAGNOSTIC_ONLY
E-000141,1.8749999999997726,1.8748806128147812,TARGET,DIAGNOSTIC_ONLY
E-000142,1.8749999999991604,1.874880629662983,TARGET,DIAGNOSTIC_ONLY
E-000143,1.8750000000013642,1.8748806380878105,TARGET,DIAGNOSTIC_ONLY
E-000144,-1.0,-1.0001193366528127,STOP,DIAGNOSTIC_ONLY
E-000145,1.8750000000013642,1.874880682287092,TARGET,DIAGNOSTIC_ONLY
E-000146,1.875,1.8748807026204286,TARGET,DIAGNOSTIC_ONLY
E-000147,-1.0,-1.0001192644380472,STOP,DIAGNOSTIC_ONLY
E-000148,-1.0,-1.0001193534921184,STOP,DIAGNOSTIC_ONLY
E-000149,1.875,1.8748806166766152,TARGET,DIAGNOSTIC_ONLY
E-000150,-1.0,-1.0001194047408977,STOP,DIAGNOSTIC_ONLY
E-000151,1.875000000000428,1.8748806454556952,TARGET,DIAGNOSTIC_ONLY
E-000152,-1.0,-1.0001194409223428,STOP,DIAGNOSTIC_ONLY
E-000153,1.875000000000496,1.8748806036870778,TARGET,DIAGNOSTIC_ONLY
E-000154,-1.0,-1.0001194672818545,STOP,DIAGNOSTIC_ONLY
E-000155,1.8750000000002762,1.8748805372882373,TARGET,DIAGNOSTIC_ONLY
E-000156,1.875,1.8748804887597619,TARGET,DIAGNOSTIC_ONLY
E-000157,-1.0,-1.000119727281306,STOP,DIAGNOSTIC_ONLY
E-000158,1.8750000000001805,1.874880354927583,TARGET,DIAGNOSTIC_ONLY
E-000159,1.875000000000539,1.8748804077922954,TARGET,DIAGNOSTIC_ONLY
E-000160,-1.0,-1.000119570019143,STOP,DIAGNOSTIC_ONLY
E-000161,1.8749999999997726,1.8748804454728965,TARGET,DIAGNOSTIC_ONLY
E-000162,1.875,1.8748804419525067,TARGET,DIAGNOSTIC_ONLY
E-000163,1.875,1.874880520764667,TARGET,DIAGNOSTIC_ONLY
E-000164,-1.0,-1.0001194567366538,STOP,DIAGNOSTIC_ONLY
E-000165,-1.0,-1.0001194697426692,STOP,DIAGNOSTIC_ONLY
E-000166,1.8750000000011193,1.8748804964999022,TARGET,DIAGNOSTIC_ONLY
E-000167,-1.0,-1.0001194883778424,STOP,DIAGNOSTIC_ONLY
E-000168,1.874999999998181,1.8748805362316003,TARGET,DIAGNOSTIC_ONLY
E-000169,-1.0,-1.0001194423278899,STOP,DIAGNOSTIC_ONLY
E-000170,-1.0,-1.0001194177355928,STOP,DIAGNOSTIC_ONLY
E-000171,-1.0,-1.0001194005270093,STOP,DIAGNOSTIC_ONLY
E-000172,-1.0,-1.0001193882382,STOP,DIAGNOSTIC_ONLY
E-000173,1.875,1.8748805429118696,TARGET,DIAGNOSTIC_ONLY
E-000174,-1.0,-1.0001193436686127,STOP,DIAGNOSTIC_ONLY
E-000175,-1.0,-1.0001193868339258,STOP,DIAGNOSTIC_ONLY
E-000176,-1.0,-1.000119330339298,STOP,DIAGNOSTIC_ONLY
E-000177,1.875,1.874880658436214,TARGET,DIAGNOSTIC_ONLY
E-000178,1.8750000000000635,1.874880431037339,TARGET,DIAGNOSTIC_ONLY
E-000179,1.8750000000001805,1.8748802808389224,TARGET,DIAGNOSTIC_ONLY
E-000180,1.8750000000001539,1.8748801398173522,TARGET,DIAGNOSTIC_ONLY
E-000181,1.8750000000001916,1.8748802684819017,TARGET,DIAGNOSTIC_ONLY
E-000182,-1.0,-1.0001196856335968,STOP,DIAGNOSTIC_ONLY
E-000183,-1.0,-1.000119601015725,STOP,DIAGNOSTIC_ONLY
