bar_index,raw_timestamp_loaded,raw_timezone_assumption,utc_timestamp,america_chicago_timestamp,america_new_york_timestamp,unix_ms,open,high,low,close,IS_ENTRY_BAR,M0_STOP_TOUCHED,M0_TARGET_TOUCHED,M1_STOP_TOUCHED,M1_TARGET_TOUCHED,M0_EXIT_BAR,M1_EXIT_BAR
3134047,2026-08-26 13:41:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:41:00+00:00,2026-08-26 13:41:00-05:00,2026-08-26 14:41:00-04:00,1787769660000,29293.25,29294.75,29290.75,29293.75,True,False,False,False,False,False,False
3134048,2026-08-26 13:42:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:42:00+00:00,2026-08-26 13:42:00-05:00,2026-08-26 14:42:00-04:00,1787769720000,29293.5,29298.0,29292.5,29292.75,False,False,False,False,False,False,False
3134049,2026-08-26 13:43:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:43:00+00:00,2026-08-26 13:43:00-05:00,2026-08-26 14:43:00-04:00,1787769780000,29292.0,29294.25,29288.0,29289.25,False,True,False,False,False,True,False
3134050,2026-08-26 13:44:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:44:00+00:00,2026-08-26 13:44:00-05:00,2026-08-26 14:44:00-04:00,1787769840000,29289.5,29295.25,29288.5,29295.0,False,False,False,False,False,False,False
3134051,2026-08-26 13:45:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:45:00+00:00,2026-08-26 13:45:00-05:00,2026-08-26 14:45:00-04:00,1787769900000,29295.0,29313.75,29294.75,29311.25,False,False,True,False,True,False,True
3134052,2026-08-26 13:46:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:46:00+00:00,2026-08-26 13:46:00-05:00,2026-08-26 14:46:00-04:00,1787769960000,29311.25,29318.5,29310.0,29318.5,False,False,True,False,True,False,False
3134053,2026-08-26 13:47:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:47:00+00:00,2026-08-26 13:47:00-05:00,2026-08-26 14:47:00-04:00,1787770020000,29318.0,29328.75,29317.25,29325.0,False,False,True,False,True,False,False
3134054,2026-08-26 13:48:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:48:00+00:00,2026-08-26 13:48:00-05:00,2026-08-26 14:48:00-04:00,1787770080000,29325.0,29327.25,29317.0,29317.5,False,False,True,False,True,False,False
3134055,2026-08-26 13:49:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:49:00+00:00,2026-08-26 13:49:00-05:00,2026-08-26 14:49:00-04:00,1787770140000,29317.5,29321.75,29316.0,29319.75,False,False,True,False,True,False,False
3134056,2026-08-26 13:50:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:50:00+00:00,2026-08-26 13:50:00-05:00,2026-08-26 14:50:00-04:00,1787770200000,29319.5,29324.25,29314.5,29314.5,False,False,True,False,True,False,False
3134057,2026-08-26 13:51:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:51:00+00:00,2026-08-26 13:51:00-05:00,2026-08-26 14:51:00-04:00,1787770260000,29314.0,29315.0,29310.0,29313.5,False,False,True,False,True,False,False
3134058,2026-08-26 13:52:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:52:00+00:00,2026-08-26 13:52:00-05:00,2026-08-26 14:52:00-04:00,1787770320000,29313.0,29319.25,29312.0,29317.75,False,False,True,False,True,False,False
3134059,2026-08-26 13:53:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:53:00+00:00,2026-08-26 13:53:00-05:00,2026-08-26 14:53:00-04:00,1787770380000,29317.25,29327.0,29316.5,29322.0,False,False,True,False,True,False,False
3134060,2026-08-26 13:54:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:54:00+00:00,2026-08-26 13:54:00-05:00,2026-08-26 14:54:00-04:00,1787770440000,29321.75,29324.75,29318.0,29318.75,False,False,True,False,True,False,False
3134061,2026-08-26 13:55:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:55:00+00:00,2026-08-26 13:55:00-05:00,2026-08-26 14:55:00-04:00,1787770500000,29318.25,29321.25,29316.0,29317.0,False,False,True,False,True,False,False
