N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD,cost_multiplier,model
22,0.9090909090909091,1.6200072988743606,35.64016057523593,113.24405660114923,0.3023065425507161,117.89410931871183,2.0,Local_Liquidity
21,0.9523809523809523,1.5689466128326046,32.9478788694847,120.7206042735229,0.2752064197254569,119.72060427352372,ex_top1pct,Local_Liquidity
522,0.8563218390804598,1.5443326191065165,806.1416271736016,16.907226106121094,8.900819582084466,90.5693705775365,1.0,Follow_F1
522,0.0,,,0.0,,0.0,1.5,Follow_F1
522,0.0,,,0.0,,0.0,2.0,Follow_F1
516,0.8546511627906976,1.5243593532509705,786.5694262775007,16.52101676702483,50.67769966904518,15.521016767024864,ex_top1pct,Follow_F1
750,0.8586666666666667,1.5822605121364801,1186.69538410236,17.08743576826276,8.599971559796984,137.98829168806856,1.0,Follow_F2
750,0.0,,,0.0,,0.0,1.5,Follow_F2
750,0.0,,,0.0,,0.0,2.0,Follow_F2
742,0.8571428571428571,1.5645546599233406,1160.8995576631187,16.737734651624088,73.7653533600103,15.737734651623944,ex_top1pct,Follow_F2
859,0.8626309662398137,1.6158405011821935,1388.0069905155042,17.950516560780517,5.597667960594208,247.96165122451518,1.0,Follow_F3
859,0.0,,,0.0,,0.0,1.5,Follow_F3
859,0.0,,,0.0,,0.0,2.0,Follow_F3
850,0.8611764705882353,1.5993360722617247,1359.435661422466,17.601599883656878,81.88582250803097,16.60159988365677,ex_top1pct,Follow_F3
744,0.8588709677419355,1.6039434214345425,1193.3339055472995,17.50595533023897,9.632371596993949,123.88786017347097,1.0,Follow_F4
744,0.0,,,0.0,,0.0,1.5,Follow_F4
744,0.0,,,0.0,,0.0,2.0,Follow_F4
736,0.8573369565217391,1.5866335345260112,1167.7622814111442,17.1522537520378,72.29717284894832,16.15225375203771,ex_top1pct,Follow_F4
770,0.8623376623376623,1.6117429636871128,1241.0420820390768,17.399045980968246,6.5287110896424565,190.08990672108945,1.0,Retest
770,0.0,,,0.0,,0.0,1.5,Retest
770,0.0,,,0.0,,0.0,2.0,Retest
762,0.8608923884514436,1.5927758218153851,1213.6951762233234,17.037685820503018,75.6777000003151,16.03768582050287,ex_top1pct,Retest
