variant,penetration_atr,reclaim_window_bars,gross_N,gross_wins,gross_losses,gross_win_pct,gross_avg_R,gross_total_R,gross_profit_factor,gross_max_drawdown_R,gross_largest_win_R,gross_largest_loss_R,gross_max_consecutive_wins,gross_max_consecutive_losses,gross_avg_MFE_R,gross_avg_MAE_R,net_N,net_wins,net_losses,net_win_pct,net_avg_R,net_total_R,net_profit_factor,net_max_drawdown_R,net_largest_win_R,net_largest_loss_R,net_max_consecutive_wins,net_max_consecutive_losses,net_avg_MFE_R,net_avg_MAE_R,entry_attempts,entry_accepted,recovered_N,recovered_wins,recovered_losses,recovered_win_pct,recovered_avg_R,recovered_total_R,recovered_profit_factor,recovered_max_drawdown_R,recovered_largest_win_R,recovered_largest_loss_R,recovered_max_consecutive_wins,recovered_max_consecutive_losses,recovered_avg_MFE_R,recovered_avg_MAE_R
P0.30_W2,0.3,2.0,35,13,22,37.142857142857146,-0.16355102562000728,-5.724285896700255,0.6982158188282128,10.581549750260418,2.0,-1.0,3,6,0.9856837175633008,0.8504932885939788,35,13,22,37.142857142857146,-0.18172345059508677,-6.360320770828037,0.671788903693863,10.96221918818813,1.993573087199697,-1.036026391637882,3,6,0.9856837175633008,0.8504932885939788,35.0,35.0,6.0,3.0,3.0,50.0,-0.22263257535550096,-1.3357954521330058,0.5588682824092676,2.7767912899751677,0.7668723937045221,-1.0129502509460568,2.0,2.0,0.7653135087229938,0.8942573228139512
P0.30_W3,0.3,3.0,37,15,22,40.54054054054054,-0.07500008460244058,-2.7750031302903015,0.8537019180145158,9.632266983850467,2.0,-1.0,3,5,1.038722560861067,0.8243556068878863,37,15,22,40.54054054054054,-0.09301753414438503,-3.441648763342246,0.8224008891346906,10.020647682345656,1.993573087199697,-1.036026391637882,3,5,1.038722560861067,0.8243556068878863,37.0,37.0,6.0,3.0,3.0,50.0,-0.22263257535550096,-1.3357954521330058,0.5588682824092676,2.7767912899751677,0.7668723937045221,-1.0129502509460568,2.0,2.0,0.7653135087229938,0.8942573228139512
P0.30_W4,0.3,4.0,37,15,22,40.54054054054054,-0.07500008460244058,-2.7750031302903015,0.8537019180145158,9.632266983850467,2.0,-1.0,3,5,1.038722560861067,0.8243556068878863,37,15,22,40.54054054054054,-0.09301753414438503,-3.441648763342246,0.8224008891346906,10.020647682345656,1.993573087199697,-1.036026391637882,3,5,1.038722560861067,0.8243556068878863,37.0,37.0,6.0,3.0,3.0,50.0,-0.22263257535550096,-1.3357954521330058,0.5588682824092676,2.7767912899751677,0.7668723937045221,-1.0129502509460568,2.0,2.0,0.7653135087229938,0.8942573228139512
P0.40_W1,0.4,1.0,26,9,17,34.61538461538461,-0.19870175177361368,-5.166245546113956,0.6532971796565908,9.777730105541691,2.0,-1.0,2,5,0.9173268108425147,0.866276866503288,26,9,17,34.61538461538461,-0.2162326003733065,-5.622047609705969,0.6301118193830132,10.038837515091698,1.9861440602895721,-1.029358686386083,2,5,0.9173268108425147,0.866276866503288,26.0,26.0,4.0,1.0,3.0,25.0,-0.5884966881455339,-2.3539867525821356,0.2226218335342913,3.0281101967197754,0.6741234441376399,-1.0129502509460568,1.0,3.0,0.367106119540987,1.05806368082257
P0.40_W2,0.4,2.0,35,13,22,37.142857142857146,-0.16355102562000728,-5.724285896700255,0.6982158188282128,10.581549750260418,2.0,-1.0,3,6,0.9856837175633008,0.8504932885939788,35,13,22,37.142857142857146,-0.18172345059508677,-6.360320770828037,0.671788903693863,10.96221918818813,1.993573087199697,-1.036026391637882,3,6,0.9856837175633008,0.8504932885939788,35.0,35.0,6.0,3.0,3.0,50.0,-0.22263257535550096,-1.3357954521330058,0.5588682824092676,2.7767912899751677,0.7668723937045221,-1.0129502509460568,2.0,2.0,0.7653135087229938,0.8942573228139512
P0.40_W3,0.4,3.0,39,15,24,38.46153846153846,-0.12243597769975133,-4.775003130290302,0.7722734515088018,10.632266983850467,2.0,-1.0,3,5,1.0119777803479288,0.8357675580215579,39,15,24,38.46153846153846,-0.1404282415185597,-5.476701419223828,0.744244330800909,11.032842009385593,1.993573087199697,-1.036026391637882,3,5,1.0119777803479288,0.8357675580215579,39.0,39.0,8.0,3.0,5.0,37.5,-0.42135601350182317,-3.3708481080145853,0.3342406305808021,4.137720501719107,0.7668723937045221,-1.0228583288416444,1.0,2.0,0.7032849667559639,0.9324151556090836
P0.40_W4,0.4,4.0,39,15,24,38.46153846153846,-0.12243597769975133,-4.775003130290302,0.7722734515088018,10.632266983850467,2.0,-1.0,3,5,1.0119777803479288,0.8357675580215579,39,15,24,38.46153846153846,-0.1404282415185597,-5.476701419223828,0.744244330800909,11.032842009385593,1.993573087199697,-1.036026391637882,3,5,1.0119777803479288,0.8357675580215579,39.0,39.0,8.0,3.0,5.0,37.5,-0.42135601350182317,-3.3708481080145853,0.3342406305808021,4.137720501719107,0.7668723937045221,-1.0228583288416444,1.0,2.0,0.7032849667559639,0.9324151556090836
P0.50_W1,0.5,1.0,26,9,17,34.61538461538461,-0.19870175177361368,-5.166245546113956,0.6532971796565908,9.777730105541691,2.0,-1.0,2,5,0.9173268108425147,0.866276866503288,26,9,17,34.61538461538461,-0.2162326003733065,-5.622047609705969,0.6301118193830132,10.038837515091698,1.9861440602895721,-1.029358686386083,2,5,0.9173268108425147,0.866276866503288,26.0,26.0,4.0,1.0,3.0,25.0,-0.5884966881455339,-2.3539867525821356,0.2226218335342913,3.0281101967197754,0.6741234441376399,-1.0129502509460568,1.0,3.0,0.367106119540987,1.05806368082257
P0.50_W2,0.5,2.0,35,13,22,37.142857142857146,-0.16355102562000728,-5.724285896700255,0.6982158188282128,10.581549750260418,2.0,-1.0,3,6,0.9856837175633008,0.8504932885939788,35,13,22,37.142857142857146,-0.18172345059508677,-6.360320770828037,0.671788903693863,10.96221918818813,1.993573087199697,-1.036026391637882,3,6,0.9856837175633008,0.8504932885939788,35.0,35.0,6.0,3.0,3.0,50.0,-0.22263257535550096,-1.3357954521330058,0.5588682824092676,2.7767912899751677,0.7668723937045221,-1.0129502509460568,2.0,2.0,0.7653135087229938,0.8942573228139512
P0.50_W3,0.5,3.0,40,15,25,37.5,-0.14437507825725748,-5.775003130290299,0.7371192099455599,11.632266983850467,2.0,-1.0,3,5,0.9940299289200596,0.8442797413943344,40,15,25,37.5,-0.1628058529778625,-6.5122341191145,0.709914167779858,12.068374709276267,1.993573087199697,-1.036026391637882,3,5,0.9940299289200596,0.8442797413943344,40.0,40.0,9.0,3.0,6.0,33.333333333333336,-0.48959786754502865,-4.406380807905258,0.27748798575381617,5.17325320160978,0.7668723937045221,-1.0355326998906729,1.0,2.0,0.657815939697874,0.9595084597561429
