trade_id,capture_pct,mfe_spent_atr,total_mfe_atr
E-000159,1.0,0,3.6296296296296298
E-000160,1.0,0,14.0
E-000161,1.0,0,2.1875
E-000162,1.0,0,32.0
E-000163,1.0,0,4.0
E-000164,1.0,0,0.411764705882353
E-000165,1.0,0,6.275862068965517
E-000166,1.0,0,7.538461538461538
E-000167,1.0,0,1.1666666666666667
E-000168,1.0,0,10.5
E-000169,1.0,0,1.3333333333333333
E-000170,1.0,0,12.0
E-000171,1.0,0,5.666666666666667
E-000172,1.0,0,15.333333333333334
E-000173,1.0,0,8.0
E-000174,1.0,0,5.6
E-000175,1.0,0,2.258064516129032
E-000176,1.0,0,12.25
E-000177,1.0,0,9.272727272727273
E-000178,1.0,0,6.086956521739131
E-000179,1.0,0,8.677685950413224
E-000180,1.0,0,5.028169014084507
E-000181,1.0,0,1.9649122807017545
E-000182,1.0,0,8.555555555555555
E-000183,1.0,0,2.8
E-000184,1.0,0,3.181818181818182
E-000185,1.0,0,20.22222222222222
E-000186,1.0,0,2.0
E-000187,1.0,0,3.6521739130434785
E-000188,1.0,0,1.75
E-000189,,0,0.0
E-000190,1.0,0,11.0
E-000191,1.0,0,2.1875
E-000192,1.0,0,2.625
E-000193,1.0,0,10.5
E-000194,1.0,0,8.0
E-000195,1.0,0,11.9
E-000196,1.0,0,5.764705882352941
E-000197,1.0,0,3.758389261744967
E-000198,1.0,0,0.2828282828282828
E-000199,1.0,0,2.633663366336634
E-000200,1.0,0,1.5076923076923077
E-000201,1.0,0,8.452830188679245
E-000202,1.0,0,8.318840579710145
E-000203,1.0,0,3.5
E-000204,1.0,0,3.230769230769231
E-000205,1.0,0,4.5
E-000206,1.0,0,2.8
E-000207,1.0,0,5.7272727272727275
E-000208,1.0,0,5.478260869565218
E-000209,1.0,0,8.666666666666666
E-000210,1.0,0,10.666666666666666
E-000211,1.0,0,12.526315789473683
E-000212,1.0,0,15.217391304347826
E-000213,1.0,0,14.0
E-000214,1.0,0,2.882352941176471
E-000215,1.0,0,1.2727272727272727
E-000216,1.0,0,12.864864864864865
E-000217,1.0,0,2.392405063291139
E-000218,1.0,0,3.60233918128655
E-000219,1.0,0,8.727272727272727
E-000220,1.0,0,3.3333333333333335
E-000221,1.0,0,2.6808510638297873
E-000222,1.0,0,6.666666666666667
E-000223,1.0,0,0.21212121212121213
E-000224,1.0,0,12.526315789473685
E-000225,1.0,0,7.552631578947368
E-000226,,0,0.0
E-000227,1.0,0,0.9655172413793103
E-000228,1.0,0,5.444444444444444
E-000229,1.0,0,4.666666666666667
E-000230,1.0,0,28.0
E-000231,1.0,0,10.5
E-000232,1.0,0,7.583333333333334
E-000233,1.0,0,11.454545454545455
E-000234,1.0,0,1.8666666666666667
E-000235,1.0,0,6.3
E-000236,1.0,0,4.0
E-000237,1.0,0,8.166666666666668
E-000238,1.0,0,4.2
E-000239,1.0,0,2.8
E-000240,1.0,0,5.6
E-000241,1.0,0,4.516129032258064
E-000242,1.0,0,14.736842105263158
E-000243,1.0,0,14.000000000000002
E-000244,1.0,0,5.2
E-000245,1.0,0,2.8
