opportunity_id,direction,wait_signal_i,immediate_entry_i,system,location_score,direction_score,reaction_score,total_evidence
OPP_00037029_SHORT,SHORT,37029,37030,E,2,0,2,3
OPP_00037778_SHORT,SHORT,37778,37779,E,1,2,1,3
OPP_00037864_LONG,LONG,37864,37865,E,1,1,1,3
OPP_00037965_SHORT,SHORT,37965,37966,E,2,0,1,2
OPP_00038569_SHORT,SHORT,38569,38570,E,1,0,2,2
OPP_00039032_SHORT,SHORT,39032,39033,E,2,-1,2,2
OPP_00039398_LONG,LONG,39398,39399,E,0,1,2,3
OPP_00039500_LONG,LONG,39500,39501,E,1,2,1,3
OPP_00039850_SHORT,SHORT,39850,39851,E,2,0,2,3
OPP_00040172_SHORT,SHORT,40172,40173,E,1,1,1,3
OPP_00040238_SHORT,SHORT,40238,40239,E,2,0,1,3
OPP_00040728_SHORT,SHORT,40728,40729,E,2,1,1,3
OPP_00040787_SHORT,SHORT,40787,40788,E,2,1,0,3
OPP_00040893_LONG,LONG,40893,40894,E,2,-1,2,2
OPP_00041576_LONG,LONG,41576,41577,E,3,-1,1,2
OPP_00041775_SHORT,SHORT,41775,41776,E,1,0,2,2
OPP_00041853_LONG,LONG,41853,41854,E,1,1,1,3
OPP_00042206_LONG,LONG,42206,42207,E,2,-1,3,3
OPP_00042579_LONG,LONG,42579,42580,E,2,0,2,3
OPP_00042636_LONG,LONG,42636,42637,E,1,1,1,2
OPP_00042655_LONG,LONG,42655,42656,E,2,1,1,3
OPP_00042795_SHORT,SHORT,42795,42796,E,1,0,2,2
OPP_00043045_LONG,LONG,43045,43046,E,1,-1,3,2
OPP_00043345_LONG,LONG,43345,43346,E,2,1,1,3
OPP_00043412_LONG,LONG,43412,43413,E,3,-1,1,2
OPP_00043581_LONG,LONG,43581,43582,E,2,0,2,3
OPP_00043692_LONG,LONG,43692,43693,E,1,1,1,3
OPP_00043841_SHORT,SHORT,43841,43842,E,0,1,2,3
OPP_00043888_LONG,LONG,43888,43889,E,1,0,2,2
OPP_00044077_LONG,LONG,44077,44078,E,0,2,2,3
OPP_00044493_SHORT,SHORT,44493,44494,E,1,0,1,2
OPP_00045387_SHORT,SHORT,45387,45388,E,2,1,0,2
OPP_00045773_LONG,LONG,45773,45774,E,2,1,1,3
OPP_00046163_SHORT,SHORT,46163,46164,E,2,0,0,2
OPP_00046505_SHORT,SHORT,46505,46506,E,1,1,1,3
OPP_00047566_SHORT,SHORT,47566,47567,E,2,-1,2,2
OPP_00048237_LONG,LONG,48237,48238,E,1,0,2,2
OPP_00048416_SHORT,SHORT,48416,48417,E,2,0,1,2
OPP_00048511_SHORT,SHORT,48511,48512,E,1,0,2,2
OPP_00049312_SHORT,SHORT,49312,49313,E,0,1,2,3
OPP_00049435_SHORT,SHORT,49435,49436,E,2,1,0,2
OPP_00050021_SHORT,SHORT,50021,50022,E,1,1,1,3
OPP_00050252_SHORT,SHORT,50252,50253,E,2,0,1,2
OPP_00050305_LONG,LONG,50305,50306,E,3,0,1,3
OPP_00050417_LONG,LONG,50417,50418,E,0,1,2,3
OPP_00050625_LONG,LONG,50625,50626,E,1,0,2,2
