window_id,timestamp,open,high,low,close,continuation_state,reversal_state,L,S,RL,RS,entry_price,stop,target
JUN_20_26_2026,2026-06-23 12:45:00-05:00,27133.0,27148.75,27035.75,27036.75,WAIT,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 13:00:00-05:00,27036.5,27086.25,27013.25,27049.75,ACTIVE,WAIT_RECLAIM,False,True,False,False,27049.75,27117.164249736044,26847.507250791867
JUN_20_26_2026,2026-06-23 13:15:00-05:00,27048.5,27066.5,27023.25,27038.25,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 13:30:00-05:00,27037.75,27045.75,26930.0,26933.25,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 13:45:00-05:00,26933.25,26961.25,26881.0,26933.75,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 14:00:00-05:00,26932.5,27056.75,26916.25,26977.0,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 14:15:00-05:00,26977.0,27037.25,26919.75,27014.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 14:30:00-05:00,27014.5,27048.75,26979.25,27000.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 14:45:00-05:00,26999.75,27036.5,26946.5,26954.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 15:00:00-05:00,26954.0,27022.0,26937.0,27011.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 15:15:00-05:00,27011.5,27047.75,27002.0,27039.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 15:30:00-05:00,27038.5,27052.0,27020.75,27033.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-23 15:45:00-05:00,27033.25,27061.25,27019.75,27055.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 09:30:00-05:00,27009.0,27097.75,27007.25,27091.25,WAIT,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 09:45:00-05:00,27090.0,27197.0,27083.75,27194.75,ACTIVE,WAIT_RECLAIM,True,False,False,False,27106.882509087205,27037.214142229885,27315.887609659163
JUN_20_26_2026,2026-06-24 10:00:00-05:00,27195.0,27211.25,27052.25,27086.75,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 10:15:00-05:00,27085.25,27124.75,27007.75,27104.75,IDLE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 10:30:00-05:00,27104.5,27133.0,27016.5,27047.75,IDLE,WAIT_RETEST,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 10:45:00-05:00,27047.75,27113.75,27003.75,27059.75,IDLE,ACTIVE,False,False,False,True,27059.75,27135.45851925791,26870.478701855223
JUN_20_26_2026,2026-06-24 11:00:00-05:00,27061.0,27110.0,27032.5,27077.0,IDLE,ACTIVE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 11:15:00-05:00,27077.5,27104.75,27044.75,27056.5,IDLE,ACTIVE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 11:30:00-05:00,27056.75,27057.75,26914.25,26943.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 11:45:00-05:00,26944.0,26976.25,26900.0,26910.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 12:00:00-05:00,26910.25,26965.25,26842.25,26851.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 12:15:00-05:00,26851.75,26875.5,26706.75,26714.75,WAIT,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 12:30:00-05:00,26715.25,26768.75,26668.5,26714.0,ACTIVE,WAIT_RECLAIM,False,True,False,False,26714.0,26792.37932699614,26478.862019011583
JUN_20_26_2026,2026-06-24 12:45:00-05:00,26714.75,26767.75,26677.75,26691.0,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 13:00:00-05:00,26693.0,26767.0,26680.25,26744.5,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 13:15:00-05:00,26746.25,26867.25,26744.5,26843.5,IDLE,WAIT_RETEST,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 13:30:00-05:00,26843.75,26859.75,26727.5,26752.75,IDLE,ACTIVE,False,False,True,False,26752.75,26673.41917213305,26951.077069667375
