signal_id,timestamp_ct,bar_index,signal_type,direction,entry_price,open,high,low,close,atr,source_displacement_time,bos_or_reclaim_time,retest_time,stop,target,expiry_time
2188,2021-05-13 10:15:00-05:00,84256,S,Short,13124.593269598156,13133.75,13145.0,13097.0,13103.5,46.66963944569138,2021-05-13 10:00:00-05:00,2021-05-13 10:00:00-05:00,2021-05-13 10:15:00-05:00,13159.595499182424,13019.586580845349,2021-05-13 11:15:00-05:00
2189,2021-05-13 13:15:00-05:00,84268,L,Long,13130.25,13126.0,13142.5,13107.75,13130.25,51.52894903621165,2021-05-13 13:00:00-05:00,2021-05-13 13:00:00-05:00,2021-05-13 13:15:00-05:00,13091.603288222841,13246.190135331477,2021-05-13 14:15:00-05:00
2190,2021-05-14 10:00:00-05:00,84346,L,Long,13334.25,13333.25,13338.75,13315.5,13334.25,29.7126125970791,2021-05-14 09:45:00-05:00,2021-05-14 09:45:00-05:00,2021-05-14 10:00:00-05:00,13311.96554055219,13401.103378343429,2021-05-14 11:00:00-05:00
2191,2021-05-14 13:45:00-05:00,84361,L,Long,13413.759127430047,13409.5,13433.0,13408.0,13423.5,22.763326136153378,2021-05-14 13:30:00-05:00,2021-05-14 13:30:00-05:00,2021-05-14 13:45:00-05:00,13396.686632827932,13464.976611236392,2021-05-14 14:45:00-05:00
2192,2021-05-14 14:45:00-05:00,84365,RS,Short,13396.857888938734,13398.75,13429.5,13381.5,13391.25,24.48031699746659,2021-05-14 13:30:00-05:00,2021-05-14 14:30:00-05:00,2021-05-14 14:45:00-05:00,13415.218126686834,13350.957294568483,2021-05-14 15:45:00-05:00
2193,2021-05-17 12:00:00-05:00,84445,S,Short,13237.995866847828,13242.25,13253.5,13221.5,13229.0,34.824093555881525,2021-05-17 11:45:00-05:00,2021-05-17 11:45:00-05:00,2021-05-17 12:00:00-05:00,13264.11393701474,13159.641656347096,2021-05-17 13:00:00-05:00
2194,2021-05-17 14:00:00-05:00,84453,L,Long,13271.191298121776,13266.25,13299.25,13259.75,13288.5,34.77633970221059,2021-05-17 13:45:00-05:00,2021-05-17 13:45:00-05:00,2021-05-17 14:00:00-05:00,13245.109043345117,13349.438062451749,2021-05-17 15:00:00-05:00
2195,2021-05-18 11:15:00-05:00,84533,L,Long,13361.647568429664,13358.75,13375.0,13350.0,13373.5,24.048849704022565,2021-05-18 11:00:00-05:00,2021-05-18 11:00:00-05:00,2021-05-18 11:15:00-05:00,13343.610931151647,13415.757480263715,2021-05-18 12:15:00-05:00
2196,2021-05-18 13:30:00-05:00,84542,S,Short,13305.86320749325,13312.25,13317.5,13252.75,13263.0,26.788073276956986,2021-05-18 13:15:00-05:00,2021-05-18 13:15:00-05:00,2021-05-18 13:30:00-05:00,13325.954262450969,13245.590042620097,2021-05-18 14:30:00-05:00
2197,2021-05-19 10:15:00-05:00,84620,L,Long,13132.25,13136.75,13156.5,13117.75,13132.25,42.91968690878752,2021-05-19 10:00:00-05:00,2021-05-19 10:00:00-05:00,2021-05-19 10:15:00-05:00,13100.06023481841,13228.819295544772,2021-05-19 11:15:00-05:00
2198,2021-05-19 12:15:00-05:00,84628,L,Long,13189.0,13196.5,13204.25,13177.0,13189.0,38.28032427332183,2021-05-19 12:00:00-05:00,2021-05-19 12:00:00-05:00,2021-05-19 12:15:00-05:00,13160.28975679501,13275.130729614973,2021-05-19 13:15:00-05:00
2199,2021-05-19 12:45:00-05:00,84630,RS,Short,13176.668612746049,13164.75,13191.0,13161.25,13170.75,37.70216735811933,2021-05-19 12:00:00-05:00,2021-05-19 12:30:00-05:00,2021-05-19 12:45:00-05:00,13204.945238264638,13105.977048949575,2021-05-19 13:30:00-05:00
2200,2021-05-20 10:30:00-05:00,84712,L,Long,13481.140289199437,13476.5,13499.5,13470.75,13495.25,26.570542566199062,2021-05-20 10:15:00-05:00,2021-05-20 10:15:00-05:00,2021-05-20 10:30:00-05:00,13461.212382274787,13540.924009973385,2021-05-20 11:30:00-05:00
2201,2021-05-20 14:30:00-05:00,84728,L,Long,13505.75,13529.0,13529.25,13498.75,13505.75,24.01195790645226,2021-05-20 14:15:00-05:00,2021-05-20 14:15:00-05:00,2021-05-20 14:30:00-05:00,13487.74103157016,13559.776905289518,2021-05-20 15:45:00-05:00
