family,context,rth_only,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE,LONG_N,LONG_AvgR,LONG_PF,SHORT_N,SHORT_AvgR,SHORT_PF
A2,C0,True,38439,12.053621825023518,-0.24277313516994395,-1.0975375375375307,0.7220018040812748,-9331.956542797476,9333.150797213942,0.27568355056062854,1.2773555275892883,1.4586864674056341,20062,-0.20999828715352845,0.7571908751651187,18377,-0.2785531319542573,0.6843529412465212
A2,C1,False,6891,2.160865475070555,-0.31690721247090853,-1.1406060606060606,0.6714864942914345,-2183.807601137031,2207.3097043424495,0.3001015817733275,1.217073563602236,1.5500771587261382,3634,-0.3057272115636118,0.6827794370317549,3257,-0.3293813062065907,0.6589112779089679
A2,C1,True,2010,0.6308851224105462,-0.13529796591366436,-1.0908277404921773,0.8375957395498042,-271.94891148646536,290.9319341338065,0.3044776119402985,1.1983390308210768,1.5383387732945584,1059,-0.17918897893661612,0.7902467232675132,951,-0.08642248453479374,0.8932391903623631
A2,C2,False,17324,5.432423957353402,0.4275925144583463,-1.0262341903947747,1.644808785719868,7407.612720476391,474.0323601904433,0.4964788732394366,1.007416795503513,2.134582768612286,9000,0.4474052941541671,1.6781835437941572,8324,0.40617071997704085,1.609108749185671
A2,C2,True,4184,1.3120100344935717,0.7103511136765441,2.0703703703703704,2.315518097826308,2972.109059622661,34.58938844586401,0.5387189292543021,0.9252615260835612,2.0839006496629677,2193,0.7495699542489717,2.4136857883362883,1991,0.6671532646683406,2.2114152424468725
A2,C3,False,46708,14.646597679523362,-0.01094071722884396,-1.1076209410205475,0.9871484304665974,-511.0190203248437,5540.17633108797,0.3905112614541406,1.1635938875550824,1.8357542842632335,24089,0.0011971033176058745,1.0014112793177221,22619,-0.023867370004980452,0.9720714681990282
A2,C3,True,11201,3.5123863280025085,0.20398690069050254,-1.07085514834207,1.2835949592163123,2284.857274634319,201.72424452016816,0.401392732791715,1.1112828682673743,1.756994717496447,5897,0.232593237942627,1.3272599818854067,5304,0.1721823058986891,1.236252267123307
A2,C4,False,100378,31.47632486672938,-0.17750532328169846,-1.1288888888888888,0.8052553967548127,-17817.629340370328,18564.809444532155,0.3410209408436112,1.1831212696225422,1.6765005103903896,53365,-0.16873461512403568,0.8144980261354527,47013,-0.18746105554370418,0.7948097483615327
A2,C4,True,26472,8.301034807149577,0.0028680270881044903,-1.0843198338525448,1.0036392041485258,75.92241307630206,1193.0217440659487,0.34523269870051376,1.179414027799447,1.657735228772148,14401,0.014094777969730203,1.0179021207716266,12071,-0.010525762941411854,0.9866594862119707
A2,C5,False,14,0.031180400890868598,-0.9351901523642733,-1.257690336197785,0.4084903899050763,-13.092662133099825,13.88398976842484,0.2857142857142857,1.516076659137365,1.7096656882179058,0,,,14,-0.9351901523642733,0.4084903899050763
A2,C5,True,9,0.020089285714285716,-0.11602108154110516,-1.0792581747193741,0.8643628192650153,-1.0441897338699464,3.246115822232756,0.3333333333333333,1.2154923819685353,1.5719459012294816,0,,,9,-0.11602108154110516,0.8643628192650153
