strategy,timeframe_minutes,year,N,win_rate,gross_AvgR,net_AvgR,gross_TotalR,net_TotalR,gross_PF,net_PF,MaxDD,Return_over_DD,avg_hold_minutes,median_hold_minutes,avg_cost_R,cost_pct_of_gross
SEQUENTIAL_BOS,15,2022,6,0.5,0.06703718038476464,0.05046673101596916,0.40222308230858783,0.30280038609581494,1.169745632478175,1.1258919825245903,2.019187749271036,0.14996148139524493,57.5,60.0,0.016570449368795495,24.718297031122475
SEQUENTIAL_BOS,15,2023,4,0.25,-0.1951583581501127,-0.21517869628985128,-0.7806334326004508,-0.8607147851594051,0.5425058120551693,0.5143451302993388,1.7722766492384117,-0.48565486970066113,56.25,60.0,0.02002033813973863,
SEQUENTIAL_BOS,15,2024,9,0.6666666666666666,0.5578014918416335,0.5401305653147634,5.020213426574702,4.861175087832871,2.908508069778416,2.804339043858026,1.015893934391373,4.785120693475962,51.666666666666664,60.0,0.017670926526870013,3.167959710636091
SEQUENTIAL_BOS,15,2025,7,0.8571428571428571,0.8497574019572882,0.8342526871694387,5.9483018137010175,5.8397688101860705,9.073396625542976,8.771719272604154,0.7514127318998334,7.771719272604151,57.857142857142854,60.0,0.015504714787849459,1.8246048521774194
SEQUENTIAL_BOS,15,2026,1,1.0,0.523426917927906,0.517427162742171,0.523426917927906,0.517427162742171,99.9,99.9,0.0,inf,60.0,60.0,0.005999755185734924,1.146245059288544
CRT_V2_B_LEGACY_EXP6,15,2018,16,0.4375,-0.10276240375095916,-0.15503814487523693,-1.6441984600153465,-2.480610318003791,0.7747858089871398,0.6778431565938734,4.128981978664248,-0.6007801271165354,240.9375,60.0,0.05227574112427777,
CRT_V2_B_LEGACY_EXP6,15,2019,32,0.5,0.16803356270191197,0.11459477455825923,5.377074006461183,3.6670327858642953,1.5726538799565812,1.3598929526238557,4.347736510715354,0.8434349176465942,238.125,60.0,0.05343878814365274,31.802449037191476
CRT_V2_B_LEGACY_EXP6,15,2020,30,0.5333333333333333,0.030049860948954375,0.00996989737495908,0.9014958284686312,0.2990969212487724,1.1348656873497738,1.0431396260781776,3.207625748544834,0.09324557934617535,74.5,60.0,0.020079963573995267,66.82215138401156
CRT_V2_B_LEGACY_EXP6,15,2021,22,0.5454545454545454,0.3654598087798176,0.34403285620111596,8.040115793155987,7.568722836424551,2.6483851907985847,2.4808358918188733,2.0580014488216776,3.677705300333036,64.77272727272727,60.0,0.02142695257870161,5.8630120368751495
CRT_V2_B_LEGACY_EXP6,15,2022,26,0.46153846153846156,0.1318488941113134,0.11786293932862589,3.4280712468941483,3.064436422544273,1.4550475671870085,1.39762279798043,5.640754371288528,0.5432671272023955,61.73076923076923,60.0,0.01398595478268753,10.607563208592323
CRT_V2_B_LEGACY_EXP6,15,2023,24,0.5,-0.02110630004957888,-0.04069863809947882,-0.5065512011898932,-0.9767673143874918,0.925319073698114,0.8608733826121282,3.4284202119148457,-0.28490303230418373,56.25,60.0,0.019592338049899943,
CRT_V2_B_LEGACY_EXP6,15,2024,25,0.56,0.2868685451822811,0.26589554907070145,7.171713629557027,6.647388726767536,1.9943326554104222,1.89224578224153,2.7735703416353807,2.3966901531143554,173.4,60.0,0.02097299611157962,7.311012818869014
CRT_V2_B_LEGACY_EXP6,15,2025,22,0.6363636363636364,0.2600292429549765,0.24321325264051116,5.720643345009483,5.3506915580912455,2.138368317646113,2.0402895972588366,2.1885379378282592,2.4448703701252126,193.63636363636363,60.0,0.016815990314465398,6.466961224579287
CRT_V2_B_LEGACY_EXP6,15,2026,13,0.38461538461538464,-0.24504818874470094,-0.25692531940757896,-3.1856264536811123,-3.340029152298526,0.5660722674616268,0.5510897017946937,4.257043781757176,-0.7845888657785581,45.0,60.0,0.011877130662877959,
CONTROL,30,2018,200,0.465,0.05280638475639098,0.01979307455579511,10.561276951278197,3.958614911159022,1.1807613337969556,1.064073803311469,8.488714780451144,0.46633854635750127,100.35,60.0,0.03301331020059588,62.51764886555765
CONTROL,30,2019,195,0.4307692307692308,-0.008659448315442365,-0.048858439590894746,-1.6885924215112613,-9.527395720224476,0.9711721913833963,0.8484511786045222,13.459627206692506,-0.7078498961313866,148.46153846153845,60.0,0.04019899127545237,
CONTROL,30,2020,206,0.46116504854368934,-0.01858990473139817,-0.036583167389596515,-3.829520374668023,-7.536132482256883,0.9404690389974264,0.8863617281624045,15.134394995663317,-0.497947389665482,109.07766990291262,60.0,0.017993262658198346,
CONTROL,30,2021,232,0.4827586206896552,0.04787728834182325,0.029738977853085685,11.107530895302993,6.899442861915879,1.1615629170341015,1.0972586290713853,9.378104161426263,0.7356969749061287,163.57758620689654,60.0,0.018138310488737545,37.884999583179834
CONTROL,30,2022,208,0.4230769230769231,-0.053629916820457445,-0.0646790118668185,-11.155022698655149,-13.453234468298248,0.8501585363104005,0.8224854406369093,20.484742002631386,-0.656744149697863,71.53846153846153,60.0,0.011049095046361035,
CONTROL,30,2023,214,0.42990654205607476,-0.08831072700806643,-0.10540464400992859,-18.898495579726216,-22.556593818124718,0.7313779969449544,0.6885384358967085,26.091678869552894,-0.8645129326824053,58.598130841121495,60.0,0.017093917001862153,
CONTROL,30,2024,207,0.4251207729468599,-0.0917934985452249,-0.10751374382128878,-19.001254198861552,-22.255344971006778,0.7609672641064217,0.7266602897889807,24.63374281907936,-0.9034495949096919,70.57971014492753,60.0,0.015720245276063916,
CONTROL,30,2025,193,0.43523316062176165,-0.06671624940107024,-0.07847635469821718,-12.876236134406556,-15.145936456755916,0.7915541991089726,0.7596710578963415,23.78574015712608,-0.636765404679588,72.59067357512953,60.0,0.011760105297146934,
CONTROL,30,2026,97,0.4948453608247423,-0.03759568003107377,-0.04533991120200585,-3.646780963014155,-4.397971386594568,0.8811139793556512,0.8583737247016381,9.122758930096598,-0.48208786621395455,92.78350515463917,60.0,0.007744231170932083,
RETEST_GATED,30,2018,33,0.6060606060606061,0.3737403799193346,0.3396779251314299,12.333432537338043,11.209371529337187,3.3649319188023155,2.981472241276026,1.3045343187265352,8.592622952441442,148.1818181818182,60.0,0.03406245478790482,9.113934864425568
RETEST_GATED,30,2019,44,0.45454545454545453,0.08068754841556028,0.04331053328247425,3.5502521302846524,1.905663464428867,1.4079105906519636,1.1976128628106857,2.952190577252191,0.6455082809059707,66.81818181818181,60.0,0.03737701513308604,46.32315130035359
RETEST_GATED,30,2020,47,0.5106382978723404,0.07852066663853653,0.06190766859855819,3.6904713320112172,2.909660424132235,1.340174176392452,1.2599531494239178,3.9453123911401176,0.7374981080500448,67.02127659574468,60.0,0.016612998039978344,21.157484712215858
RETEST_GATED,30,2021,55,0.45454545454545453,0.01468939340957103,-0.002989814105659816,0.8079166375264066,-0.16443977581128988,1.059348817139605,0.9883495667221223,2.7052566142165815,-0.06078527816811574,171.8181818181818,60.0,0.017679207515230836,120.35355730694613
RETEST_GATED,30,2022,42,0.5476190476190477,0.02476410272996669,0.013730861398830002,1.040092314658601,0.5766961787508601,1.1204652163461535,1.0653418839744146,2.013490825372436,0.28641609461726175,140.71428571428572,60.0,0.01103324133113667,44.553366021154076
RETEST_GATED,30,2023,44,0.36363636363636365,-0.011358830572131967,-0.029030495373157418,-0.49978854517380655,-1.2773417964189264,0.9489551893952443,0.8753368931715193,3.7216638524530885,-0.34321793881975193,128.86363636363637,60.0,0.017671664801025447,
RETEST_GATED,30,2024,39,0.48717948717948717,0.06652601180229827,0.05220298167540602,2.5945144602896324,2.035916285340835,1.275280327181011,1.2093605635759839,2.92166878741925,0.6968333625315508,61.53846153846154,60.0,0.014323030126892258,21.529969614678514
RETEST_GATED,30,2025,42,0.5476190476190477,0.003402829159671204,-0.007326194200897161,0.14291882470619055,-0.3077001564376808,1.0144789119490067,0.9694177745387582,3.0705756058857014,-0.10020927537100174,57.857142857142854,60.0,0.010729023360568373,315.29715002222025
