N,win_rate,gross_AvgR,net_AvgR,gross_TotalR,net_TotalR,gross_PF,net_PF,MaxDD,Return_over_DD,avg_hold_minutes,median_hold_minutes,avg_cost_R,cost_pct_of_gross,strategy,timeframe_minutes,start,end,trades_per_day,trades_per_week,trades_per_month,median_MFE_R,median_MAE_R,mean_MFE,mean_MAE,MFE_MAE_ratio,P_p0.5_before_l0.5,P_p1.0_before_l0.5,P_p1.0_before_l1.0,P_p1.5_before_l1.0,P_p2.0_before_l1.0
1752,0.4474885844748858,-0.028211811943071766,-0.047953511147366824,-49.42709452426173,-84.01455153018668,0.9127991439317076,0.8565346090736036,96.92186112616857,-0.8668276749331121,99.58904109589041,60.0,0.019741699204295065,,CONTROL,30,2018-01-01,2026-06-26,0.565526145900581,3.958683021304067,17.213202065848936,7.544255417888496,7.912752766957933,10.01960579091375,10.40274478759383,9.590558625930411,0.4492009132420091,0.3213470319634703,0.4982876712328767,0.3995433789954338,0.3281963470319635
372,0.49731182795698925,0.06678075741673643,0.04807362707567481,24.842441759025952,17.883389272151028,1.304841779518673,1.2105510885736535,5.039695191992152,3.548506128022767,103.38709677419355,60.0,0.018707130341061605,28.0127555671797,RETEST_GATED,30,2018-01-01,2026-06-26,0.12007746933505488,0.8405422853453841,3.6548579728857327,7.708305194401712,6.97866080602616,9.837820357754223,9.009104749336245,8.341724927544467,0.5161290322580645,0.3682795698924731,0.532258064516129,0.44086021505376344,0.3817204301075269
1058,0.44045368620037806,-0.01447252732511482,-0.0336935288598377,-15.31193390997148,-35.64775353370829,0.9535038348803696,0.8953733860722457,64.37234548534133,-0.553774346187617,107.06994328922495,60.0,0.019221001534722868,,BOS_ONLY,30,2018-01-01,2026-06-26,0.34151065203357006,2.3905745642349903,10.394730471271789,7.599648029292109,7.8266360686179315,9.936103177630834,10.20465339216441,12.869024451516486,0.45652173913043476,0.3279773156899811,0.5103969754253308,0.4158790170132325,0.3431001890359168
33,0.45454545454545453,0.010049738726382755,-0.009717426041693731,0.3316413779706309,-0.32067505937589313,1.0394864245948006,0.9631776829027304,2.849780797356202,-0.11252621944585693,59.09090909090909,60.0,0.019767164768076474,196.69332015750177,SEQUENTIAL_BOS,30,2018-01-01,2026-06-26,0.01065203357004519,0.07456423499031634,0.3242212717882505,5.35061498344163,7.851323927614435,7.087400176009875,10.517733026270216,17.247074108213205,0.45454545454545453,0.3333333333333333,0.42424242424242425,0.3939393939393939,0.30303030303030304
99,0.4444444444444444,-0.0513727716022712,-0.0693135359084952,-5.085904388624849,-6.862040054941025,0.7673413003371236,0.6991703669258363,7.179309846127437,-0.9558077589648051,213.63636363636363,60.0,0.01794076430622401,,CRT_V2_B_LEGACY_EXP6,30,2018-01-01,2026-06-26,0.03195610071013557,0.223692704970949,0.9726638153647514,6.430960226972949,8.129963966105565,8.622272359370811,10.846628791436872,4.406477377280152,0.48484848484848486,0.30303030303030304,0.43434343434343436,0.3838383838383838,0.35353535353535354
761,0.4533508541392904,-0.01396624369776539,-0.027387198649630694,-10.628311453999462,-20.84165817236896,0.9398432126917142,0.8857704842442002,23.22157698960557,-0.8975126100048283,97.29303547963207,60.0,0.013420954951865304,,CONTROL,60,2018-01-01,2026-06-26,0.24564234990316333,1.7194964493221434,7.476739025177534,8.03735558323039,7.73396277736512,10.231125008153663,10.113945962309275,8.741690921877991,0.44021024967148487,0.32982917214191854,0.48751642575558474,0.3797634691195795,0.33508541392904073
176,0.5113636363636364,0.05782694652296749,0.04522302988579421,10.177542588042279,7.95925325989978,1.3675844182109516,1.2759498162616392,5.579170423238891,1.4266015654849227,106.36363636363636,60.0,0.012603916637173281,21.795922826683064,RETEST_GATED,60,2018-01-01,2026-06-26,0.056810845706907684,0.3976759199483538,1.7291801162040026,8.257720830916725,6.848621797193433,10.178716930962072,8.996310014631327,20.493980696971917,0.5284090909090909,0.42045454545454547,0.5909090909090909,0.5284090909090909,0.4602272727272727
504,0.44047619047619047,-0.02147278703227156,-0.03467745920959413,-10.822284664264867,-17.47743944163544,0.9088221162063781,0.8574268679375566,18.350551256583426,-0.952420404011855,102.97619047619048,60.0,0.013204672177322572,,BOS_ONLY,60,2018-01-01,2026-06-26,0.16268560361523562,1.1387992253066495,4.951743060038734,8.241305834285878,7.243814853353618,10.39052276449245,9.999193060432138,10.126379837065521,0.44642857142857145,0.3412698412698413,0.5,0.40476190476190477,0.36507936507936506
10,0.5,-0.08183643355397341,-0.0974641138674756,-0.8183643355397341,-0.974641138674756,0.5851155921570934,0.5250216955392499,1.4292576990240122,-0.6819212094084243,72.0,60.0,0.015627680313502194,,SEQUENTIAL_BOS,60,2018-01-01,2026-06-26,0.0032278889606197547,0.022595222724338282,0.09824887023886378,8.321419706444678,6.660664566424467,9.520206745828437,10.493233857666429,1.7316685095899005,0.3,0.1,0.3,0.3,0.2
52,0.38461538461538464,-0.06110702325276954,-0.07496888115000974,-3.177565209144016,-3.8983818198005062,0.7723295027265684,0.7277299994467105,5.683665588221194,-0.6858921868801531,60.0,60.0,0.013861857897240188,,CRT_V2_B_LEGACY_EXP6,60,2018-01-01,2026-06-26,0.016785022595222725,0.11749515816655907,0.5108941252420917,7.938412268655841,7.04720799315434,10.986955895223154,9.521014349027539,45.7962232330138,0.34615384615384615,0.25,0.40384615384615385,0.3269230769230769,0.3269230769230769
