strategy,timeframe_minutes,era,N,win_rate,gross_AvgR,net_AvgR,gross_TotalR,net_TotalR,gross_PF,net_PF,MaxDD,Return_over_DD,avg_hold_minutes,median_hold_minutes,avg_cost_R,cost_pct_of_gross
BOS_ONLY,30,ERA1,355,0.4563380281690141,0.03397450678282663,0.004726374866207079,12.060949907903455,1.6778630775035133,1.121477745915782,1.0159752248545664,15.001897912636718,0.11184338723503644,134.11267605633802,60.0,0.02924813191661957,86.0884665775453
BOS_ONLY,30,ERA2,396,0.4444444444444444,0.005888658219107159,-0.009695777800959612,2.331908654766435,-3.8395280091800066,1.0191630661818316,0.9693005458165934,27.971741440347877,-0.13726453239846104,105.15151515151516,60.0,0.015584436020066763,264.6517328769283
BOS_ONLY,30,ERA3,307,0.4169381107491857,-0.09675828166984161,-0.109075207172742,-29.704792472641376,-33.48608860203179,0.7258267319951149,0.6972780624265738,46.58938415305536,-0.7187493290751248,78.27361563517915,60.0,0.012316925502900368,
SEQUENTIAL_BOS,30,ERA1,13,0.5384615384615384,0.11102883573077829,0.08197497907403603,1.4433748645001179,1.0656747279624683,1.4972146959928885,1.346466122596961,1.4139683481979433,0.7536765086153705,57.69230769230769,60.0,0.029053856656742243,26.167847717679187
SEQUENTIAL_BOS,30,ERA2,14,0.35714285714285715,-0.11332856311128901,-0.1275889116863684,-1.5865998835580462,-1.7862447636091576,0.6809651824634426,0.6481925204706952,2.4802828310954785,-0.720177852789562,60.0,60.0,0.014260348575079384,
SEQUENTIAL_BOS,30,ERA3,6,0.5,0.07914439950475993,0.06664916271179942,0.4748663970285596,0.3998949762707965,1.9082694355211482,1.7198339326497396,0.3051568906673511,1.3104569763974907,60.0,60.0,0.012495236792960518,15.787897654348903
CRT_V2_B_LEGACY_EXP6,30,ERA1,33,0.45454545454545453,-0.1335980877389163,-0.16252010203616446,-4.408736895384238,-5.363163367193427,0.5041742270011619,0.42811808268866475,5.775464098547998,-0.928611670972342,156.36363636363637,60.0,0.02892201429724813,
CRT_V2_B_LEGACY_EXP6,30,ERA2,45,0.4222222222222222,0.009071671855073307,-0.004221882963926302,0.4082252334782988,-0.1899847333766836,1.0423651977338193,0.9809718777996569,4.592199850882648,-0.04137118146984988,256.0,60.0,0.013293554818999586,146.53919400275927
CRT_V2_B_LEGACY_EXP6,30,ERA3,21,0.47619047619047616,-0.051685367938995676,-0.06232818830337695,-1.0853927267189092,-1.3088919543709159,0.6742878406438458,0.6203768591687404,2.2179679843027724,-0.5901311306720108,212.85714285714286,60.0,0.010642820364381286,
CONTROL,60,ERA1,262,0.4618320610687023,0.01471563040909041,-0.006400191269212208,3.8554951671816875,-1.6768501125335984,1.0699947869509414,0.9711858902340578,11.696743267513584,-0.14336042727302264,128.24427480916032,60.0,0.021115821678302615,143.4924708713706
CONTROL,60,ERA2,276,0.427536231884058,-0.045882280229378306,-0.05634552260876569,-12.663509343308412,-15.551364240019332,0.8138378023654573,0.7769860338866769,16.618750141854274,-0.9357721914870881,96.30434782608695,60.0,0.010463242379387382,
CONTROL,60,ERA3,223,0.47533632286995514,-0.008162768062209568,-0.016203783945363353,-1.8202972778727338,-3.6134438198160277,0.9660203236783702,0.9337299974410679,10.152421614920954,-0.3559194009934901,62.152466367713004,60.0,0.00804101588315379,
RETEST_GATED,60,ERA1,63,0.47619047619047616,0.027812685479409485,0.008432565460629007,1.7521991852027976,0.5312516240196274,1.133742853628749,1.0385735858779035,5.579170423238891,0.09522054063930503,135.23809523809524,60.0,0.01938012001878047,69.68086570830465
RETEST_GATED,60,ERA2,60,0.5333333333333333,0.07952720546218947,0.06993642257971347,4.771632327731369,4.196185354782808,1.6120440164010852,1.5187444703949504,2.3851483202346557,1.7592974487934483,66.0,60.0,0.009590782882476005,12.059750907550574
RETEST_GATED,60,ERA3,53,0.5283018867924528,0.06893794481336062,0.06097766568108198,3.653711075108113,3.231816281097345,1.538089532046423,1.4629061220353186,2.726954218200982,1.1851377113435477,117.73584905660377,60.0,0.007960279132278637,11.547021243278904
BOS_ONLY,60,ERA1,170,0.4470588235294118,0.001342357452862508,-0.01966822295249303,0.2282007669866264,-3.3435979019238156,1.0063160083110938,0.9125520335561039,9.192280940860545,-0.36373974244642715,144.0,60.0,0.021010580405355545,1565.2001157032776
BOS_ONLY,60,ERA2,191,0.4083769633507853,-0.05800229895558152,-0.0680690626381617,-11.07843910051607,-13.001190963888886,0.7658339988105333,0.7317722522749116,13.172809281468414,-0.9869717754267526,97.06806282722513,60.0,0.010066763682580174,
BOS_ONLY,60,ERA3,143,0.4755244755244755,0.00019548020464740549,-0.007920633397361815,0.027953669264578984,-1.1326505758227396,1.0007929341807964,0.9684320691888931,7.052783572511519,-0.16059624745005455,62.0979020979021,60.0,0.008116113602009234,4151.885157194588
SEQUENTIAL_BOS,60,ERA1,4,0.75,0.05480266270965556,0.029437511606445303,0.21921065083862223,0.11775004642578121,2.0690536244141446,1.481212781208974,0.24469434525398953,0.48121278120897404,90.0,60.0,0.025365151103210252,46.284523140043014
SEQUENTIAL_BOS,60,ERA2,4,0.5,0.09368593978135664,0.08421662848086875,0.37474375912542657,0.336866513923475,2.0551947523444816,1.8911393831977656,0.37801776049293523,0.8911393831977656,60.0,60.0,0.0094693113004879,10.10750526982735
SEQUENTIAL_BOS,60,ERA3,2,0.0,-0.7061593727518914,-0.7146288495120061,-1.412318745503783,-1.4292576990240122,0.0,0.0,1.4292576990240122,-1.0,60.0,60.0,0.00846947676011467,
CRT_V2_B_LEGACY_EXP6,60,ERA1,23,0.5217391304347826,0.007602708314302904,-0.013279257097929084,0.1748622912289668,-0.3054229132523689,1.026270768255075,0.9555221464373701,2.2899251786424113,-0.13337680903331514,60.0,60.0,0.020881965412231984,274.66482401997376
CRT_V2_B_LEGACY_EXP6,60,ERA2,14,0.42857142857142855,0.14582227152141133,0.1362869184112522,2.041511801299759,1.9080168577575307,2.373482013993286,2.227060097646953,0.6435704490096401,2.9647365889681336,60.0,60.0,0.009535353110159173,6.539023847779714
CRT_V2_B_LEGACY_EXP6,60,ERA3,15,0.13333333333333333,-0.35959595344484935,-0.3667317176203779,-5.393939301672741,-5.500975764305668,0.07230228382940643,0.06704137158140207,5.683665588221194,-0.9678570420655762,60.0,60.0,0.007135764175528392,
