setup_id,setup_timestamp,direction,score,status,bos_timestamp,setup_to_bos_bars,opposite_bos_timestamp
S00090,2024-01-29 19:25:00-06:00,Long,75,Opposite BOS first,,,2024-01-29 19:30:00-06:00
S00091,2024-01-29 23:25:00-06:00,Long,90,Immediate same-bar,2024-01-29 23:25:00-06:00,0.0,
S00092,2024-01-30 00:20:00-06:00,Short,90,Immediate same-bar,2024-01-30 00:20:00-06:00,0.0,
S00093,2024-01-30 01:00:00-06:00,Short,90,Immediate same-bar,2024-01-30 01:00:00-06:00,0.0,
S00094,2024-01-31 00:40:00-06:00,Short,90,Immediate same-bar,2024-01-31 00:40:00-06:00,0.0,
S00095,2024-01-31 01:25:00-06:00,Long,90,Immediate same-bar,2024-01-31 01:25:00-06:00,0.0,
S00096,2024-01-31 02:20:00-06:00,Long,90,Immediate same-bar,2024-01-31 02:20:00-06:00,0.0,
S00097,2024-01-31 03:05:00-06:00,Long,75,Opposite BOS first,,,2024-01-31 03:10:00-06:00
S00098,2024-01-31 05:40:00-06:00,Short,75,Opposite BOS first,,,2024-01-31 05:45:00-06:00
S00099,2024-01-31 11:00:00-06:00,Long,75,Immediate same-bar,2024-01-31 11:00:00-06:00,0.0,
S00100,2024-01-31 11:55:00-06:00,Long,75,Immediate same-bar,2024-01-31 11:55:00-06:00,0.0,
S00101,2024-01-31 13:00:00-06:00,Long,85,Opposite BOS first,,,2024-01-31 13:15:00-06:00
S00102,2024-01-31 13:15:00-06:00,Short,75,Immediate same-bar,2024-01-31 13:15:00-06:00,0.0,
S00103,2024-01-31 13:35:00-06:00,Long,100,Immediate same-bar,2024-01-31 13:35:00-06:00,0.0,
S00104,2024-01-31 13:40:00-06:00,Short,70,Later within expiry,2024-01-31 14:00:00-06:00,4.0,
S00105,2024-01-31 14:00:00-06:00,Long,70,Never within expiry,,,
S00106,2024-01-31 14:50:00-06:00,Long,70,Opposite BOS first,,,2024-01-31 14:55:00-06:00
S00107,2024-01-31 14:55:00-06:00,Short,85,Immediate same-bar,2024-01-31 14:55:00-06:00,0.0,
S00108,2024-01-31 21:35:00-06:00,Long,75,Never within expiry,,,
S00109,2024-02-01 02:00:00-06:00,Short,75,Opposite BOS first,,,2024-02-01 02:15:00-06:00
S00110,2024-02-01 04:50:00-06:00,Long,90,Immediate same-bar,2024-02-01 04:50:00-06:00,0.0,
S00111,2024-02-01 09:25:00-06:00,Long,90,Immediate same-bar,2024-02-01 09:25:00-06:00,0.0,
S00112,2024-02-01 10:00:00-06:00,Long,85,Never within expiry,,,
S00113,2024-02-01 11:05:00-06:00,Long,100,Immediate same-bar,2024-02-01 11:05:00-06:00,0.0,
S00114,2024-02-02 00:15:00-06:00,Long,75,Opposite BOS first,,,2024-02-02 00:20:00-06:00
S00115,2024-02-02 00:20:00-06:00,Short,90,Immediate same-bar,2024-02-02 00:20:00-06:00,0.0,
S00116,2024-02-02 02:35:00-06:00,Long,90,Immediate same-bar,2024-02-02 02:35:00-06:00,0.0,
S00117,2024-02-02 09:40:00-06:00,Long,100,Immediate same-bar,2024-02-02 09:40:00-06:00,0.0,
S00118,2024-02-02 10:25:00-06:00,Long,75,Immediate same-bar,2024-02-02 10:25:00-06:00,0.0,
S00119,2024-02-02 13:00:00-06:00,Long,75,Immediate same-bar,2024-02-02 13:00:00-06:00,0.0,
S00120,2024-02-02 14:55:00-06:00,Short,100,Immediate same-bar,2024-02-02 14:55:00-06:00,0.0,
S00121,2024-02-02 15:35:00-06:00,Short,85,Immediate same-bar,2024-02-02 15:35:00-06:00,0.0,
S00122,2024-02-04 18:05:00-06:00,Short,75,Later within expiry,2024-02-04 18:45:00-06:00,8.0,
S00123,2024-02-04 18:45:00-06:00,Short,75,Immediate same-bar,2024-02-04 18:45:00-06:00,0.0,
S00124,2024-02-04 21:05:00-06:00,Short,75,Never within expiry,,,
S00125,2024-02-04 23:15:00-06:00,Long,90,Immediate same-bar,2024-02-04 23:15:00-06:00,0.0,
S00126,2024-02-05 00:00:00-06:00,Long,90,Immediate same-bar,2024-02-05 00:00:00-06:00,0.0,
S00127,2024-02-05 06:10:00-06:00,Long,90,Immediate same-bar,2024-02-05 06:10:00-06:00,0.0,
S00128,2024-02-05 07:40:00-06:00,Long,75,Opposite BOS first,,,2024-02-05 07:55:00-06:00
S00129,2024-02-05 07:55:00-06:00,Short,75,Immediate same-bar,2024-02-05 07:55:00-06:00,0.0,
S00130,2024-02-05 13:30:00-06:00,Long,100,Immediate same-bar,2024-02-05 13:30:00-06:00,0.0,
S00131,2024-02-05 14:15:00-06:00,Long,85,Never within expiry,,,
S00132,2024-02-06 02:40:00-06:00,Long,75,Opposite BOS first,,,2024-02-06 02:55:00-06:00
S00133,2024-02-06 08:00:00-06:00,Long,90,Immediate same-bar,2024-02-06 08:00:00-06:00,0.0,
S00134,2024-02-06 08:30:00-06:00,Long,75,Opposite BOS first,,,2024-02-06 08:35:00-06:00
S00135,2024-02-06 08:35:00-06:00,Short,90,Immediate same-bar,2024-02-06 08:35:00-06:00,0.0,
S00136,2024-02-07 10:30:00-06:00,Short,75,Immediate same-bar,2024-02-07 10:30:00-06:00,0.0,
S00137,2024-02-07 12:30:00-06:00,Short,85,Never within expiry,,,
S00138,2024-02-07 14:55:00-06:00,Long,85,Never within expiry,,,
S00139,2024-02-07 23:35:00-06:00,Long,75,Opposite BOS first,,,2024-02-07 23:40:00-06:00
S00140,2024-02-07 23:40:00-06:00,Short,90,Immediate same-bar,2024-02-07 23:40:00-06:00,0.0,
S00141,2024-02-08 00:40:00-06:00,Short,75,Opposite BOS first,,,2024-02-08 00:45:00-06:00
S00142,2024-02-08 00:45:00-06:00,Long,90,Immediate same-bar,2024-02-08 00:45:00-06:00,0.0,
S00143,2024-02-08 01:50:00-06:00,Short,90,Immediate same-bar,2024-02-08 01:50:00-06:00,0.0,
S00144,2024-02-08 08:25:00-06:00,Long,90,Immediate same-bar,2024-02-08 08:25:00-06:00,0.0,
S00145,2024-02-08 11:45:00-06:00,Short,85,Immediate same-bar,2024-02-08 11:45:00-06:00,0.0,
