trade_id,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirmation_timestamp,entry_timestamp,exit_timestamp,setup_to_bos_bars,bos_to_retest_bars,retest_to_confirm_bars,same_bar_setup_bos,confirm_equals_entry,confirm_to_entry_bars,setup_not_after_bos,retest_after_bos,confirm_after_retest,event_order_pass,bos_equals_retest,retest_equals_confirm,setup_equals_bos_equals_retest,bos_equals_retest_equals_confirm
A0032,Long,2024-02-06 08:00:00-06:00,2024-02-06 08:00:00-06:00,2024-02-06 08:05:00-06:00,2024-02-06 08:10:00-06:00,2024-02-06 08:10:00-06:00,2024-02-06 08:30:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0033,Short,2024-02-08 11:45:00-06:00,2024-02-08 11:45:00-06:00,2024-02-08 11:50:00-06:00,2024-02-08 11:55:00-06:00,2024-02-08 11:55:00-06:00,2024-02-08 12:00:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0034,Long,2024-02-09 11:40:00-06:00,2024-02-09 11:40:00-06:00,2024-02-09 11:45:00-06:00,2024-02-09 11:50:00-06:00,2024-02-09 11:50:00-06:00,2024-02-09 12:50:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0035,Long,2024-02-13 07:05:00-06:00,2024-02-13 07:05:00-06:00,2024-02-13 07:15:00-06:00,2024-02-13 07:20:00-06:00,2024-02-13 07:20:00-06:00,2024-02-13 07:30:00-06:00,0,2,1,True,True,0,True,True,True,True,False,False,False,False
A0036,Short,2024-02-13 12:45:00-06:00,2024-02-13 12:45:00-06:00,2024-02-13 12:50:00-06:00,2024-02-13 13:00:00-06:00,2024-02-13 13:00:00-06:00,2024-02-13 14:00:00-06:00,0,1,2,True,True,0,True,True,True,True,False,False,False,False
A0037,Short,2024-02-14 10:00:00-06:00,2024-02-14 10:00:00-06:00,2024-02-14 10:05:00-06:00,2024-02-14 10:10:00-06:00,2024-02-14 10:10:00-06:00,2024-02-14 10:25:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0038,Short,2024-02-15 03:05:00-06:00,2024-02-15 03:05:00-06:00,2024-02-15 03:20:00-06:00,2024-02-15 03:25:00-06:00,2024-02-15 03:25:00-06:00,2024-02-15 04:25:00-06:00,0,3,1,True,True,0,True,True,True,True,False,False,False,False
A0039,Short,2024-02-19 04:25:00-06:00,2024-02-19 04:25:00-06:00,2024-02-19 04:30:00-06:00,2024-02-19 04:35:00-06:00,2024-02-19 04:35:00-06:00,2024-02-19 05:00:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0040,Long,2024-02-19 23:30:00-06:00,2024-02-20 00:15:00-06:00,2024-02-20 00:50:00-06:00,2024-02-20 00:55:00-06:00,2024-02-20 00:55:00-06:00,2024-02-20 01:55:00-06:00,9,7,1,False,True,0,True,True,True,True,False,False,False,False
A0041,Short,2024-02-21 02:10:00-06:00,2024-02-21 02:10:00-06:00,2024-02-21 02:15:00-06:00,2024-02-21 02:20:00-06:00,2024-02-21 02:20:00-06:00,2024-02-21 03:20:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
