event_family,vol_measure,transition,compression_duration,shock_percentile_bin,transition_direction,horizon,orientation,N,sample_tier,mean_signed_return_atr,median_signed_return_atr,positive_signed_rate,mean_abs_return_atr,median_abs_return_atr,mfe_atr,mae_atr,future_rv,effect_value,uplift_pct_vs_baseline,standard_error,ci95_low,ci95_high,era1,era2,era3,same_sign_across_eras,replicated,raw_p_value,fdr_q_value,fdr_survivor_5pct
COMPRESSION_EXPANSION,ATR_24,LOW->NORMAL,0,n/a,DOWN,1,n/a,934,ANALYZABLE,-0.016029025560530936,0.03156769361409471,0.5085653104925053,0.8714751228557032,0.6274591585196412,0.802261908217761,0.9253447495176063,,0.8714751228557032,-53.51319227727127,0.03176875259650334,0.8126386284732114,0.9332262141542367,0.8061722782979374,0.8869034700058952,0.9240647278555546,True,False,1.1445178139726352e-165,2.3133870707957523e-165,True
COMPRESSION,ATR_24,ENTER_LOW,1-3,n/a,NEUTRAL,1,n/a,187,WEAK_SAMPLE,0.014997280147737475,0.05117300994616131,0.5240641711229946,0.4352741234662308,0.3601843790485638,0.3986759481751895,0.4168250321299811,,0.4352741234662308,,0.03554624879135708,0.37332351380594636,0.5108635434973036,0.454522480085301,0.461598507716321,0.32180420742392735,True,False,1.7803963470259998e-34,2.866739880804576e-34,True
REGIME_TRANSITION,ATR_24,LOW->NORMAL,n/a,n/a,UP,1,n/a,935,ANALYZABLE,0.00984381702058546,-0.03097355008312212,0.47593582887700536,0.877704993128638,0.5727875159407042,0.9089501777249055,0.8483358709588884,,0.877704993128638,-53.18087437866451,0.05425650544188584,0.7801459732941513,0.9947588933153888,0.8553423136973489,0.9119474629785663,0.8542584109466438,True,False,7.33337316245898e-59,1.1942922007433195e-58,True
COMPRESSION_EXPANSION,ATR_24,LOW->NORMAL,0,n/a,UP,1,n/a,935,ANALYZABLE,0.00984381702058546,-0.03097355008312212,0.47593582887700536,0.877704993128638,0.5727875159407042,0.9089501777249055,0.8483358709588884,,0.877704993128638,-53.18087437866451,0.05425650544188584,0.7801459732941513,0.9947588933153888,0.8553423136973489,0.9119474629785663,0.8542584109466438,True,False,7.33337316245898e-59,1.1942922007433195e-58,True
REGIME_TRANSITION,ATR_24,NORMAL->HIGH,n/a,n/a,UP,1,n/a,880,ANALYZABLE,-0.03189869830796904,0.0,0.48863636363636365,0.8002590425210381,0.5980021543881882,0.7587649073250798,0.8313585591739132,,0.8002590425210381,-57.31204797201052,0.03164404843090222,0.7401968366571062,0.871270899702655,0.7718777598247009,0.8855692409270111,0.7200233753017268,True,False,4.1780824367045204e-141,7.536414521903724e-141,True
REGIME_TRANSITION,ATR_24,HIGH->NORMAL,n/a,n/a,DOWN,1,n/a,925,ANALYZABLE,0.011483115433613798,0.03501794184921928,0.5308108108108108,0.3618248444148374,0.25234126413636965,0.3356132444650984,0.341862308727802,,0.3618248444148374,-80.69929762710643,0.012404345415660897,0.33736641516586535,0.38592159324585396,0.36584747366174314,0.35183106670260883,0.37103736071158694,True,False,4.769268607070005e-187,1.0297284492537512e-186,True
REGIME_TRANSITION,ATR_24,NORMAL->LOW,n/a,n/a,NEUTRAL,1,n/a,133,WEAK_SAMPLE,0.034429111587998294,0.08700323700930448,0.556390977443609,0.42066025096649695,0.3601843790485638,0.3852425847465666,0.3806040385651628,,0.42066025096649695,,0.04371617490635575,0.34743894140661036,0.5118185702049856,0.4657462802272744,0.39350367287783755,0.3143662704627336,True,False,6.423085110473073e-22,9.948800306982749e-22,True
COMPRESSION_EXPANSION,RV_RATIO,LOW->NORMAL,0,n/a,NEUTRAL,1,n/a,25,INSUFFICIENT,0.07335949727579966,-0.03853005808327189,0.44,0.3474271753353574,0.2978861677633554,0.4529144292596032,0.27758530133152914,,0.3474271753353574,,0.05672430211198694,0.24001025392007583,0.4593974066322508,0.4537910386369921,0.2885673298626872,0.12024017265798456,True,False,9.077577501237666e-10,1.3066210039660278e-09,True
COMPRESSION_EXPANSION,RANGE_RATIO,LOW->NORMAL,0,n/a,NEUTRAL,1,n/a,72,INSUFFICIENT,-0.15307937223998502,-0.10691032209989805,0.4027777777777778,0.4511230715187264,0.319377149069737,0.3449130198073443,0.5218953102268,,0.4511230715187264,,0.06674245242936684,0.3447435770723751,0.5951708031505504,0.47020107997918104,0.4014002480516522,0.449800833340706,True,False,1.3879180612643981e-11,2.0601908721893408e-11,True
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,90-95,NEUTRAL,1,n/a,35,INSUFFICIENT,-0.3761564205283898,-0.07570703516468821,0.2857142857142857,0.7212657863440348,0.4469866486206298,0.10567847529837224,0.6742186298441518,,0.7212657863440348,,0.14073794725836694,0.45833250954908417,0.9890403489465502,0.5766972727610685,0.8471037463152336,0.22846577708159355,True,False,2.9771950111381914e-07,4.059811378824806e-07,True
