model_id,group,N,WinRate,AvgR,PF,TotalR,MaxDD,MedianR,MedianHold,AvgHold,MFE,MAE,GrossAvgR,STOP_PCT,TARGET_PCT,TIME_PCT
S9,REJECTED,3542,0.2930547713156409,0.024050857150772133,1.0340635229642585,85.18813602803489,73.00983403252098,-1.0000424470849774,3.0,5.448334274421231,1.4069539642068984,1.1642055640740963,0.024112155851899686,0.7055335968379447,0.29164313946922643,0.00282326369282891
S10,KEPT,3821,0.2750588851086103,-0.037964747504587386,0.9475819501565573,-145.0633002150284,247.4111222680622,-1.0000444451255959,3.0,5.1910494634912325,1.313614380976053,1.1726421156038596,-0.037904431215802475,0.7238942685160953,0.27401203873331587,0.002093692750588851
S10,REJECTED,12843,0.289574087051312,0.010702368213777742,1.0150797359696349,137.45051496954756,91.8461162932235,-1.0000429250798766,3.0,5.668223935217628,1.3944391562084848,1.1716918455104917,0.010763487969253744,0.709413688390563,0.2875496379350619,0.003036673674375146
S11,KEPT,3913,0.2813697929977,-0.018759327495200245,0.9738682150728856,-73.40524848871856,221.50546046948855,-1.0000428632661809,3.0,5.780730897009967,1.3516250505572531,1.21952967720712,-0.018699998703873556,0.717607973421927,0.27906976744186046,0.0033222591362126247
S11,REJECTED,12751,0.28774213787153946,0.00515978850625344,1.007251212727863,65.79246324323762,137.59698724941526,-1.0000438039524975,3.0,5.490706611246177,1.3833576825397649,1.1572962331348233,0.005221217099976612,0.7112383342482943,0.2860952082189632,0.00266645753274253
S12,KEPT,5638,0.28077332387371406,-0.020405566319535884,0.9715975202247018,-115.0465829095433,281.9915616799604,-1.0000442229424706,3.0,5.424618659098972,1.3334296178721687,1.1959389560264981,-0.020345362347243778,0.7181624689606243,0.27846754168144733,0.0033699893579283435
S12,REJECTED,11026,0.28904407763468165,0.009743678366049547,1.0137177024998483,107.43379766406231,98.75785121867457,-1.0000428989658046,3.0,5.6274260838019226,1.3976261969283317,1.1596227155392886,0.009804987958217397,0.7099582804280791,0.2875022673680392,0.002539452203881734
S13,KEPT,6248,0.27864916773367476,-0.027541965344940755,0.9617816678937192,-172.08219947518984,329.51543767768374,-1.0000440793848058,3.0,5.440941101152369,1.331445781274392,1.1946323234454277,-0.027481938686581373,0.7203905249679897,0.2765685019206146,0.003040973111395647
S13,REJECTED,10416,0.2908026113671275,0.01579007433080923,1.0222866235771215,164.46941422970892,71.21808404980452,-1.0000429326615672,3.0,5.629512288786482,1.4025757864336283,1.1582796792172194,0.015851555033343415,0.7081413210445469,0.2891705069124424,0.002688172043010753
S14,KEPT,6719,0.28173835392171453,-0.016325251089851507,0.9772527039807469,-109.68936207271227,218.04897951402504,-1.0000441325934422,3.0,5.4042268194671825,1.359998040735226,1.2048617072234913,-0.016264522628878307,0.7175174877213871,0.27995237386515853,0.002530138413454383
S14,REJECTED,9945,0.28929110105580697,0.01026411028931436,1.0144579021369207,102.07657682723132,135.8512706974098,-1.0000430596535288,3.0,5.663247863247864,1.3866541776968415,1.1496468662422277,0.01032518570708677,0.709502262443439,0.2874811463046757,0.0030165912518853697
