setup_id,direction,armed_j,armed_m1_i,has_5m_take,matched_1m_opportunity,15m_state,tag
S58B-049945,LONG,506365,2527996,True,True,BULLISH,CONTINUATION
S58B-049946,LONG,506370,2528021,True,True,BULLISH,CONTINUATION
S58B-049947,LONG,506397,2528156,True,True,BULLISH,CONTINUATION
S58B-049948,SHORT,506426,2528301,True,True,BEARISH,CONTINUATION
S58B-049949,SHORT,506431,2528326,True,True,BEARISH,CONTINUATION
S58B-049950,LONG,506456,2528451,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049951,LONG,506466,2528501,True,True,BULLISH,CONTINUATION
S58B-049952,LONG,506471,2528526,True,True,BULLISH,CONTINUATION
S58B-049953,SHORT,506476,2528551,True,True,BEARISH,CONTINUATION
S58B-049954,SHORT,506499,2528666,False,False,NEUTRAL,CONTINUATION
S58B-049955,SHORT,506501,2528676,True,True,BEARISH,CONTINUATION
S58B-049956,SHORT,506525,2528796,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-049957,LONG,506536,2528851,False,False,BULLISH,CONTINUATION
S58B-049958,LONG,506538,2528861,True,True,BULLISH,CONTINUATION
S58B-049959,LONG,506549,2528916,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-049960,SHORT,506574,2529041,True,True,NEUTRAL,CONTINUATION
S58B-049961,SHORT,506579,2529066,True,True,BEARISH,CONTINUATION
S58B-049962,SHORT,506584,2529091,True,True,BEARISH,CONTINUATION
S58B-049963,SHORT,506594,2529141,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-049964,LONG,506607,2529206,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049965,LONG,506613,2529236,True,True,BULLISH,CONTINUATION
S58B-049966,LONG,506618,2529261,True,True,NEUTRAL,CONTINUATION
S58B-049967,SHORT,506655,2529446,True,True,BEARISH,CONTINUATION
S58B-049968,LONG,506666,2529501,False,False,BULLISH,CONTINUATION
S58B-049969,SHORT,506702,2529681,False,False,BULLISH,POTENTIAL_REVERSAL
S58B-049970,SHORT,506707,2529706,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-049971,SHORT,506713,2529736,True,True,BEARISH,CONTINUATION
S58B-049972,SHORT,506718,2529761,True,True,BEARISH,CONTINUATION
S58B-049973,LONG,506746,2529901,True,True,BULLISH,CONTINUATION
S58B-049974,LONG,506753,2529936,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049975,LONG,506774,2530041,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049976,LONG,506782,2530081,True,True,BULLISH,CONTINUATION
S58B-049977,LONG,506787,2530106,True,True,BULLISH,CONTINUATION
S58B-049978,LONG,506802,2530181,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-049979,SHORT,506810,2530221,True,True,BEARISH,CONTINUATION
S58B-049980,SHORT,506816,2530251,True,True,BEARISH,CONTINUATION
S58B-049981,SHORT,506821,2530276,True,True,BEARISH,CONTINUATION
S58B-049982,SHORT,506830,2530321,False,False,TRANSITION,POTENTIAL_REVERSAL
S58B-049983,LONG,506836,2530351,True,True,NEUTRAL,CONTINUATION
S58B-049984,LONG,506868,2530511,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-049985,LONG,506873,2530536,True,True,BULLISH,CONTINUATION
S58B-049986,LONG,506878,2530561,True,True,BULLISH,CONTINUATION
S58B-049987,LONG,506891,2530626,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-049988,SHORT,506937,2530856,True,True,BEARISH,CONTINUATION
S58B-049989,SHORT,506942,2530881,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-049990,SHORT,506986,2531101,True,True,BEARISH,CONTINUATION
S58B-049991,SHORT,506991,2531126,True,True,BEARISH,CONTINUATION
S58B-049992,SHORT,507012,2531231,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-049993,SHORT,507025,2531296,False,False,BEARISH,CONTINUATION
S58B-049994,SHORT,507027,2531306,True,True,BEARISH,CONTINUATION
S58B-049995,LONG,507056,2531451,False,False,BULLISH,CONTINUATION
S58B-049996,LONG,507058,2531461,True,True,BULLISH,CONTINUATION
S58B-049997,SHORT,507066,2531501,False,False,TRANSITION,POTENTIAL_REVERSAL
S58B-049998,LONG,507092,2531631,True,True,NEUTRAL,CONTINUATION
S58B-049999,SHORT,507106,2531701,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-050000,LONG,507116,2531751,True,True,BULLISH,CONTINUATION
S58B-050001,LONG,507146,2531901,False,False,NEUTRAL,CONTINUATION
S58B-050002,SHORT,507150,2531921,True,True,BEARISH,CONTINUATION
S58B-050003,SHORT,507183,2532086,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-050004,LONG,507194,2532141,False,False,BULLISH,CONTINUATION
S58B-050005,LONG,507196,2532151,True,True,BULLISH,CONTINUATION
S58B-050006,LONG,507201,2532176,False,False,NEUTRAL,CONTINUATION
S58B-050007,LONG,507203,2532186,True,True,BULLISH,CONTINUATION
S58B-050008,LONG,507208,2532211,True,True,BULLISH,CONTINUATION
S58B-050009,LONG,507213,2532236,True,True,BULLISH,CONTINUATION
S58B-050010,LONG,507218,2532261,False,False,BULLISH,CONTINUATION
S58B-050011,LONG,507220,2532271,True,True,BULLISH,CONTINUATION
S58B-050012,LONG,507229,2532316,True,True,NEUTRAL,CONTINUATION
S58B-050013,LONG,507234,2532341,True,True,NEUTRAL,CONTINUATION
S58B-050014,SHORT,507270,2532521,True,True,NEUTRAL,CONTINUATION
S58B-050015,SHORT,507277,2532556,True,True,BEARISH,CONTINUATION
S58B-050016,SHORT,507282,2532581,True,True,BEARISH,CONTINUATION
S58B-050017,SHORT,507293,2532636,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-050018,SHORT,507299,2532666,False,False,BULLISH,POTENTIAL_REVERSAL
S58B-050019,LONG,507304,2532691,False,False,NEUTRAL,CONTINUATION
S58B-050020,LONG,507306,2532701,True,True,BULLISH,CONTINUATION
S58B-050021,LONG,507312,2532731,True,True,BULLISH,CONTINUATION
S58B-050022,LONG,507317,2532756,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-050023,LONG,507323,2532786,True,True,NEUTRAL,CONTINUATION
S58B-050024,LONG,507328,2532811,True,True,BULLISH,CONTINUATION
S58B-050025,LONG,507333,2532836,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-050026,LONG,507340,2532870,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-050027,LONG,507351,2532925,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-050028,SHORT,507376,2533050,True,True,BEARISH,CONTINUATION
S58B-050029,SHORT,507387,2533105,False,False,BEARISH,CONTINUATION
S58B-050030,SHORT,507389,2533115,True,True,BEARISH,CONTINUATION
S58B-050031,SHORT,507394,2533140,True,True,BEARISH,CONTINUATION
S58B-050032,SHORT,507403,2533185,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-050033,SHORT,507408,2533210,True,True,BEARISH,CONTINUATION
S58B-050034,SHORT,507444,2533390,True,True,BEARISH,CONTINUATION
S58B-050035,SHORT,507450,2533420,True,True,NEUTRAL,CONTINUATION
S58B-050036,SHORT,507470,2533520,True,True,BEARISH,CONTINUATION
S58B-050037,LONG,507483,2533585,True,True,BULLISH,CONTINUATION
S58B-050038,SHORT,507516,2533750,True,True,BEARISH,CONTINUATION
S58B-050039,SHORT,507522,2533780,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-050040,SHORT,507527,2533805,True,True,BEARISH,CONTINUATION
S58B-050041,SHORT,507534,2533840,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-050042,LONG,507542,2533880,True,True,BULLISH,CONTINUATION
S58B-050043,LONG,507547,2533905,True,True,BULLISH,CONTINUATION
S58B-050044,LONG,507552,2533930,True,True,BULLISH,CONTINUATION
S58B-050045,LONG,507557,2533955,True,True,BULLISH,CONTINUATION
S58B-050046,LONG,507564,2533990,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-050047,LONG,507581,2534075,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-050048,LONG,507595,2534145,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-050049,LONG,507617,2534255,False,False,BULLISH,CONTINUATION
S58B-050050,LONG,507619,2534265,True,True,BULLISH,CONTINUATION
S58B-050051,LONG,507624,2534290,True,True,BULLISH,CONTINUATION
S58B-050052,LONG,507629,2534315,True,True,BULLISH,CONTINUATION
S58B-050053,LONG,507634,2534340,True,True,NEUTRAL,CONTINUATION
S58B-050054,LONG,507657,2534455,False,False,TRANSITION,POTENTIAL_REVERSAL
S58B-050055,LONG,507659,2534465,False,False,BULLISH,CONTINUATION
S58B-050056,LONG,507661,2534475,False,False,BULLISH,CONTINUATION
S58B-050057,LONG,507663,2534485,True,True,BULLISH,CONTINUATION
S58B-050058,LONG,507668,2534510,True,True,BULLISH,CONTINUATION
S58B-050059,LONG,507673,2534535,False,False,BULLISH,CONTINUATION
S58B-050060,LONG,507676,2534550,False,False,BULLISH,CONTINUATION
S58B-050061,LONG,507678,2534560,True,True,BULLISH,CONTINUATION
S58B-050062,LONG,507683,2534585,True,True,NEUTRAL,CONTINUATION
S58B-050063,LONG,507689,2534615,True,True,BULLISH,CONTINUATION
S58B-050064,LONG,507694,2534640,False,False,BULLISH,CONTINUATION
S58B-050065,LONG,507696,2534650,True,True,BULLISH,CONTINUATION
S58B-050066,SHORT,507717,2534755,False,False,BEARISH,CONTINUATION
S58B-050067,SHORT,507719,2534765,True,True,BEARISH,CONTINUATION
S58B-050068,SHORT,507731,2534825,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-050069,LONG,507790,2535120,True,True,BULLISH,CONTINUATION
S58B-050070,LONG,507795,2535145,False,False,BULLISH,CONTINUATION
S58B-050071,LONG,507797,2535155,True,True,BULLISH,CONTINUATION
S58B-050072,LONG,507812,2535230,False,False,NEUTRAL,CONTINUATION
S58B-050073,SHORT,507820,2535270,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-050074,SHORT,507844,2535390,True,True,BEARISH,CONTINUATION
S58B-050075,LONG,507850,2535420,True,True,BULLISH,CONTINUATION
S58B-050076,LONG,507856,2535450,True,True,BULLISH,CONTINUATION
S58B-050077,LONG,507861,2535475,True,True,NEUTRAL,CONTINUATION
S58B-050078,LONG,507867,2535505,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-050079,SHORT,507881,2535575,True,True,BEARISH,CONTINUATION
S58B-050080,SHORT,507886,2535600,True,True,BEARISH,CONTINUATION
S58B-050081,SHORT,507893,2535635,False,False,BEARISH,CONTINUATION
S58B-050082,SHORT,507895,2535645,True,True,BEARISH,CONTINUATION
S58B-050083,SHORT,507905,2535695,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-050084,LONG,507923,2535785,True,True,BULLISH,CONTINUATION
S58B-050085,LONG,507929,2535815,False,False,BULLISH,CONTINUATION
S58B-050086,LONG,507931,2535825,False,False,BULLISH,CONTINUATION
S58B-050087,LONG,507933,2535835,True,True,BULLISH,CONTINUATION
S58B-050088,LONG,507938,2535860,True,True,BULLISH,CONTINUATION
S58B-050089,LONG,507943,2535885,True,True,BULLISH,CONTINUATION
S58B-050090,LONG,507948,2535910,True,True,BULLISH,CONTINUATION
S58B-050091,LONG,507953,2535935,False,False,BULLISH,CONTINUATION
S58B-050092,LONG,507955,2535945,False,False,BULLISH,CONTINUATION
S58B-050093,LONG,507965,2535995,False,False,BEARISH,POTENTIAL_REVERSAL
S58B-050094,LONG,507967,2536005,False,False,BULLISH,CONTINUATION
S58B-050095,LONG,507969,2536015,True,True,BULLISH,CONTINUATION
S58B-050096,LONG,507974,2536040,True,True,BULLISH,CONTINUATION
S58B-050097,LONG,507984,2536090,False,False,BULLISH,CONTINUATION
S58B-050098,LONG,507986,2536100,True,True,BULLISH,CONTINUATION
S58B-050099,LONG,507991,2536125,True,True,BULLISH,CONTINUATION
