setup_id,opportunity_id,direction,price_diff_atr,price_diff_ticks,bucket
S58B-000182,OPP_00007509_SHORT,SHORT,-12.6875,29.0,BETTER_1M
S58B-000183,OPP_00007621_SHORT,SHORT,0.0,0.0,NEAR_IDENTICAL
S58B-000185,OPP_00007653_LONG,LONG,-2.0,-11.0,BETTER_1M
S58B-000186,OPP_00007653_LONG,LONG,-4.0,-22.0,BETTER_1M
S58B-000187,OPP_00007724_SHORT,SHORT,-0.5185185185185185,2.0,BETTER_1M
S58B-000188,OPP_00007724_SHORT,SHORT,-3.3703703703703702,13.0,BETTER_1M
S58B-000189,OPP_00007825_SHORT,SHORT,0.1346153846153846,-1.0,NEAR_IDENTICAL
S58B-000190,OPP_00007825_SHORT,SHORT,0.40384615384615385,-3.0,BETTER_5M
S58B-000191,OPP_00007854_SHORT,SHORT,-1.7721518987341771,10.0,BETTER_1M
S58B-000193,OPP_00007880_SHORT,SHORT,-3.8987341772151898,22.0,BETTER_1M
S58B-000194,OPP_00007930_SHORT,SHORT,-0.5833333333333334,4.0,BETTER_1M
S58B-000195,OPP_00007973_SHORT,SHORT,-0.4666666666666667,1.0,BETTER_1M
S58B-000196,OPP_00008122_LONG,LONG,5.0,5.0,BETTER_5M
S58B-000197,OPP_00008271_LONG,LONG,-1.1666666666666667,-1.0,BETTER_1M
S58B-000198,OPP_00008271_LONG,LONG,-2.3333333333333335,-2.0,BETTER_1M
S58B-000200,OPP_00008313_SHORT,SHORT,-0.9333333333333333,1.0,BETTER_1M
S58B-000203,OPP_00008449_LONG,LONG,-1.1666666666666667,-2.0,BETTER_1M
S58B-000204,OPP_00008449_LONG,LONG,-4.083333333333334,-7.0,BETTER_1M
S58B-000205,OPP_00008449_LONG,LONG,-4.666666666666667,-8.0,BETTER_1M
S58B-000209,OPP_00008604_LONG,LONG,-9.483870967741934,-21.0,BETTER_1M
S58B-000210,OPP_00008744_LONG,LONG,2.9473684210526314,4.0,BETTER_5M
S58B-000213,OPP_00008966_SHORT,SHORT,-2.2735042735042734,19.0,BETTER_1M
S58B-000214,OPP_00009116_SHORT,SHORT,0.693069306930693,-5.0,BETTER_5M
S58B-000217,OPP_00009263_LONG,LONG,-1.4933333333333334,-8.0,BETTER_1M
S58B-000218,OPP_00009458_SHORT,SHORT,2.4705882352941178,-3.0,BETTER_5M
S58B-000219,OPP_00009483_LONG,LONG,-8.0,-8.0,BETTER_1M
S58B-000223,OPP_00009708_SHORT,SHORT,-0.875,1.0,BETTER_1M
S58B-000224,OPP_00009708_SHORT,SHORT,-7.0,8.0,BETTER_1M
S58B-000226,OPP_00009708_SHORT,SHORT,-10.5,12.0,BETTER_1M
S58B-000227,OPP_00009708_SHORT,SHORT,-29.75,34.0,BETTER_1M
S58B-000229,OPP_00009708_SHORT,SHORT,-38.5,44.0,BETTER_1M
S58B-000230,OPP_00009906_SHORT,SHORT,-2.0,4.0,BETTER_1M
S58B-000232,OPP_00010039_SHORT,SHORT,-2.4347826086956523,4.0,BETTER_1M
S58B-000235,OPP_00010039_SHORT,SHORT,-15.217391304347826,25.0,BETTER_1M
S58B-000236,OPP_00010125_LONG,LONG,-5.653846153846153,-21.0,BETTER_1M
S58B-000238,OPP_00010233_LONG,LONG,-2.24,-24.0,BETTER_1M
S58B-000239,OPP_00010258_LONG,LONG,3.2941176470588234,24.0,BETTER_5M
S58B-000240,OPP_00010280_SHORT,SHORT,-0.9423076923076923,7.0,BETTER_1M
S58B-000241,OPP_00010328_LONG,LONG,-1.97979797979798,-14.0,BETTER_1M
S58B-000242,OPP_00010328_LONG,LONG,-2.404040404040404,-17.0,BETTER_1M
S58B-000243,OPP_00010328_LONG,LONG,-2.686868686868687,-19.0,BETTER_1M
S58B-000244,OPP_00010469_LONG,LONG,-1.7872340425531914,-6.0,BETTER_1M
S58B-000245,OPP_00010517_LONG,LONG,-5.638888888888888,-29.0,BETTER_1M
S58B-000246,OPP_00010636_LONG,LONG,0.5185185185185185,1.0,BETTER_5M
S58B-000249,OPP_00010752_SHORT,SHORT,2.0,-4.0,BETTER_5M
S58B-000250,OPP_00010780_SHORT,SHORT,0.0,0.0,NEAR_IDENTICAL
S58B-000253,OPP_00010824_LONG,LONG,-6.666666666666667,-10.0,BETTER_1M
S58B-000254,OPP_00010824_LONG,LONG,-8.0,-12.0,BETTER_1M
S58B-000255,OPP_00010824_LONG,LONG,-10.666666666666666,-16.0,BETTER_1M
S58B-000256,OPP_00010824_LONG,LONG,-9.333333333333334,-14.0,BETTER_1M
S58B-000262,OPP_00011350_SHORT,SHORT,3.8181818181818183,-6.0,BETTER_5M
S58B-000263,OPP_00011465_SHORT,SHORT,2.3902439024390247,-7.0,BETTER_5M
S58B-000264,OPP_00011525_SHORT,SHORT,1.4383561643835616,-15.0,BETTER_5M
S58B-000265,OPP_00011588_SHORT,SHORT,-1.4482758620689653,12.0,BETTER_1M
S58B-000266,OPP_00011631_LONG,LONG,-0.8974358974358975,-5.0,BETTER_1M
S58B-000267,OPP_00011631_LONG,LONG,-3.948717948717949,-22.0,BETTER_1M
S58B-000268,OPP_00011631_LONG,LONG,-4.666666666666667,-26.0,BETTER_1M
S58B-000269,OPP_00011729_LONG,LONG,-2.40625,-11.0,BETTER_1M
S58B-000270,OPP_00011766_SHORT,SHORT,-2.8,13.0,BETTER_1M
S58B-000274,OPP_00011807_SHORT,SHORT,-8.4,36.0,BETTER_1M
S58B-000275,OPP_00011876_SHORT,SHORT,-2.4931506849315066,13.0,BETTER_1M
