signal_i,atr,orig_dir,family,decision,direction,trigger_i,entry_i,delay_bars,reason,invalidation,chase_atr,level_name
13191,0.8571428571428571,LONG,E2,TAKE,LONG,13191,13192,1,E2_BREAK_ACCEPT_HIGH_LONG,6099.25,0.0,hi_5
13233,1.0714285714285714,SHORT,E2,TAKE,SHORT,13233,13234,1,E2_BREAK_ACCEPT_LOW_SHORT,6097.75,1.8666666666666667,lo_5
13306,1.1071428571428572,LONG,E2,TAKE,LONG,13309,13310,4,E2_BREAK_ACCEPT_HIGH_LONG,6106.0,2.7096774193548385,hi_5
13483,0.35714285714285715,SHORT,E2,TAKE,SHORT,13485,13486,3,E2_BREAK_ACCEPT_LOW_SHORT,6108.25,1.4,lo_5
13557,0.42857142857142855,LONG,E2,TAKE,LONG,13558,13559,2,E2_BREAK_ACCEPT_HIGH_LONG,6112.75,1.1666666666666667,hi_5
13822,0.375,LONG,E2,TAKE,SHORT,13823,13824,2,E2_BREAK_ACCEPT_LOW_SHORT,6106.5,2.0,lo_5
13868,0.625,LONG,E2,TAKE,LONG,13868,13869,1,E2_BREAK_ACCEPT_HIGH_LONG,6107.5,2.0,hi_5
14096,0.48214285714285715,LONG,E2,TAKE,LONG,14099,14100,4,E2_BREAK_ACCEPT_HIGH_LONG,6106.75,1.5555555555555556,hi_5
14190,0.5535714285714286,LONG,E2,TAKE,LONG,14191,14192,2,E2_BREAK_ACCEPT_HIGH_LONG,6112.0,1.3548387096774193,hi_5
14245,1.7857142857142858,SHORT,E2,TAKE,SHORT,14245,14246,1,E2_BREAK_ACCEPT_LOW_SHORT,6114.0,1.1199999999999999,lo_5
14360,1.1607142857142858,SHORT,E2,TAKE,SHORT,14363,14364,4,E2_BREAK_ACCEPT_LOW_SHORT,6109.25,1.2923076923076922,lo_5
14395,1.0178571428571428,LONG,E2,TAKE,LONG,14395,14396,1,E2_BREAK_ACCEPT_HIGH_LONG,6103.75,0.9824561403508772,hi_5
14444,1.1428571428571428,LONG,E2,TAKE,LONG,14446,14447,3,E2_BREAK_ACCEPT_HIGH_LONG,6107.75,1.53125,hi_5
14498,1.0,LONG,E2,TAKE,LONG,14499,14500,2,E2_BREAK_ACCEPT_HIGH_LONG,6108.0,1.0,hi_5
14642,0.5892857142857143,SHORT,E2,TAKE,SHORT,14645,14646,4,E2_BREAK_ACCEPT_LOW_SHORT,6118.0,3.393939393939394,lo_5
