trade_id,candidate_id,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirmation_timestamp,entry_timestamp,session,HTF_regime,setup_score,setup_score_band,setup_liquidity_component,setup_structure_component,setup_bias_component,setup_displacement_component,setup_session_component,setup_component_sum,setup_structure_level,setup_structure_distance_points,setup_structure_distance_atr,setup_body_atr,setup_range_atr,setup_upper_wick_ratio,setup_lower_wick_ratio,setup_candle_direction,bos_level,bos_displacement_points,bos_displacement_atr,bos_body_atr,bos_range_atr,bos_body_pct_range,bos_close_beyond_structure_atr,bos_upper_wick_ratio,bos_lower_wick_ratio,bos_candle_direction,setup_to_bos_bars,same_bar_setup_bos,bos_relative_volume_20,bos_to_retest_bars,retest_distance_points,retest_distance_atr,retest_penetration_atr,retest_max_penetration_atr,retest_body_atr,retest_range_atr,retest_wick_toward_atr,retest_wick_away_atr,retest_close_distance_bos_atr,retest_candle_direction,retest_touch_count_through_accept,confirm_body_atr,confirm_range_atr,confirm_body_pct_range,confirm_close_location,confirm_directional_close_location,confirm_displacement_away_atr,confirm_close_distance_bos_atr,confirm_rejection_wick_atr,retest_to_confirm_bars,bos_to_entry_bars,entry_atr,entry_atr_percentile_100,session_high_distance_atr,session_low_distance_atr,nearest_structure_distance_atr,directional_room_to_structure_atr,phase3_bias,phase3_bias_alignment,phase3_alignment,htf_alignment,HTF_alignment,entry_hour,minutes_since_midnight,outcome,is_winner,gross_R,net_R,MFE_R,MAE_R,exit_timestamp,exit_reason
T011,74,Short,2026-07-15 07:10:00-05:00,2026-07-15 07:10:00-05:00,2026-07-15 07:15:00-05:00,2026-07-15 07:20:00-05:00,2026-07-15 07:20:00-05:00,Premarket,Bull,75.0,75-79,25.0,30.0,20.0,0.0,0.0,75.0,29568.25,5.0,0.2550267589693281,0.47179950409325694,0.9691016840834467,0.13157894736842105,0.3815789473684211,With,29568.25,10.0,0.5100535179386562,0.47179950409325694,0.9691016840834467,0.4868421052631579,0.2550267589693281,0.13157894736842105,0.3815789473684211,With,0,True,1.400423383813711,1,6.75,0.35310574166910774,0.35310574166910774,0.35310574166910774,0.11770191388970258,0.666977512041648,0.5492755981519454,0.0,0.3138717703725402,With,1,0.7897826779282671,1.3375351803623876,0.5904761904761905,0.38095238095238093,0.6190476190476191,0.6878752356149422,0.9935975625549166,0.03821529086749679,1,2,19.625652009308574,0.31,9.986929346705828,5.528478745497869,0.9935975625549166,-0.9935975625549166,Bear,1,Aligned,0,Opposed,07:00,440,Loser,0,-1.0,-1.024627631892387,0.3481837612371961,2.8703929584920074,2026-07-15 07:30:00-05:00,STOP
T012,85,Short,2026-07-16 11:10:00-05:00,2026-07-16 11:10:00-05:00,2026-07-16 11:30:00-05:00,2026-07-16 11:35:00-05:00,2026-07-16 11:35:00-05:00,Morning,Bear,75.0,75-79,0.0,30.0,20.0,15.0,10.0,75.0,29018.25,42.75,0.7475547283255165,0.7781563838710055,0.8830763457412534,0.039603960396039604,0.07920792079207921,With,29018.25,45.5,0.7956430441827135,0.7781563838710055,0.8830763457412534,0.8811881188118812,0.7475547283255165,0.039603960396039604,0.07920792079207921,With,0,True,0.9331111640085693,4,3.5,0.06578151685041994,0.06578151685041994,0.06578151685041994,0.24903002807658978,0.8504610392804292,0.48396401682808954,0.1174669943757499,0.4181824999776696,Against,1,0.40100290486902246,0.6329081992511078,0.6335877862595419,0.12213740458015267,0.8778625954198473,0.40583426516864923,0.8358253318354324,0.15460352958805687,1,5,51.745261064324374,0.67,9.744853724347209,0.7198726846443898,0.8358253318354324,-0.8358253318354324,Bear,1,Aligned,1,Aligned,11:00,695,Winner,1,0.2931025248440245,0.2837618949314129,0.3381952209738667,0.7697967410738489,2026-07-16 12:35:00-05:00,TIME
T013,98,Long,2026-07-20 18:20:00-05:00,2026-07-20 18:20:00-05:00,2026-07-20 18:25:00-05:00,2026-07-20 18:40:00-05:00,2026-07-20 18:40:00-05:00,Overnight,Bear,75.0,75-79,25.0,30.0,20.0,0.0,0.0,75.0,28485.75,8.25,0.3108872026649417,0.4616203918358225,0.9703449052875452,0.3300970873786408,0.1941747572815534,With,28485.75,12.5,0.4710412161590026,0.4616203918358225,0.9703449052875452,0.47572815533980584,0.3108872026649417,0.3300970873786408,0.1941747572815534,With,0,True,1.736289381563594,1,2.25,0.08720195649170757,0.0,0.0,0.21316033809084076,0.6297919079956659,0.3003622945825483,0.11626927532227677,0.6007245891650966,With,1,0.0873720137855374,0.49146757754364784,0.17777777777777778,0.5333333333333333,0.5333333333333333,-0.31672354997257307,0.36040955686534176,0.1747440275710748,3,4,22.8906249649823,0.0,0.5569965878828009,4.390443692723254,0.36040955686534176,-0.36040955686534176,Bull,1,Aligned,0,Opposed,18:00,1120,Loser,0,-1.0,-1.021114903331504,0.6043230953499421,1.5726962481396085,2026-07-20 18:50:00-05:00,STOP
T014,119,Short,2026-07-23 09:40:00-05:00,2026-07-23 09:40:00-05:00,2026-07-23 09:45:00-05:00,2026-07-23 09:50:00-05:00,2026-07-23 09:50:00-05:00,Opening,Bear,75.0,75-79,0.0,30.0,20.0,15.0,10.0,75.0,28339.25,12.0,0.15470776342589923,1.4117083412613305,1.9048393371813843,0.12690355329949238,0.1319796954314721,With,28339.25,110.5,1.4246006548801555,1.4117083412613305,1.9048393371813843,0.7411167512690355,0.15470776342589923,0.12690355329949238,0.1319796954314721,With,0,True,1.0212906342417496,1,13.5,0.17853722607100062,0.17853722607100062,0.17853722607100062,0.1917622057799636,0.6645552303753911,0.3438494724330382,0.1289435521623893,0.35707445214200123,With,1,0.6430343066547226,0.8995816725221508,0.7148148148148148,0.05555555555555555,0.9444444444444444,0.6330389547378099,0.9928716237466703,0.20657060628286428,1,2,75.03487683419641,0.98,9.328995122451936,0.049976759584563935,0.9928716237466703,-0.9928716237466703,Bear,1,Aligned,1,Aligned,09:00,590,Winner,1,0.2332248780612983,0.2267834290481767,1.33271358892171,0.3198512613412104,2026-07-23 10:50:00-05:00,TIME
T015,122,Long,2026-07-23 23:55:00-05:00,2026-07-23 23:55:00-05:00,2026-07-24 00:00:00-05:00,2026-07-24 00:05:00-05:00,2026-07-24 00:05:00-05:00,Overnight,Bear,75.0,75-79,25.0,30.0,20.0,0.0,0.0,75.0,28243.0,4.5,0.16185019422517413,0.7463092289271918,1.079001294834494,0.20833333333333334,0.1,With,28243.0,20.25,0.7283258740132835,0.7463092289271918,1.079001294834494,0.6916666666666667,0.16185019422517413,0.20833333333333334,0.1,With,0,True,1.2511453561016244,1,12.5,0.4505138245994321,0.4505138245994321,0.4505138245994321,0.07208221193590914,0.9731098611347734,0.5135857600433527,0.38744188915551164,0.0630719354439205,Against,1,0.7378605877287726,1.291256028525352,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7729968061920475,0.8344851885027785,0.0,1,2,28.46066092870014,0.29,5.323137097186145,4.181209997129711,0.8344851885027785,-0.8344851885027785,Bull,1,Aligned,0,Opposed,00:00,5,Loser,0,-1.0,-1.0169825055905828,0.5270432769491215,1.487433248278632,2026-07-24 01:00:00-05:00,STOP
T016,137,Long,2026-07-28 18:40:00-05:00,2026-07-28 18:40:00-05:00,2026-07-28 18:45:00-05:00,2026-07-28 18:50:00-05:00,2026-07-28 18:50:00-05:00,Overnight,Bear,90.0,90-94,25.0,30.0,20.0,15.0,0.0,90.0,27695.5,0.75,0.01446465789474588,2.2950590526330132,2.6036384210542587,0.08148148148148149,0.037037037037037035,With,27695.5,118.75,2.2902375000014312,2.2950590526330132,2.6036384210542587,0.8814814814814815,0.01446465789474588,0.08148148148148149,0.037037037037037035,With,0,True,1.625974025974026,1,23.5,0.4348649440116714,0.4348649440116714,0.4348649440116714,0.9067396704924212,1.5266535268494847,0.4163600527771322,0.2035538035799313,0.888234779257882,With,1,0.37183757281946506,0.9388898713691494,0.39603960396039606,0.698019801980198,0.698019801980198,0.37183757281946506,1.2642477475861813,0.2835261492748421,1,2,53.786925964338785,0.75,0.2835261492748421,6.558285190603315,1.2642477475861813,-1.2642477475861813,Bull,1,Aligned,0,Opposed,18:00,1130,Loser,0,-0.2881741189350854,-0.2971601936115558,1.202274818782937,0.7839575493610389,2026-07-28 19:50:00-05:00,TIME
T017,142,Long,2026-07-29 12:00:00-05:00,2026-07-29 12:00:00-05:00,2026-07-29 12:05:00-05:00,2026-07-29 12:10:00-05:00,2026-07-29 12:10:00-05:00,Midday,Bear,75.0,75-79,0.0,30.0,20.0,15.0,10.0,75.0,27339.75,3.5,0.059670654892453136,0.9760414264551263,1.1891509082138876,0.05734767025089606,0.12186379928315412,With,27339.75,57.75,0.9845658057254767,0.9760414264551263,1.1891509082138876,0.8207885304659498,0.059670654892453136,0.05734767025089606,0.12186379928315412,With,0,True,1.1408648898410099,1,23.25,0.4118851377153425,0.4118851377153425,0.4118851377153425,0.12400842855945797,0.4916048417892798,0.3277365611928532,0.03985985203696863,-0.08414857652248933,Against,1,1.4334829488652334,1.514302462302739,0.9466292134831461,0.9915730337078652,0.9915730337078652,1.4249756316612854,1.3441561182237796,0.06805853763158377,1,2,58.772934876339875,0.64,7.516214749688033,5.568039109983948,1.3441561182237796,-1.3441561182237796,Bull,1,Aligned,0,Opposed,12:00,730,Loser,0,-1.0,-1.0082237399638163,0.1531317096710665,1.2137105877632683,2026-07-29 12:30:00-05:00,STOP
T018,143,Long,2026-07-29 13:00:00-05:00,2026-07-29 13:00:00-05:00,2026-07-29 13:15:00-05:00,2026-07-29 13:25:00-05:00,2026-07-29 13:25:00-05:00,Midday,Bear,75.0,75-79,0.0,30.0,20.0,15.0,10.0,75.0,27432.25,52.0,0.8543248210765474,1.2979165550970624,2.8545949550394254,0.497841726618705,0.04748201438848921,With,27432.25,80.25,1.318453209449864,1.2979165550970624,2.8545949550394254,0.4546762589928058,0.8543248210765474,0.497841726618705,0.04748201438848921,With,0,True,3.468392421684487,3,1.25,0.01839832020656583,0.01839832020656583,0.01839832020656583,0.5225122938664696,1.39459267165769,0.23181883460272945,0.6402615431884908,0.2134205143961636,Against,1,0.4408189253153664,0.7628084011978948,0.5778894472361809,0.9849246231155779,0.9849246231155779,0.1839939862185877,0.40632005289938117,0.31048985174386673,2,5,65.2195229127968,0.77,6.159965330276467,5.6309826198980275,1.7172772047068185,1.7172772047068185,Bull,1,Aligned,0,Opposed,13:00,805,Winner,1,2.0,1.9925891311106405,2.1568183940067582,0.6899774483196975,2026-07-29 13:40:00-05:00,TARGET
T019,153,Long,2026-07-30 15:00:00-05:00,2026-07-30 15:00:00-05:00,2026-07-30 15:05:00-05:00,2026-07-30 15:10:00-05:00,2026-07-30 15:10:00-05:00,Afternoon,Bull,75.0,75-79,0.0,30.0,20.0,15.0,10.0,75.0,27980.0,38.5,0.8876315476400057,2.478451723929886,3.7234414271132708,0.19040247678018576,0.14396284829721362,With,27980.0,107.25,2.4726878827114445,2.478451723929886,3.7234414271132708,0.6656346749226006,0.8876315476400057,0.19040247678018576,0.14396284829721362,With,0,True,2.33508142423406,1,0.5,0.011611317738351567,0.011611317738351567,0.011611317738351567,0.8127922416846096,0.8824601481147191,0.06386224756093362,0.005805658869175783,0.052250929822582046,Against,1,0.547056166952579,1.1056293058410016,0.4947916666666667,0.8489583333333334,0.8489583333333334,0.5700901108242665,0.6219164845355635,0.3915770458186881,1,2,43.414189318623926,0.51,0.9731841285787983,22.740261087323518,0.6219164845355635,-0.6219164845355635,Bull,1,Aligned,1,Aligned,15:00,910,Winner,1,0.9213577548675014,0.9102246819961858,1.37819764165596,0.3800600738828413,2026-07-30 17:10:00-05:00,TIME
T020,155,Short,2026-07-31 08:40:00-05:00,2026-07-31 08:40:00-05:00,2026-07-31 08:45:00-05:00,2026-07-31 08:50:00-05:00,2026-07-31 08:50:00-05:00,Premarket,Bull,90.0,90-94,25.0,30.0,20.0,15.0,0.0,90.0,28114.5,13.25,0.23343328175749767,2.5281264854491257,2.862861002686292,0.09692307692307692,0.02,With,28114.5,142.0,2.50170007619356,2.5281264854491257,2.862861002686292,0.8830769230769231,0.23343328175749767,0.09692307692307692,0.02,With,0,True,4.953593211349775,1,40.5,0.6364363467303721,0.6364363467303721,0.6364363467303721,0.9350114229742504,2.4043150876480723,0.8289386985191883,0.6403649661546337,1.1275137747630666,With,1,0.41734866418579075,1.669394656743163,0.25,0.33482142857142855,0.6651785714285714,0.40989600946818733,1.479351961444276,0.6930968887371167,1,2,67.09018718108383,1.0,5.8540602806774755,0.5589491038202554,1.479351961444276,-1.479351961444276,Bear,1,Aligned,0,Opposed,08:00,530,Winner,1,2.0,1.9927957671063168,2.0892275391681743,0.8098551459795776,2026-07-31 09:05:00-05:00,TARGET
T021,160,Long,2026-08-02 20:55:00-05:00,2026-08-02 20:55:00-05:00,2026-08-02 21:00:00-05:00,2026-08-02 21:10:00-05:00,2026-08-02 21:10:00-05:00,Overnight,Bull,75.0,75-79,25.0,30.0,20.0,0.0,0.0,75.0,28317.25,9.0,0.29274547187163585,0.41472275181815077,0.7969182289838976,0.24489795918367346,0.23469387755102042,With,28317.25,11.75,0.3821954771657468,0.41472275181815077,0.7969182289838976,0.5204081632653061,0.29274547187163585,0.24489795918367346,0.23469387755102042,With,0,True,0.9739684788383213,1,4.0,0.12943051233617953,0.12943051233617953,0.12943051233617953,0.2993080597774152,1.0678017267734812,0.44491738615561716,0.3235762808404488,0.6147949335968528,With,1,0.7217787679731313,0.9760417430545754,0.7394957983193278,0.7983193277310925,0.7983193277310925,0.28707110089840454,0.9104254914206543,0.057414220179680904,2,3,30.480253751131347,0.0,0.1968487549017631,4.109217758574305,0.9104254914206543,-0.9104254914206543,Bull,1,Aligned,1,Aligned,21:00,1270,Winner,1,0.027340104847467,0.0114828440359355,0.4101015727120222,0.634290432461261,2026-08-02 22:10:00-05:00,TIME
