feature,feature_label,winner_N,loser_N,winner_mean,loser_mean,winner_median,loser_median,mean_difference_W_minus_L,median_difference_W_minus_L,standardized_effect_Cohen_d,absolute_effect,relationship,LOO_stability,LOO_sign_consistency,LOO_min_effect_ratio,effect_without_best_trade,effect_without_worst_trade,effect_without_top2_winners,effect_without_top2_losers,outlier_dependence,outlier_min_effect_ratio
setup_upper_wick_ratio,Setup upper wick / range,17,25,0.15281180183567497,0.11652473231939214,0.07692307692307693,0.09578544061302682,0.03628706951628283,-0.018862363689949896,0.28604670145567757,0.28604670145567757,Lower among winners,UNSTABLE,1.0,0.44693430339029994,0.31043868067587654,0.25087376250097493,0.14598576614901718,0.2198809131619918,ROBUST TO LISTED REMOVALS,0.5103564047622392
bos_range_atr,BOS range / ATR,17,25,1.7008720588075656,1.4937467628195775,1.4742631200002463,1.3200087529342674,0.20712529598798812,0.15425436706597884,0.285111023976793,0.285111023976793,Higher among winners,UNSTABLE,1.0,0.4317991888902903,0.18936106600749594,0.29867962015357685,0.07648383178285285,0.28181913973991624,SENSITIVE TO OUTLIER REMOVAL,0.2682598193364784
setup_body_atr,Setup body / ATR,17,25,1.1923674305831127,1.0120178618862652,1.2979165550970624,0.9240061270539873,0.18034956869684748,0.37391042804307506,0.2809682653481682,0.2809682653481682,Higher among winners,PARTIALLY STABLE,1.0,0.5637519223252265,0.15839639970241415,0.3029447616900759,0.1361888090992822,0.2655543489406486,SENSITIVE TO OUTLIER REMOVAL,0.4847124244815361
setup_to_bos_bars,Bars setup to BOS,17,25,0.0,0.36,0.0,0.0,-0.36,0.0,-0.2581988897471611,0.2581988897471611,Lower mean among winners; medians equal,UNSTABLE,0.9761904761904762,0.0,-0.2549509756796392,-0.2658047665355975,-0.2516611478423583,-0.2740416286428925,ROBUST TO LISTED REMOVALS,0.9746794344808964
confirm_body_pct_range,Confirmation body / range,17,25,0.5128151959617898,0.4578085922001561,0.5701754385964912,0.4430379746835443,0.05500660376163374,0.12713746391294695,0.2521853574730325,0.2521853574730325,Higher among winners,PARTIALLY STABLE,1.0,0.6712373637832909,0.3297944069654735,0.223461869116401,0.3109731277960962,0.2632490717112346,ROBUST TO LISTED REMOVALS,0.8861016807460638
bos_body_atr,BOS body / ATR,17,25,1.1923674305831127,1.0339411045048092,1.2979165550970624,0.9240061270539873,0.15842632607830343,0.37391042804307506,0.25140428155879635,0.25140428155879635,Higher among winners,UNSTABLE,1.0,0.49773084675633794,0.1251316659384285,0.2725359029235432,0.10288643590826092,0.23331395946004113,SENSITIVE TO OUTLIER REMOVAL,0.4092469518431757
setup_structure_distance_points,Setup close beyond structure (points),17,25,15.014705882352942,11.32,10.75,5.0,3.6947058823529417,5.75,0.24902099757572518,0.24902099757572518,Higher among winners,UNSTABLE,1.0,0.4045348874966781,0.2532763733636877,0.22181957670843203,0.09681876677158674,0.19087859768663884,SENSITIVE TO OUTLIER REMOVAL,0.3887976022670336
bos_displacement_atr,BOS close displacement / ATR,17,25,1.1813116462841105,1.027400330453173,1.318453209449864,0.9295061635245467,0.15391131583093753,0.38894704592531726,0.24149428900574563,0.24149428900574563,Higher among winners,UNSTABLE,1.0,0.486560497571839,0.11750158141939308,0.26288778711328875,0.09235730525668959,0.22192227689858127,SENSITIVE TO OUTLIER REMOVAL,0.3824409497919523
retest_wick_away_atr,Retest wick away / ATR,17,25,0.3088217936556867,0.24911760818480758,0.1289435521623893,0.20368977701695468,0.059704185470879106,-0.07474622485456536,0.23761472517347138,0.23761472517347138,Lower among winners,UNSTABLE,1.0,0.4556747083650045,0.15686473419347083,0.2277025986443369,0.06335190780118286,0.21558678054609787,SENSITIVE TO OUTLIER REMOVAL,0.266616085156055
bos_to_entry_bars,Bars BOS to entry,17,25,3.176470588235294,2.8,3.0,2.0,0.3764705882352941,1.0,0.2375426383372905,0.2375426383372905,Higher among winners,PARTIALLY STABLE,1.0,0.5481845733205477,0.2824406615073817,0.2144995438606385,0.210009505908564,0.19006618491361027,ROBUST TO LISTED REMOVALS,0.8001350252064319
