event_id,extreme_timestamp,direction,extreme_price,capture_status,matched_signal_time,matched_signal_type,MFE_R,MAE_R
MR00084,2018-03-07 11:00:00-06:00,Long,6831.25,CAPTURED_PHASE33,2018-03-07 18:00:00+00:00,RL,4.069091158818831,0.4144444698796958
MR00085,2018-03-08 10:15:00-06:00,Short,6954.75,CAPTURED_PHASE33,2018-03-08 16:45:00+00:00,RS,4.320386535553439,0.09257971147614512
MR00086,2018-03-08 12:15:00-06:00,Long,6912.0,CAPTURED_OTHER_EXISTING,2018-03-08 19:00:00+00:00,L,3.362207322470233,0.6674970419610021
MR00087,2018-03-12 12:30:00-05:00,Short,7139.75,CAPTURED_PHASE33,2018-03-12 17:45:00+00:00,RS,3.585971569937897,0.9453925048018093
MR00088,2018-03-12 13:30:00-05:00,Long,7103.0,MISSED,,,3.4814577317224074,0.31913362540788737
MR00089,2018-03-13 09:30:00-05:00,Short,7151.5,CAPTURED_OTHER_EXISTING,2018-03-13 15:00:00+00:00,S,13.383684856503045,0.1977884461552174
MR00090,2018-03-13 11:00:00-05:00,Long,7035.5,MISSED,,,3.35673616862869,0.04020043315722982
MR00091,2018-03-13 12:15:00-05:00,Short,7089.25,CAPTURED_OTHER_EXISTING,2018-03-13 19:15:00+00:00,S,5.653216286079537,0.5673478710043981
MR00092,2018-03-14 09:45:00-05:00,Short,7055.75,CAPTURED_OTHER_EXISTING,2018-03-14 15:15:00+00:00,S,5.862170059252693,0.387368065589385
MR00093,2018-03-14 11:00:00-05:00,Long,6991.25,MISSED,,,4.957643406276554,0.040470558418584116
MR00094,2018-03-14 12:45:00-05:00,Short,7062.75,CAPTURED_OTHER_EXISTING,2018-03-14 17:15:00+00:00,S,3.2758397505345465,0.33887997419322896
MR00095,2018-03-15 10:15:00-05:00,Short,7054.75,CAPTURED_OTHER_EXISTING,2018-03-15 14:45:00+00:00,S,4.5803141118214565,0.08534746792213894
MR00096,2018-03-15 13:00:00-05:00,Long,6987.25,CAPTURED_PHASE33,2018-03-15 19:15:00+00:00,RL,2.998317798149903,0.6518082169891094
MR00097,2018-03-16 10:45:00-05:00,Long,6987.75,CAPTURED_PHASE33,2018-03-16 16:15:00+00:00,RL,2.3858171287058654,0.1964790576581301
MR00098,2018-03-19 13:00:00-05:00,Short,6820.5,MISSED,,,2.465547456240876,3.805878623727527
MR00099,2018-03-19 13:30:00-05:00,Long,6776.0,CAPTURED_OTHER_EXISTING,2018-03-19 20:00:00+00:00,L,4.71962095020379,0.7111757596197493
MR00100,2018-03-19 15:45:00-05:00,Short,6872.75,CAPTURED_PHASE33,2018-03-19 22:30:00+00:00,RS,2.309146618105889,0.0
MR00101,2018-03-20 10:45:00-05:00,Long,6817.75,MISSED,,,3.1038091921319952,0.49921406586738387
MR00102,2018-03-20 11:30:00-05:00,Short,6868.25,MISSED,,,2.1955955209393045,0.4600295377206162
MR00103,2018-03-20 12:45:00-05:00,Long,6829.25,MISSED,,,3.841255948604182,0.5030216123172143
MR00104,2018-03-20 14:00:00-05:00,Short,6876.75,MISSED,,,2.04284129074226,0.14252381098201816
MR00105,2018-03-21 13:15:00-05:00,Short,6905.75,MISSED,,,5.528175335099006,0.16879924687325212
MR00106,2018-03-21 13:45:00-05:00,Long,6797.0,CAPTURED_PHASE33,2018-03-21 18:15:00+00:00,RL,2.567303567451128,0.22550639443827475
MR00107,2018-03-22 10:30:00-05:00,Long,6669.75,CAPTURED_OTHER_EXISTING,2018-03-22 16:30:00+00:00,L,4.871948185673242,0.3794352169527447
MR00108,2018-03-22 12:45:00-05:00,Short,6762.5,CAPTURED_PHASE33,2018-03-22 18:30:00+00:00,RS,5.630355045865337,0.2069983472744609
MR00109,2018-03-23 10:00:00-05:00,Short,6672.5,CAPTURED_PHASE33,2018-03-23 15:15:00+00:00,RS,3.8438766421301676,0.32266117798902866
MR00110,2018-03-23 10:45:00-05:00,Long,6577.5,MISSED,,,3.7935823109950744,0.3351221122787168
MR00111,2018-03-23 13:00:00-05:00,Short,6651.75,MISSED,,,5.923597769634898,0.0
MR00112,2018-03-27 10:45:00-05:00,Short,6757.75,CAPTURED_OTHER_EXISTING,2018-03-27 16:30:00+00:00,S,7.67611629754021,0.39408632777550184
MR00113,2018-03-28 12:45:00-05:00,Short,6501.0,CAPTURED_PHASE33,2018-03-28 17:15:00+00:00,RS,2.3160342712469504,0.4979868910872282
MR00114,2018-03-29 11:00:00-05:00,Long,6473.5,CAPTURED_OTHER_EXISTING,2018-03-29 16:30:00+00:00,L,4.83986000789188,0.24334491659791577
MR00115,2018-03-29 14:00:00-05:00,Short,6608.5,MISSED,,,4.54474229787322,0.2864880531610626
MR00116,2018-04-02 10:30:00-05:00,Long,6321.0,CAPTURED_OTHER_EXISTING,2018-04-02 16:45:00+00:00,L,2.928554982894703,1.6100112702169933
MR00117,2018-04-02 13:30:00-05:00,Long,6281.25,MISSED,,,3.804943502034936,0.2292134639780082
MR00118,2018-04-03 10:00:00-05:00,Short,6437.5,CAPTURED_PHASE33,2018-04-03 16:00:00+00:00,RS,4.3342517428030325,0.7790321759940091
MR00119,2018-04-03 11:15:00-05:00,Long,6332.0,MISSED,,,2.4738162110804933,0.16079805372023206
MR00120,2018-04-03 12:15:00-05:00,Short,6391.0,MISSED,,,2.53846557586256,3.3186361886276585
MR00121,2018-04-03 13:45:00-05:00,Long,6325.75,CAPTURED_OTHER_EXISTING,2018-04-03 19:00:00+00:00,L,2.0998423886977733,0.3393684668602462
MR00122,2018-04-04 09:30:00-05:00,Long,6317.5,CAPTURED_OTHER_EXISTING,2018-04-04 15:00:00+00:00,L,6.719431530724833,0.1493207006827741
MR00123,2018-04-04 11:45:00-05:00,Short,6461.25,MISSED,,,2.026303821817596,2.650688139005576
MR00124,2018-04-04 12:15:00-05:00,Long,6390.25,CAPTURED_OTHER_EXISTING,2018-04-04 18:15:00+00:00,L,5.094215061189635,0.3613745237914844
MR00125,2018-04-05 10:30:00-05:00,Short,6598.0,MISSED,,,5.503067993574381,0.383934976295887
MR00126,2018-04-05 12:30:00-05:00,Long,6513.75,CAPTURED_OTHER_EXISTING,2018-04-05 17:00:00+00:00,L,4.347289642202112,0.04674504991615174
MR00127,2018-04-05 14:00:00-05:00,Short,6587.75,MISSED,,,2.2289379858252243,0.37939369971493175
MR00128,2018-04-06 10:45:00-05:00,Short,6517.25,CAPTURED_OTHER_EXISTING,2018-04-06 17:15:00+00:00,S,4.809116598983651,0.13321652628763575
MR00129,2018-04-10 10:30:00-05:00,Short,6571.5,CAPTURED_PHASE33,2018-04-10 15:15:00+00:00,RS,3.765046064344767,1.0783384359045693
MR00130,2018-04-10 11:15:00-05:00,Long,6496.75,CAPTURED_OTHER_EXISTING,2018-04-10 18:00:00+00:00,L,4.333851853731677,0.30956084669511974
MR00131,2018-04-11 09:30:00-05:00,Short,6598.5,CAPTURED_OTHER_EXISTING,2018-04-11 15:00:00+00:00,S,4.007680900231022,1.6874445895709567
MR00132,2018-04-11 10:00:00-05:00,Long,6550.5,MISSED,,,3.6937384489778933,0.9186499769478698
MR00133,2018-04-11 11:00:00-05:00,Short,6618.0,MISSED,,,3.047054078641719,0.1948697375875518
MR00134,2018-04-12 10:15:00-05:00,Short,6640.25,MISSED,,,3.7266506335870093,1.1364962925123503
MR00135,2018-04-12 12:00:00-05:00,Short,6642.75,CAPTURED_OTHER_EXISTING,2018-04-12 17:30:00+00:00,S,3.499445979174121,0.805627851320661
MR00136,2018-04-12 14:30:00-05:00,Short,6648.5,CAPTURED_OTHER_EXISTING,2018-04-12 20:00:00+00:00,S,3.2030542955180334,0.022398981087538697
MR00137,2018-04-13 12:15:00-05:00,Short,6630.25,CAPTURED_OTHER_EXISTING,2018-04-13 19:00:00+00:00,S,5.514403228207074,0.3393478909665892
MR00138,2018-04-13 14:15:00-05:00,Long,6561.0,MISSED,,,6.527570003869788,0.4299597008536986
MR00139,2018-04-16 09:30:00-05:00,Short,6639.25,CAPTURED_OTHER_EXISTING,2018-04-16 15:15:00+00:00,S,3.7070763891560157,1.1406388889710817
MR00140,2018-04-16 14:15:00-05:00,Long,6627.75,MISSED,,,4.141044625895985,0.1254862007847268
MR00141,2018-04-17 14:30:00-05:00,Short,6799.5,MISSED,,,2.6534791342711714,0.542757095646376
MR00142,2018-04-18 09:30:00-05:00,Long,6773.25,CAPTURED_OTHER_EXISTING,2018-04-18 14:45:00+00:00,L,2.8591747118504007,0.7685953526479571
MR00143,2018-04-19 13:15:00-05:00,Long,6710.0,CAPTURED_OTHER_EXISTING,2018-04-19 17:45:00+00:00,L,3.6434879464349157,0.11603464797563426
MR00144,2018-04-20 11:45:00-05:00,Long,6615.0,CAPTURED_OTHER_EXISTING,2018-04-20 17:15:00+00:00,L,2.5629144110006745,0.40681181126994836
MR00145,2018-04-20 12:45:00-05:00,Short,6653.0,MISSED,,,3.3941993896353253,0.4114181078345849
MR00146,2018-04-20 14:00:00-05:00,Long,6600.75,MISSED,,,5.184454475965948,0.8055526875006851
MR00147,2018-04-23 10:15:00-05:00,Short,6682.75,CAPTURED_PHASE33,2018-04-23 16:00:00+00:00,RS,5.980771832313127,0.12834274318268513
MR00148,2018-04-23 13:45:00-05:00,Long,6571.5,MISSED,,,5.3890686970522514,0.38206084046265965
MR00149,2018-04-25 10:00:00-05:00,Short,6499.75,MISSED,,,2.9613942397302706,0.36840311116261737
MR00150,2018-04-25 14:45:00-05:00,Long,6450.25,MISSED,,,4.538971500988948,0.09716452754410593
MR00151,2018-04-26 10:45:00-05:00,Long,6571.75,MISSED,,,3.3361710969364746,0.06334502082790774
MR00152,2018-04-27 09:45:00-05:00,Long,6577.75,CAPTURED_OTHER_EXISTING,2018-04-27 15:15:00+00:00,L,3.0303901400932887,0.2555750720560605
MR00153,2018-04-27 11:30:00-05:00,Long,6590.25,CAPTURED_OTHER_EXISTING,2018-04-27 17:00:00+00:00,L,2.210132969727611,0.25501534266087816
MR00154,2018-04-27 14:15:00-05:00,Long,6601.5,MISSED,,,3.116918822406396,0.03801120515129751
MR00155,2018-04-30 09:30:00-05:00,Short,6663.0,CAPTURED_OTHER_EXISTING,2018-04-30 15:30:00+00:00,S,11.713306234510032,0.4359791402423089
MR00156,2018-04-30 12:45:00-05:00,Short,6592.25,CAPTURED_PHASE33,2018-04-30 18:15:00+00:00,RS,2.610998765223645,0.3467732735062653
MR00157,2018-05-01 12:00:00-05:00,Long,6545.25,CAPTURED_OTHER_EXISTING,2018-05-01 18:00:00+00:00,L,4.75626652619346,0.4819124674116721
MR00158,2018-05-02 10:45:00-05:00,Long,6603.75,CAPTURED_PHASE33,2018-05-02 16:30:00+00:00,RL,2.3282610327624216,0.6036232307161834
MR00159,2018-05-02 13:00:00-05:00,Short,6673.5,MISSED,,,7.217072176578303,0.2987959818328597
MR00160,2018-05-03 09:45:00-05:00,Long,6492.75,CAPTURED_OTHER_EXISTING,2018-05-03 15:15:00+00:00,L,7.196660864773112,0.70121310990097
MR00161,2018-05-04 12:15:00-05:00,Long,6697.0,CAPTURED_OTHER_EXISTING,2018-05-04 18:00:00+00:00,L,3.8056948045205923,0.04585174463277822
MR00162,2018-05-04 13:30:00-05:00,Short,6743.25,MISSED,,,2.5036549628144216,0.04861465947212469
MR00163,2018-05-04 14:45:00-05:00,Long,6716.0,MISSED,,,2.2221754968816945,0.1997461120792534
MR00164,2018-05-07 10:15:00-05:00,Short,6803.5,CAPTURED_OTHER_EXISTING,2018-05-07 15:45:00+00:00,S,3.2311782043191073,0.05718899476670987
MR00165,2018-05-07 12:00:00-05:00,Long,6773.5,MISSED,,,3.120578769918618,1.7149126573426638
MR00166,2018-05-07 13:30:00-05:00,Short,6806.0,CAPTURED_OTHER_EXISTING,2018-05-07 18:45:00+00:00,S,4.208390481704577,0.2843507082232823
MR00167,2018-05-08 10:15:00-05:00,Short,6791.0,CAPTURED_OTHER_EXISTING,2018-05-08 15:00:00+00:00,S,3.444480292328779,0.29736520509313197
MR00168,2018-05-08 11:45:00-05:00,Long,6735.25,CAPTURED_PHASE33,2018-05-08 18:30:00+00:00,RL,3.0732768142807347,1.7461800081140537
MR00169,2018-05-08 13:15:00-05:00,Short,6777.5,CAPTURED_OTHER_EXISTING,2018-05-08 18:00:00+00:00,S,2.9233052800570682,1.472321637401005
MR00170,2018-05-08 13:30:00-05:00,Long,6725.75,CAPTURED_PHASE33,2018-05-08 18:30:00+00:00,RL,3.3044454527419616,0.07775165771157556
MR00171,2018-05-09 09:30:00-05:00,Short,6793.25,CAPTURED_PHASE33,2018-05-09 15:15:00+00:00,RS,3.524519050331801,3.880204459080882
MR00172,2018-05-09 10:00:00-05:00,Long,6763.0,CAPTURED_OTHER_EXISTING,2018-05-09 14:45:00+00:00,L,6.420201951874529,0.22527024392542205
MR00173,2018-05-09 14:30:00-05:00,Long,6839.5,MISSED,,,2.149185603118601,0.0596996000866278
MR00174,2018-05-10 12:15:00-05:00,Short,6925.0,CAPTURED_PHASE33,2018-05-10 18:45:00+00:00,RS,3.694786405556752,0.49517755950760595
MR00175,2018-05-10 13:30:00-05:00,Long,6891.25,MISSED,,,3.4498194908787077,0.03194277306369174
MR00176,2018-05-10 14:45:00-05:00,Short,6926.0,MISSED,,,2.3432125525265204,0.24665395289752845
MR00177,2018-05-11 09:45:00-05:00,Short,6929.75,MISSED,,,5.9678346062099425,0.07233738916618111
MR00178,2018-05-11 13:00:00-05:00,Long,6883.0,MISSED,,,3.8037391420411084,0.06184941694375786
MR00179,2018-05-14 09:30:00-05:00,Short,6968.25,CAPTURED_OTHER_EXISTING,2018-05-14 15:00:00+00:00,S,4.576480685510379,0.4335613281009833
MR00180,2018-05-14 11:30:00-05:00,Short,6956.25,CAPTURED_OTHER_EXISTING,2018-05-14 17:00:00+00:00,S,5.984500350182377,0.39114381373741025
MR00181,2018-05-14 14:00:00-05:00,Short,6936.25,MISSED,,,2.675159508618536,0.2488520473133522
MR00182,2018-05-15 11:00:00-05:00,Long,6816.5,MISSED,,,2.012709285845158,1.3850902612267755
MR00183,2018-05-15 11:45:00-05:00,Short,6848.25,CAPTURED_OTHER_EXISTING,2018-05-15 18:00:00+00:00,S,2.4950572462498446,0.8469460377178372
MR00184,2018-05-15 13:00:00-05:00,Long,6809.0,MISSED,,,2.728454641695529,0.8274821454322506
MR00185,2018-05-16 09:30:00-05:00,Short,6891.0,MISSED,,,3.5752792390575903,2.7995111022809436
MR00186,2018-05-16 13:45:00-05:00,Short,6906.75,CAPTURED_OTHER_EXISTING,2018-05-16 19:15:00+00:00,S,3.7027810029295862,0.0
MR00187,2018-05-17 09:45:00-05:00,Short,6916.75,CAPTURED_OTHER_EXISTING,2018-05-17 16:45:00+00:00,S,6.015483835483008,0.06646943464622108
MR00188,2018-05-17 13:00:00-05:00,Long,6829.75,CAPTURED_PHASE33,2018-05-17 18:30:00+00:00,RL,3.477808425170615,0.08215295492529012
MR00189,2018-05-18 09:30:00-05:00,Long,6817.0,CAPTURED_OTHER_EXISTING,2018-05-18 15:45:00+00:00,L,3.4168714691811184,0.1102216602961651
MR00190,2018-05-18 10:30:00-05:00,Short,6860.5,MISSED,,,2.817712565740768,0.0
MR00191,2018-05-18 15:00:00-05:00,Long,6826.5,MISSED,,,10.873886180830334,0.14744252448583503
MR00192,2018-05-21 09:30:00-05:00,Short,6902.5,CAPTURED_OTHER_EXISTING,2018-05-21 15:15:00+00:00,S,9.366950891573975,0.30094621338390276
MR00193,2018-05-21 10:30:00-05:00,Long,6836.25,MISSED,,,3.718207198445393,0.3913902314153045
MR00194,2018-05-21 12:00:00-05:00,Short,6881.75,CAPTURED_OTHER_EXISTING,2018-05-21 18:15:00+00:00,S,4.4965684627740385,0.1707557644091407
MR00195,2018-05-21 13:30:00-05:00,Long,6837.75,MISSED,,,2.7790408454204294,0.20694985019088305
MR00196,2018-05-22 10:15:00-05:00,Short,6882.0,CAPTURED_PHASE33,2018-05-22 15:45:00+00:00,RS,3.057187716185997,0.5417801016025818
MR00197,2018-05-22 11:30:00-05:00,Long,6855.0,CAPTURED_PHASE33,2018-05-22 17:30:00+00:00,RL,3.4170111923322763,0.07118773317358909
