stop_atr,target_r,hold_bars,entry_mode,N,AvgR,PF
1.0,1.5,6,CURRENT,13047.0,-0.04104019284119505,0.9169051037466179
1.0,1.5,6,NEXT_OPEN,13047.0,-0.022762558587098615,0.9550713128368654
1.0,1.5,8,CURRENT,13047.0,-0.040047229889772176,0.9239274879156102
1.0,1.5,8,NEXT_OPEN,13047.0,-0.022219465464726553,0.9582948348244711
1.0,2.0,3,CURRENT,13047.0,-0.02494848929819432,0.937658733449027
1.0,2.0,3,NEXT_OPEN,13047.0,-0.006655645702796509,0.9847233835808454
1.0,2.0,4,CURRENT,13047.0,-0.028643442810327515,0.9357278259817716
1.0,2.0,4,NEXT_OPEN,13047.0,-0.011895180720831912,0.974843563007296
1.0,2.0,6,CURRENT,13047.0,-0.03396485213851845,0.933070279112209
1.0,2.0,6,NEXT_OPEN,13047.0,-0.01138419213720356,0.9782225991041601
1.0,2.0,8,CURRENT,13047.0,-0.03399237572178043,0.9379531231723507
1.0,2.0,8,NEXT_OPEN,13047.0,-0.010879533360718951,0.9804107852940055
1.0,2.5,3,CURRENT,13047.0,-0.019527265714475196,0.9513860944800705
1.0,2.5,3,NEXT_OPEN,13047.0,0.0012074042465208992,1.0027602077797602
1.0,2.5,4,CURRENT,13047.0,-0.021800435343328203,0.9513813936748609
1.0,2.5,4,NEXT_OPEN,13047.0,-0.0012669365900114412,0.9973383597660694
1.0,2.5,6,CURRENT,13047.0,-0.026328831932698697,0.9487441966890559
1.0,2.5,6,NEXT_OPEN,13047.0,-0.0029703501976337666,0.9944019067960187
1.0,2.5,8,CURRENT,13047.0,-0.029650669124120194,0.9469068947010684
1.0,2.5,8,NEXT_OPEN,13047.0,-0.00411765192006476,0.9927349167590026
1.0,3.0,3,CURRENT,13047.0,-0.018638935146360277,0.9536828346304312
1.0,3.0,3,NEXT_OPEN,13047.0,0.007714093522957082,1.017613830636012
1.0,3.0,4,CURRENT,13047.0,-0.019846576302262116,0.9558583975501647
1.0,3.0,4,NEXT_OPEN,13047.0,0.006364335903742736,1.0133224955766202
1.0,3.0,6,CURRENT,13047.0,-0.02309706786317413,0.9553254880099159
1.0,3.0,6,NEXT_OPEN,13047.0,0.0048877825743460085,1.0091464184201704
1.0,3.0,8,CURRENT,13047.0,-0.02348948582127085,0.9583199568519281
1.0,3.0,8,NEXT_OPEN,13047.0,0.004138502030779434,1.007235509765425
1.25,1.5,3,CURRENT,13047.0,-0.021744125012553083,0.9347403620895584
1.25,1.5,3,NEXT_OPEN,13047.0,-0.014552488296190044,0.9604963011045257
1.25,1.5,4,CURRENT,13047.0,-0.025728751458538947,0.9314304112851589
1.25,1.5,4,NEXT_OPEN,13047.0,-0.01928200369008795,0.9522276925501167
1.25,1.5,6,CURRENT,13047.0,-0.03362435306109731,0.9229639060725927
1.25,1.5,6,NEXT_OPEN,13047.0,-0.024314341089660154,0.946513308776683
1.25,1.5,8,CURRENT,13047.0,-0.03847683535158716,0.9194373909695808
1.25,1.5,8,NEXT_OPEN,13047.0,-0.02657268196896365,0.9455018652985692
1.25,2.0,3,CURRENT,13047.0,-0.01602764081101231,0.952179848304538
1.25,2.0,3,NEXT_OPEN,13047.0,-0.005487879339895372,0.9851932225422703
1.25,2.0,4,CURRENT,13047.0,-0.018010787237218384,0.9524538363632182
1.25,2.0,4,NEXT_OPEN,13047.0,-0.008030059219401186,0.9803078432672577
1.25,2.0,6,CURRENT,13047.0,-0.02540681954633143,0.9428422086725794
1.25,2.0,6,NEXT_OPEN,13047.0,-0.013322609854903508,0.9713049933550107
1.25,2.0,8,CURRENT,13047.0,-0.03252142442270247,0.9337935162461481
1.25,2.0,8,NEXT_OPEN,13047.0,-0.01673084219240542,0.9666504475284687
1.25,2.5,3,CURRENT,13047.0,-0.01519449860507129,0.9547964315872186
1.25,2.5,3,NEXT_OPEN,13047.0,0.00016084512197803787,1.0004330364257796
1.25,2.5,4,CURRENT,13047.0,-0.016511069470112927,0.9565928701297829
1.25,2.5,4,NEXT_OPEN,13047.0,-0.001218028854609931,0.9970266387295511
1.25,2.5,6,CURRENT,13047.0,-0.02179356994753653,0.951421852548146
1.25,2.5,6,NEXT_OPEN,13047.0,-0.006154075708667013,0.9868673150564965
1.25,2.5,8,CURRENT,13047.0,-0.02501897728447118,0.949684284785107
1.25,2.5,8,NEXT_OPEN,13047.0,-0.008606985857113756,0.9830448734469773
1.25,3.0,3,CURRENT,13047.0,-0.01511243996600797,0.9550890155751838
1.25,3.0,3,NEXT_OPEN,13047.0,0.000981229526363744,1.0026372692176782
1.25,3.0,4,CURRENT,13047.0,-0.016128043787943674,0.9576886977653846
1.25,3.0,4,NEXT_OPEN,13047.0,-0.0009217601878981752,0.9977571096466463
1.25,3.0,6,CURRENT,13047.0,-0.022178280529399904,0.9507774592695836
1.25,3.0,6,NEXT_OPEN,13047.0,-0.006976471353398531,0.985201830087126
1.25,3.0,8,CURRENT,13047.0,-0.02691202779404424,0.946277747953804
1.25,3.0,8,NEXT_OPEN,13047.0,-0.008954219370591971,0.9825061526968618
